timestamp;accel_device_id;gyro_device_id;accel_clipping[0];accel_clipping[1];accel_clipping[2];gyro_clipping[0];gyro_clipping[1];gyro_clipping[2];accel_error_count;gyro_error_count;accel_rate_hz;gyro_rate_hz;accel_raw_rate_hz;gyro_raw_rate_hz;accel_vibration_metric;gyro_vibration_metric;delta_angle_coning_metric;mean_accel[0];mean_accel[1];mean_accel[2];mean_gyro[0];mean_gyro[1];mean_gyro[2];var_accel[0];var_accel[1];var_accel[2];var_gyro[0];var_gyro[1];var_gyro[2];temperature_accel;temperature_gyro
431949639;4259850;4325386;0;0;0;0;0;0;0;0;686.8399;666.86084;2060.5198;2000.5825;0.57220936;0.024574572;8.999939e-09;-0.04711968;0.03632892;-9.712232;0.12648857;-0.037243083;-0.0028561433;0.2564327;0.16124015;3.4854932;0.001993192;0.0013171611;0.00088046;34.0;nan
432984344;4259850;4325386;0;0;0;0;0;0;0;0;686.8337;666.8607;2060.501;2000.5822;0.49064225;0.028840847;3.0582903e-09;0.19044165;-0.6242254;-9.681878;-0.13508788;0.012829488;0.008697086;0.03224001;0.032172903;0.052077293;0.0006698717;0.00031120607;0.00018252149;34.0;nan
434019037;4259850;4325386;0;0;0;0;0;0;0;0;686.8417;666.8606;2060.5251;2000.5819;1.1426827;0.055218834;9.273345e-09;0.56543624;-0.04010569;-9.708634;0.012263406;0.21816306;0.00482714;0.66303855;0.24805526;1.1798517;0.0012521;0.004072266;0.00038737187;34.0;nan
434950241;4259850;4325386;0;0;0;0;0;0;0;0;686.8425;666.8613;2060.5278;2000.584;2.0257158;0.070805684;3.847841e-08;-0.044062305;-1.0535387;-9.660615;0.26646018;0.2791919;0.031340387;0.6478731;0.69435185;4.4022694;0.05916822;0.007839927;0.0022200113;34.0;nan
435984951;4259850;4325386;0;0;0;0;0;0;0;0;686.84344;666.8612;2060.5303;2000.5836;2.912478;0.091358185;1.0710992e-08;-0.03417077;0.31563;-9.664212;-0.013513933;-0.14496344;0.0023003533;1.1851531;1.3867491;4.5825877;0.0025432047;0.0044633937;0.0010424313;34.0;nan
437019682;4259850;4325386;0;0;0;0;0;0;0;0;686.8443;666.8611;2060.5327;2000.5833;3.830542;0.1170058;4.090058e-08;-1.1852186;0.07892;-9.923346;0.1781616;0.0494962;0.00022128742;2.1106677;1.6277617;12.805081;0.0041946503;0.027098274;0.0044876016;34.0;nan
437950871;4259850;4325386;0;0;0;0;0;0;0;0;686.84436;666.861;2060.533;2000.5829;2.898196;0.096642695;7.2060075e-08;0.69438595;-0.04316307;-9.485625;-0.18134196;0.6527858;0.010652644;1.5487418;0.79003614;3.8202188;0.0071673305;0.023253316;0.0010820057;34.0;nan
438985589;4259850;4325386;0;0;0;0;0;0;0;0;686.84503;666.8609;2060.5352;2000.5826;3.875396;0.1270359;1.3549783e-07;-1.3459685;0.012409383;-9.798377;0.15912065;-1.1585342;-0.0014100604;2.0377185;1.441188;17.830029;0.0046661883;0.03390539;0.0011126968;34.0;nan
440020300;4259850;4325386;0;0;0;0;0;0;0;0;686.84656;666.8608;2060.5396;2000.5823;3.6696804;0.12556009;1.5367695e-07;-1.0465248;-0.74312425;-9.739748;-0.07422885;1.4606576;-0.059073284;5.7533784;1.0607784;16.366459;0.023312151;0.04436687;0.00071761996;34.0;nan
440951532;4259850;4325386;0;0;0;0;0;0;0;0;686.8526;666.86066;2060.5579;2000.582;4.5457954;0.19302268;2.1839024e-07;5.64591;3.5420697;-6.9183216;-0.65892005;0.34904647;1.6918303;1.5834074;7.9280553;2.4353862;0.044931863;0.03503132;0.017876698;34.0;nan
