timestamp;yaw_sp_move_rate;q_d[0];q_d[1];q_d[2];q_d[3];thrust_body[0];thrust_body[1];thrust_body[2];reset_integral;fw_control_yaw_wheel
431333363;2.5704439;0.9462659;0.0;0.0;0.3233897;0.0;0.0;-0.0;0;0
431337844;2.5704439;0.9462629;0.0;0.0;0.32339835;0.0;0.0;-0.0;0;0
431387374;2.5704439;0.94620353;0.0;0.0;0.32357198;0.0;0.0;-0.0;0;0
431432372;2.5704439;0.9461885;0.0;0.0;0.3236159;0.0;0.0;-0.0;0;0
431486309;2.5704439;0.9461164;0.0;0.0;0.32382682;0.0;0.0;-0.0;0;0
431535829;2.5704439;0.9460634;0.0;0.0;0.3239816;0.0;0.0;-0.0;0;0
431585270;2.5704439;0.94599354;0.0;0.0;0.3241855;0.0;0.0;-0.0;0;0
431634822;2.5704439;0.9459998;0.0;0.0;0.32416728;0.0;0.0;-0.0;0;0
431684267;2.5704439;0.9459825;0.0;0.0;0.32421765;0.0;0.0;-0.0;0;0
431733764;2.5704439;0.9460052;0.0;0.0;0.3241514;0.0;0.0;-0.0;0;0
431783246;2.5704439;0.94600636;0.0;0.0;0.32414812;0.0;0.0;-0.0;0;0
431837246;2.5704439;0.94614977;0.0;0.0;0.32372925;0.0;0.0;-0.0;0;0
431886686;2.5704439;0.9461138;0.0;0.0;0.3238342;0.0;0.0;-0.0;0;0
431936184;2.5704439;0.94631714;0.0;0.0;0.32323968;0.0;0.0;-0.0;0;0
431985684;2.5704439;0.9463381;0.0;0.0;0.3231783;0.0;0.0;-0.0;0;0
432035145;2.5704439;0.94641227;0.0;0.0;0.322961;0.0;0.0;-0.0;0;0
432084674;2.5704439;0.9465813;0.0;0.0;0.3224652;0.0;0.0;-0.0;0;0
432134110;2.5704439;0.9466471;0.0;0.0;0.3222721;0.0;0.0;-0.0;0;0
432188108;2.5704439;0.9467493;0.0;0.0;0.3219715;0.0;0.0;-0.0;0;0
432237581;2.5030801;0.94678205;0.0;0.0;0.32187533;0.0;0.0;-0.0;0;0
432282564;2.113091;0.94682705;0.0;0.0;0.32174298;0.0;0.0;-0.0;0;0
432332098;1.5766703;0.94682735;0.0;0.0;0.321742;0.0;0.0;-0.0;0;0
432386046;1.053764;0.94679064;0.0;0.0;0.32185006;0.0;0.0;-0.0;0;0
432435544;0.72592795;0.9468528;0.0;0.0;0.3216672;0.0;0.0;-0.0;0;0
432485012;0.42093098;0.9469664;0.0;0.0;0.32133254;0.0;0.0;-0.0;0;0
432534531;0.23046641;0.9469877;0.0;0.0;0.3212699;0.0;0.0;-0.0;0;0
