timestamp;timestamp_sample;states[0];states[1];states[2];states[3];states[4];states[5];states[6];states[7];states[8];states[9];states[10];states[11];states[12];states[13];states[14];states[15];states[16];states[17];states[18];states[19];states[20];states[21];states[22];states[23];states[24];covariances[0];covariances[1];covariances[2];covariances[3];covariances[4];covariances[5];covariances[6];covariances[7];covariances[8];covariances[9];covariances[10];covariances[11];covariances[12];covariances[13];covariances[14];covariances[15];covariances[16];covariances[17];covariances[18];covariances[19];covariances[20];covariances[21];covariances[22];covariances[23];n_states
431639652;431468080;0.94604665;-0.0010516347;0.010984971;0.3238428;-2.959658;0.017894717;-0.10292229;0.0;0.0;-1.4117368;0.00089514547;0.00020185125;0.0005905509;-0.00089639664;-0.020140106;-0.067030676;0.24863026;-0.0002894456;-0.18941872;0.14018999;-0.024078919;-0.1931569;0.0;0.0;-1.3117368;0.00013840597;0.00012668633;0.006722082;1.177452;1.5039746;0.009127423;71.18377;89.58567;0.21036759;3.0356878e-07;2.9366285e-07;3.529171e-07;0.0011829754;0.0014147903;1.969441e-05;0.0005094667;5.3648805e-06;0.00039818292;0.0003432852;0.00058459555;0.00039178776;1.0;1.0;0.010000001;25
432134463;431962938;0.9466828;-0.0009204996;0.011901806;0.3219459;-3.2366433;0.004780969;-0.10472228;0.0;0.0;-1.4129236;0.0008599512;0.00014547884;0.00061983085;-0.0008752325;-0.020582033;-0.06706982;0.24710056;-0.00028413092;-0.1894324;0.14101714;-0.025482876;-0.19295189;0.0;0.0;-1.3129236;0.0001427693;0.00013020991;0.006721259;1.2574185;1.6226815;0.009161456;79.40698;100.77862;0.21278459;3.0608393e-07;2.9589856e-07;3.5441127e-07;0.001176272;0.0014135101;1.9563748e-05;0.0005073354;5.3580497e-06;0.00039683018;0.0003429108;0.00058169145;0.00039037768;1.0;1.0;0.010000001;25
432638373;432466841;0.94621134;0.020030638;0.035781696;0.32094032;-3.4653614;-0.041519552;-0.1032483;0.0;0.0;-1.410612;0.00082965184;0.00010166755;0.00063628954;-0.0010867543;-0.020863159;-0.06714083;0.24696882;-0.00028395443;-0.18957205;0.14145029;-0.02515211;-0.1927265;0.0;0.0;-1.310612;0.00014723069;0.00013379172;0.0067259474;1.3399148;1.7491983;0.009112437;88.37822;113.324295;0.21212667;3.0840098e-07;2.9791957e-07;3.5589431e-07;0.0011686786;0.0014121237;1.9411069e-05;0.0005062633;5.3493845e-06;0.0003963454;0.0003426252;0.00057986414;0.0003898434;1.0;1.0;0.010000001;25
433133264;432961700;0.9459865;0.016052037;0.033980906;0.32202035;-3.601685;-0.097039916;-0.10203285;0.0;0.0;-1.4092969;0.0008134085;8.211558e-05;0.0006429033;-0.0015808563;-0.020850256;-0.06724057;0.24749923;-0.0002845981;-0.18974662;0.14135149;-0.024377797;-0.19255567;0.0;0.0;-1.3092968;0.00015159325;0.00013727714;0.00672382;1.4210982;1.8792092;0.00902848;97.75708;126.81544;0.21075684;3.104815e-07;2.9970636e-07;3.5732734e-07;0.0011610275;0.0014107146;1.925664e-05;0.00050493557;5.340698e-06;0.0003958118;0.00034243902;0.0005772236;0.00038932185;1.0;1.0;0.010000001;25
433637093;433465509;0.94579405;0.00049021636;0.029265163;0.3234456;-3.7747588;-0.1212656;-0.10439791;0.0;0.0;-1.4193016;0.000795258;5.823483e-05;0.00064922747;-0.0018448835;-0.021009615;-0.06730319;0.24765971;-0.0002841563;-0.1899868;0.1412911;-0.024153514;-0.19229461;0.0;0.0;-1.3193016;0.00015608035;0.00014078653;0.0067325444;1.5084684;2.0188193;0.008959562;108.22882;141.8351;0.20984071;3.1274502e-07;3.017066e-07;3.5904458e-07;0.0011534917;0.001409397;1.9105082e-05;0.00050437986;5.3340473e-06;0.00039556075;0.00034226768;0.00057614647;0.00038907275;1.0;1.0;0.010000001;25
434140975;433969365;0.945424;-0.012863049;0.045670886;0.3223697;-3.9875572;-0.14011289;-0.11232243;0.0;0.0;-1.4256109;0.00077085843;2.8744174e-05;0.00065522594;-0.0021427462;-0.021219874;-0.06737254;0.24750158;-0.00028128066;-0.19027409;0.141063;-0.024609668;-0.1919721;0.0;0.0;-1.3256109;0.00016060389;0.00014426565;0.006732466;1.5928313;2.164935;0.008967321;119.23996;158.21358;0.21250662;3.1472715e-07;3.0327217e-07;3.600261e-07;0.0011467419;0.0014080671;1.897548e-05;0.0005037865;5.325565e-06;0.00039461014;0.00034199044;0.00057457224;0.00038813057;1.0;1.0;0.010000001;25
434635826;434464224;0.94150597;-0.013244127;0.10984519;0.3183164;-3.9747074;-0.14705694;-0.0951395;0.0;0.0;-1.4317209;0.0007813085;3.1048377e-05;0.00066976075;-0.0027562343;-0.021148236;-0.06748226;0.24678522;-0.00028149944;-0.19062793;0.14188203;-0.0246949;-0.19157356;0.0;0.0;-1.3334575;0.00016493496;0.00014759935;0.006716722;1.6608516;2.310706;0.008789206;130.00346;175.70932;0.2108263;3.1625493e-07;3.0419656e-07;3.6073507e-07;0.0011393182;0.0014066895;1.8826653e-05;0.00049962755;5.3169965e-06;0.00038766468;0.00033698007;0.00057258963;0.0003815478;1.0;1.0;0.024069984;25
435140015;434968080;0.9437877;0.012904738;0.03331353;0.32861626;-4.1546497;-0.20853351;-0.1189271;0.0;0.0;-1.4316329;0.0007670933;3.3550887e-06;0.0006925526;-0.0027865348;-0.021407658;-0.06752753;0.24676584;-0.00028061337;-0.19087046;0.14224136;-0.024327142;-0.19130318;0.0;0.0;-1.3334575;0.00016944972;0.00015093722;0.006719836;1.7469128;2.4703863;0.008719394;142.40005;195.06456;0.20949732;3.1807744e-07;3.0563749e-07;3.6174762e-07;0.0011324713;0.0014053644;1.8686533e-05;0.00049779314;5.308504e-06;0.00038536137;0.00033532505;0.0005712179;0.0003793296;1.0;1.0;0.15614884;25
435634496;435462939;0.9456773;0.005099514;0.013142381;0.324801;-4.3331575;-0.15330164;-0.10100615;0.0;0.0;-1.4321679;0.0007513285;-2.8295894e-05;0.0007006715;-0.003026005;-0.021812363;-0.06758813;0.24648921;-0.00027794606;-0.19048065;0.14234123;-0.024738677;-0.1916659;0.0;0.0;-1.3334575;0.00017402032;0.00015420887;0.0067070904;1.8354405;2.6323988;0.008733654;155.92361;215.7377;0.2112729;3.2013682e-07;3.0738684e-07;3.6286252e-07;0.0011268092;0.0014041954;1.8572488e-05;0.00049603265;5.3018025e-06;0.00038370394;0.00033510858;0.00056793756;0.00037759615;1.0;1.0;0.28826725;25
436138307;435966796;0.9463399;-0.012361782;0.0049763727;0.3228984;-4.5807166;-0.14464372;-0.10121028;0.0;0.0;-1.4357738;0.0007263487;-7.057652e-05;0.00071105035;-0.0030413321;-0.022298304;-0.067626335;0.24626;-0.00027736282;-0.18984734;0.14279643;-0.024707345;-0.19224153;0.0;0.0;-1.3334575;0.00017869855;0.00015748895;0.006709317;1.9294817;2.8053346;0.008706956;170.65695;238.5037;0.20997484;3.2209562e-07;3.0903334e-07;3.6389363e-07;0.0011209616;0.001402962;1.8446866e-05;0.00049409585;5.2933606e-06;0.00038255018;0.00033466826;0.0005655248;0.00037636844;1.0;1.0;0.42450923;25
436633500;436461655;0.94644713;0.0050189234;0.006610669;0.32275245;-4.80235;-0.14266999;-0.13007936;0.0;0.0;-1.4548832;0.00070071814;-0.00010113073;0.00070666114;-0.002984754;-0.022735137;-0.0676443;0.24568331;-0.00027865102;-0.18862027;0.14358127;-0.024896417;-0.19338086;0.0;0.0;-1.3334575;0.00018345611;0.00016076998;0.006715431;2.031856;2.984743;0.008778842;186.5123;262.77664;0.21184166;3.241404e-07;3.1085125e-07;3.6496436e-07;0.0011161299;0.0014018252;1.8344423e-05;0.0004900923;5.2848304e-06;0.0003797722;0.0003328025;0.00056278607;0.00037347898;1.0;1.0;0.5610329;25
437136947;436965558;0.946067;0.008500571;-0.027509091;0.32268927;-4.995752;-0.09670999;-0.11579606;0.0;0.0;-1.4674181;0.0006824464;-0.00013278794;0.00070520607;-0.0031274098;-0.023143835;-0.067687705;0.2451561;-0.00027868;-0.18777315;0.14414693;-0.025200728;-0.19416116;0.0;0.0;-1.3334575;0.00018832485;0.00016408214;0.006720353;2.1365917;3.1731377;0.008764123;203.8212;289.49323;0.21066229;3.263338e-07;3.1284532e-07;3.6646549e-07;0.001111113;0.0014007094;1.8230523e-05;0.00048705767;5.278233e-06;0.00037779784;0.00033169653;0.00056014984;0.0003714271;1.0;1.0;0.7015839;25
437640939;437469368;0.9457009;-0.010422479;-0.0038629372;0.32484838;-5.161202;-0.06817071;-0.098055705;0.0;0.0;-1.48273;0.00066351355;-0.00016441279;0.0007031021;-0.0033393838;-0.023477003;-0.06774363;0.24490906;-0.00027899063;-0.18721667;0.14451404;-0.025264792;-0.19468236;0.0;0.0;-1.3334575;0.00019336549;0.00016749534;0.0067232903;2.2390504;3.3689394;0.008729599;222.00803;318.49933;0.20961069;3.2838147e-07;3.1461457e-07;3.6755725e-07;0.0011063928;0.0013996053;1.812076e-05;0.00048478408;5.269761e-06;0.00037587978;0.0003305892;0.0005580573;0.00036942898;1.0;1.0;0.84563136;25
438135834;437964227;0.94473773;-0.018346589;0.042427827;0.32455188;-5.3977394;-0.08328684;-0.13308106;0.0;0.0;-1.4996008;0.0006408874;-0.00018686267;0.0006948812;-0.0034247295;-0.023839386;-0.067790754;0.2442919;-0.000280714;-0.18599018;0.1453098;-0.025492473;-0.19582865;0.0;0.0;-1.3334575;0.00019804487;0.00017056095;0.0067281933;2.3485436;3.570319;0.008737406;241.1912;348.78442;0.20804128;3.301759e-07;3.1626794e-07;3.6859802e-07;0.0011018924;0.0013983777;1.8013738e-05;0.00048036652;5.261179e-06;0.00037202527;0.00032784988;0.00055561325;0.0003654878;1.0;1.0;0.9891322;25
438639650;438468084;0.9450013;0.0116354935;-0.028176228;0.32564312;-5.638592;-0.102482654;-0.17518392;0.0;0.0;-1.5187995;0.00062288326;-0.00021370527;0.0006907063;-0.0034767147;-0.024202332;-0.06782408;0.24364272;-0.00028249202;-0.18496479;0.14619124;-0.02563619;-0.19676666;0.0;0.0;-1.3334575;0.00020311923;0.00017388094;0.006728173;2.4698887;3.7892528;0.008842201;262.4002;382.27536;0.21060349;3.3236887e-07;3.183843e-07;3.701768e-07;0.0010980986;0.0013972984;1.7926499e-05;0.0004766371;5.254527e-06;0.00036755952;0.00032463705;0.00055398565;0.0003609633;1.0;1.0;1.1367548;25
439134530;438962943;0.94270116;0.01903034;-0.04472938;0.3300782;-5.738765;-0.0068814666;-0.074450165;0.0;0.0;-1.5345958;0.0006136205;-0.00024242344;0.00068788335;-0.0037606992;-0.02452426;-0.06788643;0.24355876;-0.00028257183;-0.1847184;0.14638332;-0.025613587;-0.19700542;0.0;0.0;-1.3334575;0.00020773108;0.00017685126;0.0067130206;2.5595107;3.9921794;0.00876177;283.02463;417.10706;0.20902595;3.338763e-07;3.1959752e-07;3.7086937e-07;0.0010938622;0.0013960137;1.7823251e-05;0.00047458668;5.2459027e-06;0.00036425458;0.00032276293;0.00055170665;0.00035762807;1.0;1.0;1.2839;25
439638452;439466800;0.9398359;-0.040588755;0.079278834;0.329812;-5.9582114;-0.04672256;-0.12073896;0.0;0.0;-1.5546821;0.00060115167;-0.0002680628;0.0006787302;-0.0041940175;-0.024734462;-0.067976065;0.24287014;-0.00028530663;-0.18403907;0.14730193;-0.025712552;-0.1976206;0.0;0.0;-1.3334575;0.00021343002;0.00018052831;0.0066965534;2.6731176;4.2342014;0.008758098;306.01462;456.45654;0.20816159;3.3607444e-07;3.2149794e-07;3.7184404e-07;0.0010900181;0.0013950125;1.772494e-05;0.00046982252;5.237325e-06;0.00035705534;0.00031747378;0.00054988917;0.00035044792;1.0;1.0;1.4385289;25
440133156;439961660;0.9426497;0.03185673;-0.005662622;0.33221167;-6.299213;-0.11147117;-0.21060169;0.0;0.0;-1.5617203;0.0005784281;-0.00029045227;0.000674775;-0.0042322995;-0.02503518;-0.06802304;0.2420593;-0.00028608833;-0.18296152;0.14812033;-0.026187185;-0.19860727;0.0;0.0;-1.3334575;0.00021857998;0.00018372534;0.006687824;2.8056335;4.48315;0.00889256;330.87384;497.12558;0.2102011;3.3814496e-07;3.2359299e-07;3.7321692e-07;0.0010866942;0.0013939152;1.7643e-05;0.00046518608;5.2305077e-06;0.00035090762;0.00031286723;0.0005481853;0.00034428234;1.0;1.0;1.5909574;25
440636890;440465517;0.859534;-0.24887055;0.28183135;0.34617338;-5.5338774;-0.051076736;-0.15247647;0.0;0.0;-1.5966614;0.0006428967;-0.00020095814;0.00064444955;-0.0056255134;-0.024084765;-0.06823821;0.23591156;-0.00032365098;-0.17932628;0.15796971;-0.024431812;-0.20156759;0.0;0.0;-1.3334575;0.00022385568;0.00018721652;0.0062523275;2.8045745;4.719557;0.0086085275;346.2198;542.1844;0.20925243;3.393401e-07;3.2347506e-07;3.729279e-07;0.0010821846;0.0013925154;1.753707e-05;0.0004487145;5.2209093e-06;0.0002916506;0.00026999513;0.000544447;0.00028593725;1.0;1.0;1.748497;25
441140961;440969422;0.6825334;-0.34820566;0.19308591;0.6128776;-5.653351;-0.10076706;-0.12015029;0.0;0.0;-1.6019958;0.0006480325;-0.00016410573;0.00054811605;-0.006805629;-0.023729553;-0.06842847;0.24142954;-0.00036736412;-0.17583911;0.15939902;-0.014624811;-0.2053024;0.0;0.0;-1.3334575;0.0002304214;0.00019058383;0.004169045;2.8646784;5.008356;0.008687384;366.08777;591.8064;0.20778586;3.4210453e-07;3.251218e-07;3.638993e-07;0.0010784297;0.0013916927;1.744222e-05;0.00038198338;5.2086857e-06;0.00023232486;0.00022644238;0.0004038348;0.00021997074;1.0;1.0;1.8972657;25
441636096;441464281;0.39881843;-0.36714366;0.011047402;0.84025437;-6.161831;0.28065288;-0.15973748;0.0;0.0;-1.6190882;0.00061550323;-0.0002005565;0.0005889322;-0.0071838405;-0.023474777;-0.06851825;0.24195363;-0.00031282846;-0.17129268;0.1526497;-0.02234754;-0.21019724;0.0;0.0;-1.3334575;0.00023465845;0.0001918495;0.0020096542;2.9682314;5.301519;0.009155383;390.48038;644.00995;0.20916526;3.4515728e-07;3.2838625e-07;3.5651786e-07;0.0010764932;0.0013908731;1.737946e-05;0.00019920981;5.1973916e-06;0.00021692752;0.00015329581;0.00017159797;0.0001995991;1.0;1.0;2.0470445;25
442139667;441968091;0.23517041;-0.0034718974;0.099993974;0.9667906;-7.1066446;0.044633843;-0.132438;0.0;0.0;-1.6046821;0.00051450264;-0.00029816787;0.0005149411;-0.0067898263;-0.024113659;-0.06850914;0.24534334;-0.00033922293;-0.17566545;0.15205237;-0.017085899;-0.20582749;0.0;0.0;-1.3334575;0.00023264911;0.00019043694;0.0013029727;3.0392296;5.580827;0.009383185;413.06448;699.2512;0.20791632;3.4736962e-07;3.310282e-07;3.5777646e-07;0.0010751563;0.0013893959;1.7337623e-05;9.261659e-05;5.1895518e-06;0.00018865586;8.66313e-05;8.2599036e-05;0.00017778168;1.0;1.0;2.2118287;25
442634519;442462950;0.25525302;0.0037002433;0.021032028;0.96663845;-8.319396;-0.02392595;-0.110969506;0.0;0.0;-1.5873591;0.00038570043;-0.0004133703;0.00047071974;-0.0058092526;-0.024668522;-0.06845127;0.25285065;-0.00034162047;-0.18154567;0.14694698;-0.010665806;-0.20037039;0.0;0.0;-1.3334575;0.00022951448;0.00018889809;0.0009496083;3.1220639;5.8634477;0.009394194;438.26895;756.8594;0.20644331;3.4955133e-07;3.335673e-07;3.6065276e-07;0.0010741423;0.0013870902;1.7286655e-05;5.5328182e-05;5.1817174e-06;0.00017300971;5.4384822e-05;5.2418614e-05;0.0001658485;1.0;1.0;2.3889606;25
443138425;442966808;0.26485333;-0.018794538;-0.037279557;0.96338457;-9.355874;-0.0044178157;-0.10831144;0.0;0.0;-1.574586;0.00027184517;-0.0005031162;0.0004422595;-0.004993355;-0.02497528;-0.068408236;0.2561636;-0.00033969688;-0.18491974;0.14472236;-0.007650263;-0.19710663;0.0;0.0;-1.3334575;0.00022621363;0.00018734002;0.0007750458;3.2223597;6.147001;0.009475891;467.4136;818.4426;0.20942599;3.517208e-07;3.3626853e-07;3.6414554e-07;0.0010734795;0.0013844215;1.7256287e-05;4.0308638e-05;5.1746656e-06;0.00016541671;4.023723e-05;3.9320275e-05;0.00015990225;1.0;1.0;2.5906627;25
443633248;443461667;0.26959276;-0.023344208;-0.048752885;0.96145624;-10.176885;0.03733759;-0.1090739;0.0;0.0;-1.5634392;0.0001824148;-0.00056868023;0.00042681256;-0.004359356;-0.02511685;-0.06838299;0.25787905;-0.0003380228;-0.18703647;0.14357927;-0.00600567;-0.19500898;0.0;0.0;-1.3334575;0.00022312673;0.00018592062;0.0006832564;3.3313098;6.424984;0.009421161;498.5252;882.26306;0.20846765;3.5398003e-07;3.3908202e-07;3.6785647e-07;0.0010729585;0.0013810096;1.722537e-05;3.3109067e-05;5.169389e-06;0.00016120648;3.3003416e-05;3.2857966e-05;0.00015657097;1.0;1.0;2.8071747;25
