timestamp;imbalanced_prop_metric;motor_failure_mask;fd_roll;fd_pitch;fd_alt;fd_ext;fd_arm_escs;fd_battery;fd_imbalanced_prop;fd_motor
431266051;0.02783633;0;0;0;0;0;0;0;0;0
431776503;0.027030332;0;0;0;0;0;0;0;0;0
432282757;-0.011122325;0;0;0;0;0;0;0;0;0
432788521;-0.032328974;0;0;0;0;0;0;0;0;0
433294512;-0.0377981;0;0;0;0;0;0;0;0;0
433802522;-0.10110575;0;0;0;0;0;0;0;0;0
434308523;-0.13618824;0;0;0;0;0;0;0;0;0
434814501;-0.18605708;0;0;0;0;0;0;0;0;0
435320520;-0.2687527;0;0;0;0;0;0;0;0;0
435826503;-0.35659507;0;0;0;0;0;0;0;0;0
436332499;-0.43968725;0;0;0;0;0;0;0;0;0
436838501;-0.53362566;0;0;0;0;0;0;0;0;0
437344515;-0.66171664;0;0;0;0;0;0;0;0;0
437850546;-0.68584037;0;0;0;0;0;0;0;0;0
438356741;-0.6877588;0;0;0;0;0;0;0;0;0
438862544;-0.75957006;0;0;0;0;0;0;0;0;0
439368502;-0.8940334;0;0;0;0;0;0;0;0;0
439874542;-0.93591744;0;0;0;0;0;0;0;0;0
440380522;-1.0228504;0;0;0;0;0;0;0;0;0
440886502;-1.0543622;0;0;0;0;0;0;0;0;0
441392783;-1.0094467;0;0;0;0;0;0;0;0;0
441898502;-1.1781104;0;0;0;0;0;0;0;0;0
442404714;-1.3052152;0;0;0;0;0;0;0;0;0
442910502;-1.4466143;0;0;0;0;0;0;0;0;0
443416500;-1.5348555;0;0;0;0;0;0;0;0;0
443922519;-1.5720385;0;0;0;0;0;0;0;0;0
444428534;-1.6074195;0;0;0;0;0;0;0;0;0
444936519;-1.6207596;0;0;0;0;0;0;0;0;0
445442519;-1.6987627;0;0;0;0;0;0;0;0;0
445948502;-1.7487286;0;0;0;0;0;0;0;0;0
446455634;-1.7766082;0;0;0;0;0;0;0;0;0
446961503;-1.8215793;0;0;0;0;0;0;0;0;0
447467545;-1.7949561;0;0;0;0;0;0;0;0;0
447973502;-1.817506;0;0;0;0;0;0;0;0;0
448479545;-1.8896894;0;0;0;0;0;0;0;0;0
448985661;-1.9336625;0;0;0;0;0;0;0;0;0
449491615;-2.0076842;0;0;0;0;0;0;0;0;0
449997501;-2.0462132;0;0;0;0;0;0;0;0;0
450503519;-2.1130962;0;0;0;0;0;0;0;0;0
451009502;-2.15514;0;0;0;0;0;0;0;0;0
451515635;-2.167785;0;0;0;0;0;0;0;0;0
452021501;-2.2413948;0;0;0;0;0;0;0;0;0
452527548;-2.2842405;0;0;0;0;0;0;0;0;0
453033540;-2.296163;0;0;0;0;0;0;0;0;0
453539518;-2.2676184;0;0;0;0;0;0;0;0;0
454045635;-2.259301;0;0;0;0;0;0;0;0;0
454551499;-2.2411668;0;0;0;0;0;0;0;0;0
455057532;-2.2620206;0;0;0;0;0;0;0;0;0
455563959;-2.1809795;0;0;0;0;0;0;0;0;0
456069773;-2.3441072;0;0;0;0;0;0;0;0;0
456575897;-2.4590712;0;0;0;0;0;0;0;0;0
457081521;-2.4379199;0;0;0;0;0;0;0;0;0
457587501;-2.3549025;0;0;0;0;0;0;0;0;0
458093521;-2.2901938;0;0;0;0;0;0;0;0;0
458599500;-2.3461156;0;0;0;0;0;0;0;0;0
459107903;-2.4610043;0;0;0;0;0;0;0;0;0
459613500;-2.515429;0;0;0;0;0;0;0;0;0
460119502;-2.5515954;0;0;0;0;0;0;0;0;0
460625501;-2.5887153;0;0;0;0;0;0;0;0;0
461132502;-2.5616434;0;0;0;0;0;0;0;0;0
461638501;-2.4901233;0;0;0;0;0;0;0;0;0
462144501;-2.345482;0;0;0;0;0;0;0;0;0
462650861;-2.2725952;0;0;0;0;0;0;0;0;0
463156512;-2.176628;0;0;0;0;0;0;0;0;0
463662586;-2.1893163;0;0;0;0;0;0;0;0;0
464168523;-2.323698;0;0;0;0;0;0;0;0;0
464674534;-2.404018;0;0;0;0;0;0;0;0;0
465180501;-2.4672847;0;0;0;0;0;0;0;0;0
465686520;-2.4584565;0;0;0;0;0;0;0;0;0
466192501;-2.51889;0;0;0;0;0;0;0;0;0
466698534;-2.5460117;0;0;0;0;0;0;0;0;0
468722534;-2.46846;0;0;0;0;0;0;0;0;0
469228501;-2.4918904;0;0;0;0;0;0;0;0;0
469735132;-2.4805627;0;0;0;0;0;0;0;0;0
470241502;-2.4753797;0;0;0;0;0;0;0;0;0
470747635;-2.4327784;0;0;0;0;0;0;0;0;0
471253501;-2.4640884;0;0;0;0;0;0;0;0;0
471760501;-2.539244;0;0;0;0;0;0;0;0;0
472266525;-2.549293;0;0;0;0;0;0;0;0;0
472772550;-2.6640277;0;0;0;0;0;0;0;0;0
473278522;-2.6892693;0;0;0;0;0;0;0;0;0
473784517;-2.6640298;0;0;0;0;0;0;0;0;0
474290652;-2.6157303;0;0;0;0;0;0;0;0;0
474796500;-2.591954;0;0;0;0;0;0;0;0;0
475302539;-2.5640912;0;0;0;0;0;0;0;0;0
475808500;-2.5406575;0;0;0;0;0;0;0;0;0
476314581;-2.5842354;0;0;0;0;0;0;0;0;0
476820981;-2.5153055;0;0;0;0;0;0;0;0;0
477326501;-2.6990206;0;0;0;0;0;0;0;0;0
477832717;-2.7014134;0;0;0;0;0;0;0;0;0
478338501;-2.6441627;0;0;0;0;0;0;0;0;0
478844555;-2.5929735;0;0;0;0;0;0;0;0;0
479350517;-2.4886239;0;0;0;0;0;0;0;0;0
479857501;-2.5877616;0;0;0;0;0;0;0;0;0
480363622;-2.647224;0;0;0;0;0;0;0;0;0
480869502;-2.6770012;0;0;0;0;0;0;0;0;0
481375593;-2.6586084;0;0;0;0;0;0;0;0;0
481881568;-2.5625572;0;0;0;0;0;0;0;0;0
482387502;-2.4890952;0;0;0;0;0;0;0;0;0
482893519;-2.3947306;0;0;0;0;0;0;0;0;0
483400519;-2.396771;0;0;0;0;0;0;0;0;0
483907519;-2.4508805;0;0;0;0;0;0;0;0;0
484413519;-2.613965;0;0;0;0;0;0;0;0;0
484919635;-2.654987;0;0;0;0;0;0;0;0;0
485425500;-2.6737142;0;0;0;0;0;0;0;0;0
485931504;-2.687195;0;0;0;0;0;0;0;0;0
486437502;-2.6216178;0;0;0;0;0;0;0;0;0
486943528;-2.5531275;0;0;0;0;0;0;0;0;0
487449679;-2.4904916;0;0;0;0;0;0;0;0;0
487955524;-2.4617205;0;0;0;0;0;0;0;0;0
488461535;-2.4169033;0;0;0;0;0;0;0;0;0
488967500;-2.4107084;0;0;0;0;0;0;0;0;0
489473504;-2.361039;0;0;0;0;0;0;0;0;0
489979690;-2.3899925;0;0;0;0;0;0;0;0;0
490485519;-2.3484159;0;0;0;0;0;0;0;0;0
490991501;-2.309773;0;0;0;0;0;0;0;0;0
491497519;-2.1958265;0;0;0;0;0;0;0;0;0
492003513;-2.1564643;0;0;0;0;0;0;0;0;0
492509637;-2.119192;0;0;0;0;0;0;0;0;0
493015501;-2.1154418;0;0;0;0;0;0;0;0;0
493521520;-2.1516044;0;0;0;0;0;0;0;0;0
494027839;-2.1418014;0;0;0;0;0;0;0;0;0
494533922;-2.0840445;0;0;0;0;0;0;0;0;0
495039901;-2.1644826;0;0;0;0;0;0;0;0;0
495545501;-2.1559513;0;0;0;0;0;0;0;0;0
496051501;-2.1963394;0;0;0;0;0;0;0;0;0
496557502;-2.2528458;0;0;0;0;0;0;0;0;0
497065574;-2.3470001;0;0;0;0;0;0;0;0;0
497573005;-2.405772;0;0;0;0;0;0;0;0;0
498078516;-2.388795;0;0;0;0;0;0;0;0;0
498584791;-2.3658245;0;0;0;0;0;0;0;0;0
499090526;-2.3782017;0;0;0;0;0;0;0;0;0
499596501;-2.4009566;0;0;0;0;0;0;0;0;0
500102501;-2.4355464;0;0;0;0;0;0;0;0;0
500608521;-2.6196637;0;0;0;0;0;0;0;0;0
501114579;-2.6435888;0;0;0;0;0;0;0;0;0
501620501;-2.5952916;0;0;0;0;0;0;0;0;0
502126578;-2.4598994;0;0;0;0;0;0;0;0;0
502632501;-2.4120364;0;0;0;0;0;0;0;0;0
