timestamp;rxerrors;fix;rssi;remote_rssi;txbuf;noise;remote_noise
430665116;0;0;20;0;100;23;0
431605487;0;0;20;0;96;35;0
431825802;0;0;20;0;100;28;0
432519447;0;0;20;0;100;27;0
432744298;0;0;20;0;98;30;0
433481489;0;0;20;0;97;30;0
433656831;0;0;20;0;98;39;0
434609484;0;0;20;0;97;41;0
434830101;0;0;20;0;100;42;0
435518508;0;0;20;0;98;41;0
435748166;0;0;20;0;100;42;0
436687207;0;0;20;0;83;44;0
436747491;0;0;20;0;97;34;0
437608487;0;0;20;0;100;38;0
437829022;0;0;20;0;100;23;0
438531099;0;0;20;0;100;35;0
438747881;0;0;20;0;100;40;0
439696095;0;0;20;0;100;32;0
440605042;0;0;20;0;100;28;0
440831371;0;0;20;0;100;25;0
441522053;0;0;20;0;100;27;0
441776453;0;0;20;0;98;27;0
442465145;0;0;20;0;100;26;0
442689359;0;0;20;0;97;29;0
443615755;0;0;20;0;97;27;0
443857250;0;0;20;0;85;28;0
444544823;0;0;20;0;97;27;0
444760457;0;0;20;0;100;26;0
445474796;0;0;20;0;100;28;0
445689704;0;0;20;0;100;36;0
446615766;0;0;20;0;100;29;0
446854383;0;0;20;0;100;30;0
447591538;0;0;20;0;100;30;0
447769835;0;0;20;0;100;30;0
448468277;0;0;20;0;100;29;0
448698894;0;0;20;0;100;39;0
449635900;0;0;20;0;98;29;0
449644153;0;0;20;0;100;26;0
450544083;0;0;20;0;100;31;0
450782892;0;0;20;0;97;32;0
451714666;0;0;20;0;96;31;0
452634267;0;0;20;0;96;26;0
452649363;0;0;20;0;100;22;0
453551683;0;0;20;0;100;26;0
453788318;0;0;20;0;100;33;0
454540315;0;0;20;0;100;29;0
454701461;0;0;20;0;98;33;0
455632000;0;0;20;0;98;25;0
455637857;0;0;20;0;100;30;0
456557204;0;0;20;0;100;27;0
456795078;0;0;20;0;100;37;0
457717990;0;0;20;0;100;28;0
458635806;0;0;20;0;98;32;0
458641488;0;0;20;0;100;32;0
459574461;0;0;20;0;94;28;0
459805220;0;0;20;0;100;36;0
460713815;0;0;20;0;100;25;0
461692770;0;0;20;0;93;21;0
461713793;0;0;20;0;100;21;0
462566983;0;0;20;0;97;34;0
462789356;0;0;20;0;100;26;0
463729844;0;0;20;0;100;25;0
464644801;0;0;22;0;97;26;0
465565776;0;0;24;0;100;34;0
465804392;0;0;25;0;96;25;0
466498487;0;0;25;0;98;22;0
466737967;0;0;25;0;97;23;0
468590462;0;0;25;0;85;32;0
468856382;0;0;25;0;100;24;0
469518978;0;0;25;0;100;27;0
469730197;0;0;25;0;100;29;0
470656503;0;0;25;0;100;31;0
471589409;0;0;25;0;96;31;0
471810637;0;0;25;0;100;26;0
472557869;0;0;25;0;100;25;0
472729488;0;0;25;0;100;25;0
473674687;0;0;25;0;98;27;0
474587310;0;0;25;0;97;28;0
474810811;0;0;25;0;100;26;0
475760492;0;0;25;0;83;20;0
475791892;0;0;25;0;94;27;0
476681302;0;0;22;0;100;30;0
477593103;0;0;20;0;100;26;0
477815679;0;0;20;0;97;28;0
478761425;0;0;20;0;100;32;0
479675306;0;0;20;0;100;25;0
480589500;0;0;20;0;100;26;0
480839223;0;0;20;0;94;31;0
481763270;0;0;23;0;100;34;0
482685129;0;0;24;0;100;22;0
483612453;0;0;25;0;100;26;0
483831039;0;0;25;0;100;36;0
484751927;0;0;25;0;97;30;0
485686270;0;0;25;0;96;29;0
486657215;0;0;25;0;96;26;0
486670208;0;0;25;0;100;27;0
487756826;0;0;25;0;97;30;0
488703334;0;0;25;0;98;29;0
488709298;0;0;25;0;100;30;0
