timestamp;timestamp_sample;q[0];q[1];q[2];q[3];delta_q_reset[0];delta_q_reset[1];delta_q_reset[2];delta_q_reset[3];quat_reset_counter
433384802;433384532;0.94596547;0.00514774;0.029486982;0.32288298;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433434298;433434065;0.9459;0.0020193558;0.029448375;0.32311302;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433483740;433483504;0.9457893;0.00039531884;0.029444508;0.3234433;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433533254;433532989;0.9457773;0.00042757404;0.030247241;0.32340428;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433587170;433586974;0.9458062;-0.0011510955;0.032042526;0.32314485;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433636705;433636507;0.94574213;-0.004015816;0.034343474;0.3230731;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433686141;433685946;0.9455708;-0.0069779144;0.03600539;0.32334337;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433735653;433735432;0.9454457;-0.008190267;0.036008038;0.3236802;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433785130;433784917;0.9454342;-0.00832365;0.035274915;0.3237909;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433834604;433834403;0.9454603;-0.008911644;0.035964306;0.32362327;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433884134;433883936;0.94544715;-0.010213705;0.038183402;0.32336915;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433938120;433937874;0.9453306;-0.01172584;0.042414445;0.32313088;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
433987618;433987360;0.945119;-0.013222607;0.047624208;0.32296637;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
434032567;434032347;0.9448632;-0.014657488;0.053267814;0.3227713;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
434082052;434081833;0.944604;-0.015961612;0.059369955;0.3224033;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
434136106;434135817;0.9441909;-0.01666802;0.06691014;0.32210085;0.94111484;2.2947821e-09;3.859525e-09;0.33808726;1
