timestamp;timestamp_sample;roll;pitch;yaw;throttle;flaps;aux1;aux2;aux3;aux4;aux5;aux6;buttons;valid;data_source;sticks_moving
431262729;431261662;0.0;0.0;0.9925187;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
431462755;431261662;0.0;0.0;0.9925187;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
431570612;431569561;0.0;0.0;0.9925187;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
431770624;431569561;0.0;0.0;0.9925187;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
431885470;431884437;0.0;0.0;0.9925187;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
432085528;431884437;0.0;0.0;0.9925187;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
432335285;432334267;0.0;0.0;0.4588529;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
432515251;432514227;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
432695190;432694170;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
432785194;432694170;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
433122672;433121566;0.0;0.0;0.0;-0.849624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
433325038;433324000;0.0;0.0;0.0;-0.849624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
433504986;433503968;0.0;0.0;0.0;-0.859649;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
433729888;433728867;0.0;0.0;0.0;-0.8696741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
433797389;433728867;0.0;0.0;0.0;-0.8696741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
434089788;434088765;0.0;0.0;0.0;-0.87218034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
434224765;434223727;0.0;0.0;0.0;-0.8746866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
434517478;434516151;0.0;0.0;0.0;-0.52882195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
434674623;434673603;0.0;0.0;0.0;-0.5689222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
434922166;434921121;0.0;0.0;0.0;-0.66666657;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
435124517;435123497;0.0;0.0;0.0;-0.72180444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
435169568;435168549;0.0;0.0;0.0;-0.7192981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
435439437;435438419;0.0;0.0;0.0;-0.72180444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
435574380;435573353;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
435889280;435888259;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
436089292;435888259;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
436316672;436315636;0.0;0.0;0.0;-0.7293232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
436474114;436473094;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
436676579;436675535;0.0;0.0;0.0;-0.7293232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
436879035;436878016;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
437079047;436878016;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
437328929;437327878;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
437531327;437530293;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
437711286;437710250;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
437913721;437912695;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
438026188;438025146;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
438296101;438295076;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
438431054;438430030;0.0;0.0;0.0;-0.7243107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
438611000;438609979;0.0;0.0;0.0;-0.7293232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
438925906;438924886;0.0;0.0;0.0;-0.7293232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
439128785;439127379;0.0;0.0;0.0;-0.7293232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
439330797;439329775;0.0;0.0;0.0;-0.7293232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
