timestamp;voltage5v_v;voltage_payload_v;sensors3v3[0];sensors3v3[1];sensors3v3[2];sensors3v3[3];sensors3v3_valid;usb_connected;brick_valid;usb_valid;servo_valid;periph_5v_oc;hipower_5v_oc;comp_5v_valid;can1_gps1_5v_valid;payload_v_valid
431812102;5.029761;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
432312102;5.0156617;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
432812101;5.0546355;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
433312102;5.0229125;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
433812177;4.9733644;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
434312240;5.0411406;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
434812102;4.98696;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
435312103;5.052319;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
435812105;5.003778;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
436312115;5.0498013;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
436812101;5.0462766;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
437312235;4.9943113;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
437812102;5.019287;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
438312102;4.9963255;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
438812101;5.0499024;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
439312102;5.002972;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
439812103;5.0516143;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
440312102;5.0287538;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
440812220;5.05242;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
441312103;5.0581603;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
441812103;4.956244;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
442312110;5.047787;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
442812102;4.9957213;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
443312101;5.0439606;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
443812103;5.001361;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
444312202;5.0496;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
444812102;5.0738707;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
445312101;5.0456724;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
445812102;5.0460753;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
446312102;4.988873;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
446812116;5.069238;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
447312390;4.991492;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
447812193;5.049197;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
448312228;5.0001526;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
448812102;5.043054;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
449312102;5.070749;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
449812102;5.046579;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
450312101;5.037616;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
450812101;4.9821258;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
451312245;5.043054;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
451812103;4.997433;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
452312104;5.0470824;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
452812102;4.9957213;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
453312102;5.0401335;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
453812116;5.048996;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
454312102;5.041443;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
454812245;5.051312;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
455312258;4.995218;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
455812101;5.042651;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
456312102;4.9866576;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
456812102;5.048996;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
457312116;5.036206;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
457812102;5.0442624;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
458312131;5.0649076;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
458812121;4.9608765;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
459312102;5.03248;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
459812101;5.0022674;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
460312103;5.0478883;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
460812102;5.0005555;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
461312101;5.0387235;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
461812275;5.069943;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
