timestamp;load;ram_usage
431295393;0.32966304;0.37517843
431790633;0.41550362;0.37517843
432290981;0.36099082;0.37517843
432790517;0.34463835;0.37517843
433290912;0.34397346;0.37517843
433790535;0.34435332;0.37517843
434290531;0.34221703;0.37517843
434790518;0.34579396;0.37517843
435290628;0.34542006;0.37517843
435790518;0.34489113;0.37517843
436290517;0.34230566;0.37517843
436790547;0.34547883;0.37517843
437290519;0.33809572;0.37517843
437790518;0.34388924;0.37517843
438290535;0.3446567;0.37517843
438790547;0.33778095;0.37517843
439290529;0.3377704;0.37517843
439790536;0.3405264;0.37517843
440290519;0.33188492;0.37517843
440790518;0.32788324;0.37517843
441290654;0.32245994;0.37517843
441790531;0.32774;0.37517843
442290537;0.32852513;0.37517843
442790535;0.3383903;0.37517843
443290531;0.34059656;0.37517843
443790518;0.34334338;0.37517843
444290535;0.34169227;0.37517843
444790518;0.34410912;0.37517843
445290530;0.34217125;0.37517843
445790539;0.34395206;0.37517843
446290518;0.34398168;0.37517843
446790520;0.3440448;0.37517843
447290535;0.34331095;0.37517843
447790532;0.3442887;0.37517843
448290563;0.34119493;0.37517843
448790535;0.34386957;0.37517843
449290540;0.33870065;0.37517843
449790518;0.34446526;0.37517843
450291652;0.33815563;0.37517843
450790521;0.34580833;0.37517843
451290661;0.34074587;0.37517843
451790540;0.34416163;0.37517843
452290520;0.33846176;0.37517843
452790518;0.34545445;0.37517843
453290535;0.34551394;0.37517843
453790518;0.34324175;0.37517843
454290518;0.3452049;0.37517843
454790579;0.34346235;0.37517843
455290534;0.34145433;0.37517843
455790517;0.3440677;0.37517843
456290572;0.3237093;0.37517843
456790517;0.32043433;0.37517843
457290519;0.33953005;0.37517843
457790534;0.34066832;0.37517843
458290517;0.34220797;0.37517843
458790517;0.34217668;0.37517843
459290647;0.33368868;0.37517843
459790833;0.33990788;0.37517843
460290517;0.34054768;0.37517843
460790535;0.3433848;0.37517843
461290531;0.33880812;0.37517843
461790519;0.34269828;0.37517843
462290535;0.3424633;0.37517843
462790532;0.3396759;0.37517843
463290518;0.34006435;0.37517843
463790560;0.341838;0.37517843
464290518;0.333084;0.37517843
464790519;0.33829415;0.37517843
465290570;0.34141827;0.37517843
465790535;0.33993906;0.37517843
466290520;0.3360138;0.37517843
466790535;0.3401494;0.37517843
468290809;0.3351009;0.37517843
468790517;0.3314585;0.37517843
469290573;0.33854973;0.37517843
469790535;0.3422714;0.37517843
470290519;0.3413537;0.37517843
470790518;0.34347123;0.37517843
471290536;0.3380251;0.37517843
471790517;0.33547562;0.37517843
472290520;0.34132946;0.37517843
472790588;0.33723634;0.37517843
473290518;0.33554316;0.37517843
473790530;0.34283763;0.37517843
474290582;0.3414541;0.37517843
474790517;0.3420561;0.37517843
475290565;0.33875835;0.37517843
475790539;0.3411044;0.37517843
476290594;0.34074068;0.37517843
476790540;0.34140348;0.37517843
477290535;0.33828688;0.37517843
477790754;0.33949018;0.37517843
478290518;0.3412661;0.37517843
478790582;0.33973897;0.37517843
479290519;0.3345573;0.37517843
479790592;0.3438639;0.37517843
480290549;0.33490282;0.37517843
480790531;0.3374768;0.37517843
481290517;0.33968377;0.37517843
481790536;0.3400175;0.37517843
482290611;0.33513784;0.37517843
482790518;0.335868;0.37517843
483290572;0.33848113;0.37517843
483790518;0.33267754;0.37517843
484290518;0.33451116;0.37517843
484790603;0.3312781;0.37517843
485290519;0.33467352;0.37517843
485790538;0.33284295;0.37517843
486290931;0.3341962;0.37517843
486790573;0.34139162;0.37517843
487290519;0.3378234;0.37517843
487790535;0.33205086;0.37517843
488290518;0.3375938;0.37517843
488790518;0.33877856;0.37517843
489290535;0.33462733;0.37517843
489790546;0.33416802;0.37517843
490290573;0.33044052;0.37517843
490790577;0.33716172;0.37517843
491290517;0.33690667;0.37517843
491790518;0.34288412;0.37517843
492290535;0.34139645;0.37517843
492790518;0.34052634;0.37517843
493290518;0.32483852;0.37517843
493790576;0.33799297;0.37517843
494290518;0.341794;0.37517843
494790518;0.33211726;0.37517843
495290698;0.3390935;0.37517843
495791385;0.33898985;0.37517843
496290532;0.3418185;0.37517843
496790535;0.3362438;0.37517843
497290594;0.33563018;0.37517843
497790532;0.32659966;0.37517843
498290535;0.3281979;0.37517843
498790517;0.335146;0.37517843
499290518;0.33313805;0.37517843
499790561;0.33707333;0.37517843
500290531;0.32828522;0.37517843
500790520;0.31910533;0.37517843
501290535;0.3332647;0.37517843
501790517;0.331093;0.37517843
502290518;0.32936376;0.37517843
502790538;0.32662803;0.37517843
503290523;0.33530432;0.37517843
503790518;0.33670944;0.37517843
504290946;0.3410418;0.37517843
504790518;0.34064388;0.37517843
505290518;0.33562678;0.37517843
505790535;0.3259058;0.37517843
506290577;0.3166753;0.37517843
506790520;0.32953477;0.37517843
507290536;0.3383621;0.37517843
507790517;0.33190268;0.37517843
508290557;0.32878697;0.37517843
508790585;0.33103585;0.37517843
509290537;0.3352731;0.37517843
509790517;0.3232646;0.37517843
510290536;0.3307835;0.37517843
510790533;0.32412928;0.37517843
511290517;0.33141196;0.37517843
511790535;0.33277404;0.37517843
512290610;0.32998955;0.37517843
512790517;0.33769184;0.37517843
513290601;0.32613915;0.37517843
513790798;0.33646303;0.37517843
514290517;0.3317231;0.37517843
514790536;0.33066928;0.37517843
515290530;0.32441008;0.37517843
515790540;0.33131748;0.37517843
516290550;0.33530867;0.37517843
516790517;0.3298759;0.37517843
517290518;0.33755034;0.37517843
517790536;0.33855492;0.37517843
518290517;0.32294476;0.37517843
518790517;0.33616042;0.37517843
519290613;0.3366022;0.37517843
519790558;0.34176856;0.37517843
520290530;0.33387333;0.37517843
520790535;0.33354533;0.37517843
521290517;0.3356048;0.37517843
521790517;0.3404103;0.37517843
522290664;0.33799267;0.37517843
522790590;0.3399877;0.37517843
523290521;0.3331833;0.37517843
523790535;0.33001077;0.37517843
524290535;0.3299662;0.37517843
524790519;0.32519042;0.37517843
525290536;0.327316;0.37517843
525790518;0.32375634;0.37517843
526290531;0.32539207;0.37517843
526790536;0.33107603;0.37517843
527290517;0.3326214;0.37517843
527790518;0.32881182;0.37517843
528290535;0.32152534;0.37517843
528790577;0.31874186;0.37517843
529290519;0.3257888;0.37517843
529790558;0.33395934;0.37517843
530290517;0.32679224;0.37517843
530791576;0.3264295;0.37517843
531290535;0.33203602;0.37517843
531790517;0.33896077;0.37517843
532290530;0.33085728;0.37517843
532790536;0.34239656;0.37517843
533290553;0.33576828;0.37517843
533790519;0.336841;0.37517843
534290556;0.33980078;0.37517843
534790518;0.339652;0.37517843
535290540;0.3179658;0.37517843
535790539;0.33557898;0.37517843
536290518;0.33781135;0.37517843
536790519;0.34300423;0.37517843
537290550;0.32949567;0.37517843
537791236;0.32490098;0.37517843
538290520;0.32883495;0.37517843
538790537;0.33272296;0.37517843
539290567;0.32938892;0.37517843
539790557;0.33509493;0.37517843
540290815;0.33328664;0.37517843
540790518;0.33125937;0.37517843
541290539;0.32960308;0.37517843
541790560;0.33201128;0.37517843
542290520;0.3332473;0.37517843
542790518;0.33697665;0.37517843
543290535;0.33997047;0.37517843
543790518;0.3386619;0.37517843
544290517;0.34268284;0.37517843
544791184;0.3436321;0.37517843
545290518;0.33780593;0.37517843
545790529;0.34146702;0.37517843
546290535;0.3406623;0.37517843
546790517;0.34108287;0.37517843
547290532;0.34358507;0.37517843
547790544;0.33893824;0.37517843
548291289;0.3283928;0.37517843
548790563;0.3301714;0.37517843
549290535;0.33941096;0.37517843
549790517;0.3303269;0.37517843
550290518;0.3325823;0.37517843
550790556;0.33923382;0.37517843
551290517;0.33496124;0.37517843
551791191;0.34222978;0.37517843
552290535;0.34088904;0.37517843
552790564;0.3459962;0.37517843
553290518;0.33061296;0.37517843
553790535;0.3314156;0.37517843
554290518;0.33480603;0.37517843
554790559;0.33750612;0.37517843
555291098;0.3390985;0.37517843
555790518;0.33926284;0.37517843
556290603;0.34298813;0.37517843
556790550;0.33869076;0.37517843
557290704;0.3204016;0.37517843
557790578;0.33129525;0.37517843
558290665;0.33812916;0.37517843
558791387;0.3393355;0.37517843
559290562;0.34212643;0.37517843
559790594;0.3390596;0.37517843
560290518;0.3428318;0.37517843
560790519;0.33858633;0.37517843
561290565;0.3443482;0.37517843
561790518;0.33853388;0.37517843
562290782;0.3334067;0.37517843
562790536;0.33469737;0.37517843
563290569;0.33688563;0.37517843
563790518;0.34039354;0.37517843
564290535;0.33761865;0.37517843
564790518;0.3376214;0.37517843
565290517;0.3438353;0.37517843
565791173;0.33823562;0.37517843
566290522;0.34680992;0.37517843
566790574;0.330463;0.37517843
567290535;0.33982342;0.37543035
567790574;0.3376794;0.37543035
568290519;0.3330226;0.37543035
568790535;0.3365388;0.37543035
569290830;0.33836007;0.37543035
569790518;0.33135635;0.37543035
570290564;0.3216613;0.37543035
570790518;0.3387978;0.37543035
571290610;0.33080786;0.37543035
571790535;0.33110815;0.37543035
572290534;0.33466452;0.37543035
572790839;0.3422088;0.37543035
573290535;0.34171152;0.37543035
573790559;0.34286493;0.37543035
574290533;0.3408283;0.37543035
574790620;0.33777922;0.37543035
575290519;0.33760756;0.37543035
575790518;0.33995384;0.37543035
576290888;0.34581572;0.37543035
576790538;0.3305338;0.37543035
577290577;0.339751;0.37543035
577790535;0.33933693;0.37543035
578290565;0.34164542;0.37543035
578790541;0.33773732;0.37543035
579290537;0.34102505;0.37543035
579790875;0.3356638;0.37543035
580290517;0.33279115;0.37543035
580790548;0.34134316;0.37543035
581290518;0.33254123;0.37543035
581790531;0.33195353;0.37543035
582290535;0.33684605;0.37543035
582790519;0.3296715;0.37543035
583290619;0.3338939;0.37543035
583790548;0.33631772;0.37543035
584290550;0.32071316;0.37543035
584790519;0.32290465;0.37543035
585290594;0.33712578;0.37543035
585790518;0.3352359;0.37543035
586290754;0.3384351;0.37543035
586790535;0.327488;0.37543035
587290519;0.32463133;0.37543035
587790525;0.32833433;0.37543035
588290535;0.32783645;0.37543035
588790528;0.33268255;0.37543035
589290518;0.32814765;0.37543035
589790761;0.3337562;0.37543035
590290518;0.3232848;0.37543035
590790518;0.32453024;0.37543035
591290535;0.32458544;0.37543035
591790531;0.32768548;0.37543035
592290685;0.32935005;0.37543035
592790535;0.3288135;0.37543035
593290693;0.33536363;0.37543035
593790518;0.3308339;0.37543035
594290598;0.33166736;0.37543035
594790517;0.32991898;0.37543035
595290519;0.3360793;0.37543035
595790535;0.32889968;0.37543035
596290543;0.33226126;0.37543035
596790628;0.33694082;0.37543035
597290535;0.3365152;0.37543035
597790537;0.32913774;0.37543035
598290548;0.3316849;0.37543035
598790535;0.3256538;0.37543035
599290518;0.32727104;0.37543035
599790518;0.3353902;0.37543035
600290774;0.34211218;0.37543035
600790912;0.34238076;0.37543035
601290585;0.34271574;0.37543035
601790537;0.3443128;0.37543035
602290519;0.3323127;0.37543035
602790587;0.343431;0.37543035
603290536;0.3338859;0.37543035
603790560;0.33257747;0.37543035
604290540;0.33543718;0.37543035
604790618;0.33021605;0.37543035
605290517;0.33327264;0.37543035
605790519;0.3309784;0.37543035
606290535;0.34307975;0.37543035
606790517;0.3343532;0.37543035
607290526;0.33629155;0.37543035
607790536;0.33395296;0.37543035
608290534;0.32958817;0.37543035
608790518;0.33177012;0.37543035
609290815;0.3309331;0.37543035
609790519;0.3296098;0.37543035
610290521;0.33085668;0.37543035
610790535;0.32851583;0.37543035
611290574;0.33790702;0.37543035
611790530;0.3372839;0.37543035
612290535;0.33476132;0.37543035
612790605;0.33186847;0.37543035
613290518;0.33450162;0.37543035
613790536;0.3289773;0.37543035
614290557;0.3393336;0.37543035
