timestamp;timestamp_sample;time_last_fuse;device_id;observation;observation_variance;innovation;innovation_filtered;innovation_variance;test_ratio;test_ratio_filtered;estimator_instance;innovation_rejected;fused
452270020;452080220;452081485;0;-1.2257681;12.25;0.020138502;0.023170069;12.466813;1.3012444e-06;1.4870255e-05;1;0;1
452735170;452542204;452546577;0;-1.1649942;12.25;-0.043056726;0.02709459;12.467332;5.947966e-06;2.2628463e-05;1;0;1
453249786;453060932;453061147;0;-1.1227169;12.25;-0.08639395;0.016904209;12.467392;2.3946995e-05;1.6711552e-05;1;0;1
453714964;453520174;453526240;0;-1.0804405;12.25;-0.13041437;0.0047456212;12.468035;5.456484e-05;6.300893e-06;1;0;1
454229338;454038986;454040810;0;-1.204629;12.25;-0.010457039;0.03866777;12.468223;3.5081075e-07;1.7794007e-05;1;0;1
454754341;454557769;454565276;0;-1.1015778;12.25;-0.13628769;0.08708485;12.469151;5.9584923e-05;5.6918572e-05;1;0;1
455268424;455076423;455079846;0;-1.0593014;12.25;-0.18472707;0.038644776;12.4694605;0.000109464534;1.6115053e-05;1;0;1
455733439;455538432;455544939;0;-1.3499565;12.25;0.10381985;0.047909632;12.470298;3.4573546e-05;2.0981179e-05;1;0;1
456247863;456057204;456059509;0;-1.413372;12.25;0.16365397;0.06299216;12.470693;8.590581e-05;3.777602e-05;1;0;1
456713105;456519381;456524602;0;-1.1649942;12.25;-0.0958451;0.008764722;12.471885;2.9462375e-05;1.1068168e-05;1;0;1
457227665;457038222;457039172;0;-1.0593014;12.25;-0.20320845;-0.029194336;12.4725275;0.00013243081;-1.2938506e-05;1;0;1
457752220;457556909;457563638;0;-0.9985275;12.25;-0.2626375;-0.046105076;12.473889;0.00022119308;-3.4196382e-05;1;0;1
458266774;458075487;458078208;0;-1.3103218;12.25;0.05494678;-0.022779537;12.474586;9.680959e-06;-1.9177223e-05;1;0;1
