timestamp;armed;prearmed;ready_to_arm;lockdown;manual_lockdown;force_failsafe;in_esc_calibration_mode
431266043;1;0;1;0;0;0;0
431776496;1;0;1;0;0;0;0
432282749;1;0;1;0;0;0;0
432788495;1;0;1;0;0;0;0
433294505;1;0;1;0;0;0;0
433802514;1;0;1;0;0;0;0
434308515;1;0;1;0;0;0;0
434814494;1;0;1;0;0;0;0
435320513;1;0;1;0;0;0;0
435826496;1;0;1;0;0;0;0
436332492;1;0;1;0;0;0;0
436838494;1;0;1;0;0;0;0
437344494;1;0;1;0;0;0;0
437850539;1;0;1;0;0;0;0
438356733;1;0;1;0;0;0;0
438862516;1;0;1;0;0;0;0
439368494;1;0;1;0;0;0;0
439874514;1;0;1;0;0;0;0
440380514;1;0;1;0;0;0;0
440886494;1;0;1;0;0;0;0
441392776;1;0;1;0;0;0;0
441898495;1;0;1;0;0;0;0
442404707;1;0;1;0;0;0;0
442910495;1;0;1;0;0;0;0
443416493;1;0;1;0;0;0;0
443922512;1;0;1;0;0;0;0
444428525;1;0;1;0;0;0;0
444936512;1;0;1;0;0;0;0
445442512;1;0;1;0;0;0;0
445948494;1;0;1;0;0;0;0
446455626;1;0;1;0;0;0;0
446961496;1;0;1;0;0;0;0
447467538;1;0;1;0;0;0;0
447973495;1;0;1;0;0;0;0
448479537;1;0;1;0;0;0;0
448985653;1;0;1;0;0;0;0
449491608;1;0;1;0;0;0;0
449997494;1;0;1;0;0;0;0
450503512;1;0;1;0;0;0;0
451009494;1;0;1;0;0;0;0
451515627;1;0;1;0;0;0;0
452021493;1;0;1;0;0;0;0
452527541;1;0;1;0;0;0;0
453033533;1;0;1;0;0;0;0
453539511;1;0;1;0;0;0;0
454045627;1;0;1;0;0;0;0
454551492;1;0;1;0;0;0;0
455057526;1;0;1;0;0;0;0
455563952;1;0;1;0;0;0;0
456069766;1;0;1;0;0;0;0
456575890;1;0;1;0;0;0;0
457081514;1;0;1;0;0;0;0
457587493;1;0;1;0;0;0;0
458093514;1;0;1;0;0;0;0
458599493;1;0;1;0;0;0;0
459107896;1;0;1;0;0;0;0
459613493;1;0;1;0;0;0;0
460119495;1;0;1;0;0;0;0
460625493;1;0;1;0;0;0;0
461132495;1;0;1;0;0;0;0
461638492;1;0;1;0;0;0;0
462144494;1;0;1;0;0;0;0
462650854;1;0;1;0;0;0;0
463156504;1;0;1;0;0;0;0
463662579;1;0;1;0;0;0;0
464168516;1;0;1;0;0;0;0
464674527;1;0;1;0;0;0;0
465180494;1;0;1;0;0;0;0
465686513;1;0;1;0;0;0;0
466192494;1;0;1;0;0;0;0
466698527;1;0;1;0;0;0;0
468722527;1;0;1;0;0;0;0
469228494;1;0;1;0;0;0;0
469735125;1;0;1;0;0;0;0
470241494;1;0;1;0;0;0;0
470747627;1;0;1;0;0;0;0
471253494;1;0;1;0;0;0;0
471760493;1;0;1;0;0;0;0
472266518;1;0;1;0;0;0;0
472772543;1;0;1;0;0;0;0
473278514;1;0;1;0;0;0;0
473784510;1;0;1;0;0;0;0
474290645;1;0;1;0;0;0;0
474796493;1;0;1;0;0;0;0
475302531;1;0;1;0;0;0;0
475808492;1;0;1;0;0;0;0
476314574;1;0;1;0;0;0;0
476820494;1;0;1;0;0;0;0
477326494;1;0;1;0;0;0;0
477832710;1;0;1;0;0;0;0
478338494;1;0;1;0;0;0;0
478844548;1;0;1;0;0;0;0
479350510;1;0;1;0;0;0;0
479857493;1;0;1;0;0;0;0
480363615;1;0;1;0;0;0;0
480869495;1;0;1;0;0;0;0
481375586;1;0;1;0;0;0;0
481881561;1;0;1;0;0;0;0
482387494;1;0;1;0;0;0;0
482893512;1;0;1;0;0;0;0
483400512;1;0;1;0;0;0;0
483907512;1;0;1;0;0;0;0
484413513;1;0;1;0;0;0;0
484919627;1;0;1;0;0;0;0
485425493;1;0;1;0;0;0;0
485931497;1;0;1;0;0;0;0
486437495;1;0;1;0;0;0;0
486943521;1;0;1;0;0;0;0
487449671;1;0;1;0;0;0;0
487955517;1;0;1;0;0;0;0
488461528;1;0;1;0;0;0;0
488967492;1;0;1;0;0;0;0
489473497;1;0;1;0;0;0;0
489979682;1;0;1;0;0;0;0
490485512;1;0;1;0;0;0;0
490991494;1;0;1;0;0;0;0
491497511;1;0;1;0;0;0;0
492003506;1;0;1;0;0;0;0
492509628;1;0;1;0;0;0;0
493015494;1;0;1;0;0;0;0
493521512;1;0;1;0;0;0;0
494027832;1;0;1;0;0;0;0
494533915;1;0;1;0;0;0;0
495039894;1;0;1;0;0;0;0
495545494;1;0;1;0;0;0;0
496051493;1;0;1;0;0;0;0
496557495;1;0;1;0;0;0;0
497065566;1;0;1;0;0;0;0
497573000;1;0;1;0;0;0;0
498078509;1;0;1;0;0;0;0
498584536;1;0;1;0;0;0;0
499090519;1;0;1;0;0;0;0
499596494;1;0;1;0;0;0;0
500102494;1;0;1;0;0;0;0
500608514;1;0;1;0;0;0;0
501114561;1;0;1;0;0;0;0
501620494;1;0;1;0;0;0;0
502126571;1;0;1;0;0;0;0
502632494;1;0;1;0;0;0;0
503138494;1;0;1;0;0;0;0
503645495;1;0;1;0;0;0;0
504151628;1;0;1;0;0;0;0
504657494;1;0;1;0;0;0;0
505163493;1;0;1;0;0;0;0
505669494;1;0;1;0;0;0;0
506175508;1;0;1;0;0;0;0
506681669;1;0;1;0;0;0;0
507187513;1;0;1;0;0;0;0
507693494;1;0;1;0;0;0;0
508199496;1;0;1;0;0;0;0
508705493;1;0;1;0;0;0;0
509211626;1;0;1;0;0;0;0
509717513;1;0;1;0;0;0;0
510224493;1;0;1;0;0;0;0
510730495;1;0;1;0;0;0;0
511236513;1;0;1;0;0;0;0
511742494;1;0;1;0;0;0;0
512248493;1;0;1;0;0;0;0
512754517;1;0;1;0;0;0;0
513260555;1;0;1;0;0;0;0
513766494;1;0;1;0;0;0;0
514272504;1;0;1;0;0;0;0
514778522;1;0;1;0;0;0;0
515284793;1;0;1;0;0;0;0
515790646;1;0;1;0;0;0;0
516296493;1;0;1;0;0;0;0
516802494;1;0;1;0;0;0;0
517308494;1;0;1;0;0;0;0
517815494;1;0;1;0;0;0;0
518321626;1;0;1;0;0;0;0
518827494;1;0;1;0;0;0;0
519333493;1;0;1;0;0;0;0
519839495;1;0;1;0;0;0;0
520345495;1;0;1;0;0;0;0
520851728;1;0;1;0;0;0;0
521358513;1;0;1;0;0;0;0
521864498;1;0;1;0;0;0;0
522370495;1;0;1;0;0;0;0
522876495;1;0;1;0;0;0;0
523383494;1;0;1;0;0;0;0
523889494;1;0;1;0;0;0;0
524395494;1;0;1;0;0;0;0
524901520;1;0;1;0;0;0;0
525408187;1;0;1;0;0;0;0
525913495;1;0;1;0;0;0;0
526419496;1;0;1;0;0;0;0
526925495;1;0;1;0;0;0;0
527431492;1;0;1;0;0;0;0
527937494;1;0;1;0;0;0;0
528443493;1;0;1;0;0;0;0
528949514;1;0;1;0;0;0;0
529455512;1;0;1;0;0;0;0
529961569;1;0;1;0;0;0;0
530467514;1;0;1;0;0;0;0
530973520;1;0;1;0;0;0;0
531479519;1;0;1;0;0;0;0
531985494;1;0;1;0;0;0;0
532492061;1;0;1;0;0;0;0
532997633;1;0;1;0;0;0;0
533503558;1;0;1;0;0;0;0
534009495;1;0;1;0;0;0;0
534516036;1;0;1;0;0;0;0
535021494;1;0;1;0;0;0;0
535527493;1;0;1;0;0;0;0
536033504;1;0;1;0;0;0;0
536539492;1;0;1;0;0;0;0
537045495;1;0;1;0;0;0;0
537552540;1;0;1;0;0;0;0
538058496;1;0;1;0;0;0;0
538564804;1;0;1;0;0;0;0
539070541;1;0;1;0;0;0;0
539576737;1;0;1;0;0;0;0
540082623;1;0;1;0;0;0;0
540588515;1;0;1;0;0;0;0
541095495;1;0;1;0;0;0;0
541601494;1;0;1;0;0;0;0
542107494;1;0;1;0;0;0;0
542613892;1;0;1;0;0;0;0
543119567;1;0;1;0;0;0;0
543625589;1;0;1;0;0;0;0
544131494;1;0;1;0;0;0;0
544638109;1;0;1;0;0;0;0
545143629;1;0;1;0;0;0;0
545649493;1;0;1;0;0;0;0
546155494;1;0;1;0;0;0;0
546661494;1;0;1;0;0;0;0
547167876;1;0;1;0;0;0;0
547673627;1;0;1;0;0;0;0
548180532;1;0;1;0;0;0;0
548686872;1;0;1;0;0;0;0
549192513;1;0;1;0;0;0;0
549699514;1;0;1;0;0;0;0
550205874;1;0;1;0;0;0;0
550711512;1;0;1;0;0;0;0
551217524;1;0;1;0;0;0;0
551723512;1;0;1;0;0;0;0
552229493;1;0;1;0;0;0;0
552735644;1;0;1;0;0;0;0
553241494;1;0;1;0;0;0;0
553747513;1;0;1;0;0;0;0
554253495;1;0;1;0;0;0;0
554760252;1;0;1;0;0;0;0
555265539;1;0;1;0;0;0;0
555771592;1;0;1;0;0;0;0
556277495;1;0;1;0;0;0;0
556783494;1;0;1;0;0;0;0
557289495;1;0;1;0;0;0;0
557795494;1;0;1;0;0;0;0
558302494;1;0;1;0;0;0;0
558808873;1;0;1;0;0;0;0
559314494;1;0;1;0;0;0;0
559820712;1;0;1;0;0;0;0
560326494;1;0;1;0;0;0;0
560832493;1;0;1;0;0;0;0
561338494;1;0;1;0;0;0;0
