timestamp;timestamp_sample;gps_hvel[0];gps_hvel[1];gps_vvel;gps_hpos[0];gps_hpos[1];gps_vpos;ev_hvel[0];ev_hvel[1];ev_vvel;ev_hpos[0];ev_hpos[1];ev_vpos;rng_vpos;baro_vpos;aux_hvel[0];aux_hvel[1];flow[0];flow[1];heading;mag_field[0];mag_field[1];mag_field[2];gravity[0];gravity[1];gravity[2];drag[0];drag[1];airspeed;beta;hagl;hagl_rate
431666675;431495072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.33525145;0.0;0.0;0.0;0.0;-0.0019180477;-0.011672884;-0.0019180477;-0.031849146;0.023227584;-0.020433702;7.158518e-05;0.0;0.0;0.0;0.0;0.0;0.0
432161552;431989930;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.47892177;0.0;0.0;0.0;0.0;0.0021844208;-0.013978809;0.0021844208;-0.02573198;0.018095274;-0.0012352383;0.00026351213;0.0;0.0;0.0;0.0;0.0;0.0
432665444;432493786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.37532854;0.0;0.0;0.0;0.0;0.00043918192;0.00043918192;-0.00097480416;-0.013935864;0.0006971732;-0.016539328;0.0009866953;0.0;0.0;0.0;0.0;0.0;0.0
433169240;432997643;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.546118;0.0;0.0;0.0;0.0;0.0012606382;0.0012606382;-0.0026829988;-0.013646305;0.022283196;-0.027259402;0.0018942356;0.0;0.0;0.0;0.0;0.0;0.0
433664044;433492501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.28044522;0.0;0.0;0.0;0.0;0.0007508099;0.00011968613;0.0007508099;-0.022536755;0.009407986;-0.017931843;0.0006750822;0.0;0.0;0.0;0.0;0.0;0.0
434168300;433996404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.18101668;0.0;0.0;0.0;0.0;-0.0011041462;-0.0011041462;-0.0022136867;-0.014737606;0.07711285;0.006670579;0.0047726035;0.0;0.0;0.0;0.0;0.0;0.0
434662817;434491263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.42047167;0.0;0.0;0.0;0.0;0.016004205;-0.0009082109;-0.004108295;0.016004205;-0.077201605;0.027693197;-0.021158516;0.0;0.0;0.0;0.0;0.0;0.0
435166729;434995072;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.29301345;0.0;0.0;0.0;0.0;0.0018898696;-0.012651578;0.0018898696;-0.003771931;0.0077697746;0.11651324;-0.010276139;0.0;0.0;0.0;0.0;0.0;0.0
435661851;435489931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.4786514;0.0;0.0;0.0;0.0;0.006470248;-0.015140727;0.006470248;-0.013444275;0.049516156;-0.026320163;-0.00024205446;0.0;0.0;0.0;0.0;0.0;0.0
436165223;435993788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.23358083;0.0;0.0;0.0;0.0;0.0079039335;-0.016879976;0.0079039335;-0.013265789;-0.045053028;-0.0251535;-0.002382636;0.0;0.0;0.0;0.0;0.0;0.0
436669286;436497644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.27269232;0.0;0.0;0.0;0.0;0.008471459;-0.009981111;0.008471459;-0.007145673;0.0596507;-0.015814053;-0.00050091743;0.0;0.0;0.0;0.0;0.0;0.0
437163929;436992504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.41027868;0.0;0.0;0.0;0.0;0.011406168;-0.010915935;0.011406168;-0.013850868;0.09862923;-0.036718275;-0.010855496;0.0;0.0;0.0;0.0;0.0;0.0
437667944;437496360;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.21596992;0.0;0.0;0.0;0.0;0.0075849444;-0.013447747;0.0075849444;-0.013376147;0.016239582;-0.040460743;-0.0021499991;0.0;0.0;0.0;0.0;0.0;0.0
438162846;437991220;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.27879477;0.0;0.0;0.0;0.0;0.005121261;-0.005679801;0.005121261;-0.0019643903;-0.14038134;-0.09368557;-0.029592514;0.0;0.0;0.0;0.0;0.0;0.0
438666637;438495123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.3992027;0.0;0.0;0.0;0.0;0.013535619;-0.008659646;0.013535619;-0.0073690414;0.032762997;0.045117836;-0.0024374127;0.0;0.0;0.0;0.0;0.0;0.0
439161402;438989983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.22693741;0.0;0.0;0.0;0.0;0.0112966895;-0.012785286;0.0112966895;-0.012813449;0.039562665;-0.014170763;-0.005584955;0.0;0.0;0.0;0.0;0.0;0.0
439665400;439493793;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.29180527;0.0;0.0;0.0;0.0;0.0027617216;-0.011803985;-0.0006713569;0.0027617216;-0.05488068;-0.008431582;-0.010681093;0.0;0.0;0.0;0.0;0.0;0.0
440169066;439997649;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.48528183;0.0;0.0;0.0;0.0;0.008929521;-0.0045181066;0.008929521;0.0005771816;0.08191548;-0.00936009;-0.0009891987;0.0;0.0;0.0;0.0;0.0;0.0
440664173;440492509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.47800624;0.0;0.0;0.0;0.0;0.02961117;-0.004284978;-0.00522314;0.02961117;0.035432518;0.07783073;0.052928865;0.0;0.0;0.0;0.0;0.0;0.0
