timestamp;timestamp_sample;time_last_fuse;device_id;observation[0];observation[1];observation[2];observation_variance[0];observation_variance[1];observation_variance[2];innovation[0];innovation[1];innovation[2];innovation_filtered[0];innovation_filtered[1];innovation_filtered[2];innovation_variance[0];innovation_variance[1];innovation_variance[2];test_ratio[0];test_ratio[1];test_ratio[2];test_ratio_filtered[0];test_ratio_filtered[1];test_ratio_filtered[2];estimator_instance;innovation_rejected;fused
431717233;431523276;431528386;0;0.35391423;-0.17794119;-0.34986717;0.0025000002;0.0025000002;0.0025000002;-0.013000965;0.0032023191;-0.029489458;-0.018353727;0.004986121;-0.023784004;0.0025090643;0.0025108561;0.0025091672;0.0074850875;0.0004479099;0.038503032;-0.016295534;0.0016524827;-0.026867738;1;0;1
432162541;431971736;431973686;0;0.35492772;-0.18025802;-0.35074148;0.0025000002;0.0025000002;0.0025000002;-0.013944;0.0038449317;-0.02696988;-0.015012655;0.0037061658;-0.028175807;0.0025093872;0.0025104776;0.0025088051;0.008609235;0.00064644543;0.03221017;-0.0110938605;0.00093113765;-0.036882285;1;0;1
432686907;432494766;432498150;0;0.3474409;-0.18465805;-0.3503952;0.0025000002;0.0025000002;0.0025000002;-0.00031489134;-0.0014201552;-0.011824787;-0.008399237;0.0012115875;-0.022838648;0.0025089628;0.002509811;0.0025094454;4.391215e-06;8.935747e-05;0.0061913384;-0.0052689184;0.0003408896;-0.025440797;1;0;1
433211431;433017620;433022614;0;0.3474952;-0.1817086;-0.34832552;0.0025000002;0.0025000002;0.0025000002;-0.00019140542;-0.0007081032;-0.017033786;-0.003029615;-0.000812928;-0.018074354;0.002508783;0.00250986;0.0025089912;1.6225678e-06;2.2219714e-05;0.012849421;-0.0019923341;-3.4709872e-05;-0.016046744;1;0;1
433736531;433540587;433547078;0;0.34869158;-0.1813572;-0.35187644;0.0025000002;0.0025000002;0.0025000002;-0.0012237728;0.0030801296;-0.016922921;-0.0024924045;0.00075720873;-0.018141413;0.0025087493;0.0025103777;0.0025091788;6.632875e-05;0.00041929743;0.012681405;-0.0009597359;0.000112438844;-0.015578134;1;0;1
434181341;433988833;433992378;0;0.35612774;-0.17488325;-0.3458432;0.0025000002;0.0025000002;0.0025000002;-0.0013405085;-0.000749141;-0.016489923;-0.0019029755;0.0012511611;-0.016963184;0.0025094552;0.0025109064;0.0025107295;7.9564095e-05;2.5023393e-05;0.012033605;-0.00048413724;0.00016276505;-0.013317621;1;0;1
434705606;434511782;434516842;0;0.37795663;-0.17791891;-0.34645236;0.0025000002;0.0025000002;0.0025000002;-0.007641718;-0.002632752;0.010226548;-0.004118173;-0.00045577792;-0.0017410263;0.00251517;0.0025101104;0.0025180343;0.0025797172;0.00031030134;0.004610595;-0.001364194;-5.3111253e-05;-0.0026518041;1;0;1
435230249;435034894;435041307;0;0.35729203;-0.18450835;-0.3659113;0.0025000002;0.0025000002;0.0025000002;-0.009049326;0.009276226;-0.0045896173;-0.010400599;0.0032426761;-0.006797429;0.0025087122;0.002511384;0.002510556;0.0036269296;0.0037932026;0.0009315598;-0.00632508;0.001253588;-0.0044773254;1;0;1
435675367;435483324;435486607;0;0.35546362;-0.18561867;-0.36259586;0.0025000002;0.0025000002;0.0025000002;-0.0151622;0.007905677;-0.014525771;-0.012463778;0.0058933445;-0.009250159;0.002509808;0.0025106268;0.0025100994;0.010177508;0.002749167;0.009338064;-0.0077187805;0.0023786882;-0.005289977;1;0;1
436200010;436006347;436011071;0;0.35139215;-0.18054202;-0.37132943;0.0025000002;0.0025000002;0.0025000002;-0.012466624;0.010197654;-0.01312843;-0.013809658;0.007901414;-0.0113996435;0.00251029;0.0025120669;0.0025119577;0.006879096;0.0045850063;0.0076189325;-0.00887674;0.0032096943;-0.006502544;1;0;1
436724375;436529469;436535536;0;0.35488653;-0.18451285;-0.3693671;0.0025000002;0.0025000002;0.0025000002;-0.01135397;0.0091784;-0.006473094;-0.012171658;0.00979432;-0.0100567695;0.0025094976;0.0025109027;0.0025103176;0.005707766;0.0037128686;0.0018533563;-0.0068974756;0.0045651547;-0.0049076253;1;0;1
437169726;436977783;436980836;0;0.3381557;-0.1870421;-0.37831026;0.0025000002;0.0025000002;0.0025000002;-0.011054203;0.012989387;-0.014841139;-0.012058531;0.01087152;-0.011820643;0.0025143062;0.0025110915;0.0025136992;0.0054000053;0.0074529317;0.009732718;-0.006650034;0.0054782196;-0.0066574365;1;0;1
