timestamp;data_rate;rate_multiplier;tx_rate_avg;tx_error_rate_avg;tx_message_count;tx_buffer_overruns;rx_rate_avg;rx_message_count;rx_message_lost_count;rx_buffer_overruns;rx_parse_errors;rx_packet_drop_count;rx_message_lost_rate;type;mode;flow_control;forwarding;mavlink_v2;ftp;streams;heartbeat_type_antenna_tracker;heartbeat_type_gcs;heartbeat_type_onboard_controller;heartbeat_type_gimbal;heartbeat_type_adsb;heartbeat_type_camera;heartbeat_type_parachute;heartbeat_type_open_drone_id;heartbeat_component_telemetry_radio;heartbeat_component_log;heartbeat_component_osd;heartbeat_component_vio;heartbeat_component_pairing_manager;heartbeat_component_udp_bridge;heartbeat_component_uart_bridge;open_drone_id_system_healthy;parachute_system_healthy
431786571;1200.0;0.28181258;510.4788;0.0;9330;0;41.95716;815;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
433046551;1200.0;0.28181258;518.9772;0.0;9356;0;41.998154;818;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
434056579;1200.0;0.28181258;954.4979;0.0;9371;0;41.58601;820;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
434297644;1200.0;0.28181258;954.4979;0.0;9374;0;41.58601;820;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
435558551;1200.0;0.28181258;703.06635;0.0;9398;0;41.944298;823;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
436808600;1200.0;0.28181258;447.69916;0.0;9426;0;41.971794;826;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
438060077;1200.0;0.28181258;504.49603;0.0;9442;0;41.958084;828;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
439069615;1200.0;0.28181258;630.68933;0.0;9458;0;41.58391;830;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
439319590;1200.0;0.28181258;630.68933;0.0;9462;0;41.58391;830;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
440580552;1200.0;0.28181258;540.59674;0.0;9491;0;20.792183;831;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
441831569;1200.0;0.28181258;934.1318;0.0;9513;0;41.91617;835;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
443092567;1200.0;0.28181258;531.4871;0.0;9529;0;41.95951;837;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
444092571;1200.0;0.28181258;985.0412;0.0;9555;0;41.579628;839;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
444342551;1200.0;0.28181258;985.0412;0.0;9557;0;41.579628;839;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
445595570;1200.0;0.28181258;491.0719;0.0;9577;0;41.920773;842;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
446846587;1200.0;0.28181258;596.4018;0.0;9595;0;41.957916;844;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
448108659;1200.0;0.28181258;857.3133;0.0;9623;0;41.966385;847;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
449109551;1200.0;0.28181258;721.5655;0.0;9641;0;41.916668;849;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
449359870;1200.0;0.28181258;721.5655;0.0;9643;0;41.916668;849;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
450611549;1200.0;0.28181258;536.4748;0.0;9663;0;41.958923;852;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
451872580;1200.0;0.28181258;988.011;0.0;9692;0;41.958;854;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
453122605;1200.0;0.28181258;503.9604;0.0;9711;0;41.58416;856;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
454122631;1200.0;0.28181258;602.94147;0.0;9724;0;41.995926;858;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
454382572;1200.0;0.28181258;602.94147;0.0;9738;0;41.995926;858;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
455633551;1200.0;0.28181258;910.15814;0.0;9757;0;41.96119;861;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
456883591;1200.0;0.28181258;658.4302;0.0;9779;0;41.58506;864;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
458143551;1200.0;0.28181258;862.5214;0.0;9805;0;20.79558;865;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
459144836;1200.0;0.28181258;611.05835;0.0;9819;0;41.935375;867;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
459394981;1200.0;0.28181258;611.05835;0.0;9823;0;41.935375;867;0;0;0;8;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
