timestamp;safe_points_id;is_evaluation_pending;has_vtol_approach;rtl_type;safe_point_index
431522836;0;0;44;1;0
433547771;0;0;44;1;0
435571659;0;0;44;1;0
437596033;0;0;44;1;0
439620701;0;0;44;1;0
441644726;0;0;44;1;0
443669450;0;0;44;1;0
445693729;0;0;44;1;0
447718666;0;0;44;1;0
449742645;0;0;44;1;0
451767067;0;0;44;1;0
453791501;0;0;44;1;0
455815889;0;0;44;1;0
457840321;0;0;44;1;0
459865010;0;0;44;1;0
461889412;0;0;44;1;0
463913669;0;0;44;1;0
467962541;0;0;44;1;0
469986902;0;0;44;1;0
472011757;0;0;44;1;0
474035717;0;0;44;1;0
476060164;0;0;44;1;0
478084633;0;0;44;1;0
480108934;0;0;44;1;0
482133495;0;0;44;1;0
484157799;0;0;44;1;0
486182790;0;0;44;1;0
488206729;0;0;44;1;0
490231036;0;0;44;1;0
492255523;0;0;44;1;0
494279754;0;0;44;1;0
496304282;0;0;44;1;0
498328936;0;0;44;1;0
500352969;0;0;44;1;0
502377409;0;0;44;1;0
504402332;0;0;44;1;0
506426396;0;0;44;1;0
508450924;0;0;44;1;0
510475041;0;0;44;1;0
512499624;0;0;44;1;0
514524051;0;0;44;1;0
516548292;0;0;44;1;0
518572890;0;0;44;1;0
520597247;0;0;44;1;0
522621783;0;0;44;1;0
524646619;0;0;44;1;0
526670333;0;0;44;1;0
528694753;0;0;44;1;0
530719118;0;0;44;1;0
532743563;0;0;44;1;0
534767964;0;0;44;1;0
536792838;0;0;44;1;0
538816866;0;0;44;1;0
540841140;0;0;44;1;0
542865864;0;0;44;1;0
544890091;0;0;44;1;0
546914897;0;0;44;1;0
548939317;0;0;44;1;0
550963277;0;0;44;1;0
552987857;0;0;44;1;0
555011951;0;0;44;1;0
557036301;0;0;44;1;0
559061019;0;0;44;1;0
561085223;0;0;44;1;0
563109836;0;0;44;1;0
565134168;0;0;44;1;0
567158837;0;0;44;1;0
569183120;0;0;44;1;0
571207216;0;0;44;1;0
573223005;0;0;44;1;0
575246945;0;0;44;1;0
577280529;0;0;44;1;0
579304664;0;0;44;1;0
581329198;0;0;44;1;0
583353599;0;0;44;1;0
585369044;0;0;44;1;0
587393208;0;0;44;1;0
589427080;0;0;44;1;0
591442371;0;0;44;1;0
593466537;0;0;44;1;0
595490947;0;0;44;1;0
597516043;0;0;44;1;0
599548875;0;0;44;1;0
601573194;0;0;44;1;0
603597457;0;0;44;1;0
605621926;0;0;44;1;0
607637303;0;0;44;1;0
609661474;0;0;44;1;0
611686517;0;0;44;1;0
613710618;0;0;44;1;0
615734743;0;0;44;1;0
617759211;0;0;44;1;0
619792444;0;0;44;1;0
621816762;0;0;44;1;0
623841278;0;0;44;1;0
625866058;0;0;44;1;0
627889895;0;0;44;1;0
629914515;0;0;44;1;0
631939105;0;0;44;1;0
633963030;0;0;44;1;0
638011915;0;0;44;1;0
640036327;0;0;44;1;0
642060536;0;0;44;1;0
644085127;0;0;44;1;0
646109493;0;0;44;1;0
648133670;0;0;44;1;0
650158678;0;0;44;1;0
652182927;0;0;44;1;0
654207075;0;0;44;1;0
656231266;0;0;44;1;0
658255762;0;0;44;1;0
660279986;0;0;44;1;0
662313517;0;0;44;1;0
664329064;0;0;44;1;0
666353223;0;0;44;1;0
668377435;0;0;44;1;0
670401817;0;0;44;1;0
672426314;0;0;44;1;0
674451540;0;0;44;1;0
676475043;0;0;44;1;0
678499517;0;0;44;1;0
680523857;0;0;44;1;0
682548171;0;0;44;1;0
684572630;0;0;44;1;0
686587950;0;0;44;1;0
688612247;0;0;44;1;0
690636781;0;0;44;1;0
692661186;0;0;44;1;0
694685370;0;0;44;1;0
696709710;0;0;44;1;0
698743184;0;0;44;1;0
700758649;0;0;44;1;0
702792007;0;0;44;1;0
704807260;0;0;44;1;0
706831559;0;0;44;1;0
708856130;0;0;44;1;0
710880388;0;0;44;1;0
712914027;0;0;44;1;0
714937992;0;0;44;1;0
716962879;0;0;44;1;0
718986746;0;0;44;1;0
721011134;0;0;44;1;0
723035861;0;0;44;1;0
725060104;0;0;44;1;0
727084276;0;0;44;1;0
729108661;0;0;44;1;0
731133082;0;0;44;1;0
733157598;0;0;44;1;0
735181932;0;0;44;1;0
737206053;0;0;44;1;0
739230886;0;0;44;1;0
741255002;0;0;44;1;0
743279108;0;0;44;1;0
745303681;0;0;44;1;0
747328095;0;0;44;1;0
749352254;0;0;44;1;0
751377167;0;0;44;1;0
753401271;0;0;44;1;0
755425475;0;0;44;1;0
757449715;0;0;44;1;0
759474452;0;0;44;1;0
761498597;0;0;44;1;0
763523075;0;0;44;1;0
765547465;0;0;44;1;0
767571678;0;0;44;1;0
769596149;0;0;44;1;0
771620474;0;0;44;1;0
773644583;0;0;44;1;0
775669574;0;0;44;1;0
777693445;0;0;44;1;0
781742555;0;0;44;1;0
783766407;0;0;44;1;0
785791050;0;0;44;1;0
787815422;0;0;44;1;0
789839786;0;0;44;1;0
791855080;0;0;44;1;0
793879248;0;0;44;1;0
795903682;0;0;44;1;0
797937077;0;0;44;1;0
799961519;0;0;44;1;0
801976772;0;0;44;1;0
804001339;0;0;44;1;0
806025854;0;0;44;1;0
808058875;0;0;44;1;0
810083206;0;0;44;1;0
812098693;0;0;44;1;0
814123186;0;0;44;1;0
816147276;0;0;44;1;0
818171888;0;0;44;1;0
820196059;0;0;44;1;0
822220371;0;0;44;1;0
824245374;0;0;44;1;0
826269432;0;0;44;1;0
828293741;0;0;44;1;0
830317862;0;0;44;1;0
832342453;0;0;44;1;0
834366771;0;0;44;1;0
836391291;0;0;44;1;0
838415293;0;0;44;1;0
840439746;0;0;44;1;0
842464068;0;0;44;1;0
844488397;0;0;44;1;0
846504048;0;0;44;1;0
848528169;0;0;44;1;0
850552767;0;0;44;1;0
852577013;0;0;44;1;0
854601229;0;0;44;1;0
856625602;0;0;44;1;0
858650526;0;0;44;1;0
860674326;0;0;44;1;0
862707926;0;0;44;1;0
864723088;0;0;44;1;0
866747576;0;0;44;1;0
868772026;0;0;44;1;0
870796381;0;0;44;1;0
872829639;0;0;44;1;0
874853956;0;0;44;1;0
876869284;0;0;44;1;0
878893863;0;0;44;1;0
880917999;0;0;44;1;0
882942796;0;0;44;1;0
884975936;0;0;44;1;0
887000609;0;0;44;1;0
889024665;0;0;44;1;0
891039863;0;0;44;1;0
893064499;0;0;44;1;0
895097801;0;0;44;1;0
897121993;0;0;44;1;0
899146594;0;0;44;1;0
901161756;0;0;44;1;0
903186251;0;0;44;1;0
905210654;0;0;44;1;0
907234701;0;0;44;1;0
909259382;0;0;44;1;0
911283531;0;0;44;1;0
913317194;0;0;44;1;0
915341182;0;0;44;1;0
917365806;0;0;44;1;0
919390140;0;0;44;1;0
921414325;0;0;44;1;0
923439081;0;0;44;1;0
925463155;0;0;44;1;0
927478385;0;0;44;1;0
929511948;0;0;44;1;0
931536295;0;0;44;1;0
933561000;0;0;44;1;0
935585265;0;0;44;1;0
937609349;0;0;44;1;0
939633859;0;0;44;1;0
941658022;0;0;44;1;0
943682488;0;0;44;1;0
945706685;0;0;44;1;0
947731062;0;0;44;1;0
949755520;0;0;44;1;0
951779833;0;0;44;1;0
953804354;0;0;44;1;0
955828844;0;0;44;1;0
957852874;0;0;44;1;0
959877239;0;0;44;1;0
961901618;0;0;44;1;0
963925966;0;0;44;1;0
965950328;0;0;44;1;0
967974650;0;0;44;1;0
969999186;0;0;44;1;0
972023583;0;0;44;1;0
974048173;0;0;44;1;0
976072426;0;0;44;1;0
978096929;0;0;44;1;0
980121055;0;0;44;1;0
982145238;0;0;44;1;0
984169559;0;0;44;1;0
986194166;0;0;44;1;0
988218539;0;0;44;1;0
990233702;0;0;44;1;0
992258279;0;0;44;1;0
994291594;0;0;44;1;0
996315738;0;0;44;1;0
998340635;0;0;44;1;0
1000355710;0;0;44;1;0
1002379826;0;0;44;1;0
1004404248;0;0;44;1;0
1006428653;0;0;44;1;0
1008453171;0;0;44;1;0
1010477548;0;0;44;1;0
1012417864;0;0;44;1;0
1012434403;0;0;44;1;0
