timestamp;timestamp_sample;gyro_device_id;gyro_bias[0];gyro_bias[1];gyro_bias[2];gyro_bias_limit;gyro_bias_variance[0];gyro_bias_variance[1];gyro_bias_variance[2];accel_device_id;accel_bias[0];accel_bias[1];accel_bias[2];accel_bias_limit;accel_bias_variance[0];accel_bias_variance[1];accel_bias_variance[2];mag_device_id;mag_bias[0];mag_bias[1];mag_bias[2];mag_bias_limit;mag_bias_variance[0];mag_bias_variance[1];mag_bias_variance[2];gyro_bias_valid;gyro_bias_stable;accel_bias_valid;accel_bias_stable;mag_bias_valid;mag_bias_stable
432093185;431904417;2490378;-0.0062994766;-0.00252898;-0.0009012245;0.15;3.3358396e-07;3.2366844e-07;3.8433168e-07;2490378;0.029007914;-0.015449382;-0.021369198;0.4;0.0012701963;0.0015399768;1.8249131e-05;396809;0.1437729;-0.024752453;-0.19241257;0.5;0.00034934247;0.00062114745;0.00038861664;1;1;1;0;1;0
432914519;432725747;2490378;-0.0063443156;-0.002593613;-0.00088643446;0.15;3.376049e-07;3.2728724e-07;3.8774357e-07;2490378;0.02898918;-0.015882308;-0.021412944;0.4;0.0012555645;0.0015375613;1.8028455e-05;396809;0.14423281;-0.023771018;-0.19198811;0.5;0.00034882114;0.00061656616;0.00038764894;1;1;1;0;1;0
433923566;433735094;2490378;-0.0063926456;-0.002654561;-0.0008830469;0.15;3.422767e-07;3.313455e-07;3.9155688e-07;2490378;0.028919803;-0.016321568;-0.02145126;0.4;0.0012392243;0.0015347167;1.778981e-05;396809;0.1439957;-0.023608224;-0.19133314;0.5;0.00034832643;0.0006130807;0.00038673868;1;1;1;0;1;0
434705598;434516842;2490378;-0.0063954154;-0.0026686054;-0.0008669349;0.15;3.4504444e-07;3.3307387e-07;3.933246e-07;2490378;0.028689062;-0.016443577;-0.021502681;0.4;0.001226312;0.0015324311;1.7596882e-05;396809;0.14471336;-0.02390522;-0.19069476;0.5;0.00034206954;0.00060945837;0.0003784723;1;0;1;0;1;0
435675358;435486607;2490378;-0.006446563;-0.0027441124;-0.0008405353;0.15;3.491808e-07;3.3650187e-07;3.9594602e-07;2490378;0.029257394;-0.01730173;-0.021489233;0.4;0.0012127805;0.001529927;1.7386767e-05;396809;0.14496262;-0.024157038;-0.191067;0.5;0.0003409817;0.00060416746;0.00037551162;1;0;1;0;1;0
437100292;436911567;2490378;-0.006531106;-0.0028491677;-0.00084531243;0.15;3.5543755e-07;3.421338e-07;4.0047783e-07;2490378;0.030261235;-0.0187106;-0.021413567;0.4;0.0011969107;0.001526425;1.7129913e-05;396809;0.1467721;-0.025055373;-0.19366674;0.5;0.00033732975;0.0005954359;0.00036920456;1;0;1;0;1;0
437921638;437732899;2490378;-0.0065779425;-0.0028957601;-0.00085733243;0.15;3.589158e-07;3.4540898e-07;4.0317624e-07;2490378;0.030767068;-0.019447569;-0.02138003;0.4;0.0011884485;0.0015244245;1.6978409e-05;396809;0.14800493;-0.025634581;-0.1953031;0.5;0.0003335175;0.00059100764;0.00036374468;1;0;1;0;1;0
438515354;438326633;2490378;-0.006603975;-0.002929209;-0.0008647007;0.15;3.6130402e-07;3.4759753e-07;4.0501274e-07;2490378;0.031024558;-0.019925587;-0.021361314;0.4;0.0011830849;0.0015229775;1.6884636e-05;396809;0.14860259;-0.02572101;-0.19616742;0.5;0.00033078957;0.0005885731;0.0003598038;1;0;1;0;1;0
439940393;439751594;2490378;-0.0066594663;-0.0030041358;-0.00088320323;0.15;3.6702724e-07;3.5267516e-07;4.0895802e-07;2490378;0.031539753;-0.021095397;-0.021333007;0.4;0.0011707237;0.0015195924;1.6654667e-05;396809;0.15039487;-0.026578402;-0.1980458;0.5;0.0003197792;0.0005818504;0.0003447643;1;0;1;0;1;0
441127849;440939063;2490378;-0.0066228667;-0.002876011;-0.0010252205;0.15;3.7226764e-07;3.544065e-07;3.9657039e-07;2490378;0.030314213;-0.020301644;-0.021480637;0.4;0.0011603596;0.0015168615;1.6474549e-05;396809;0.1606654;-0.015792264;-0.20457852;0.5;0.0002284407;0.00041921856;0.00022059523;1;0;1;0;1;0
