timestamp;timestamp_sample;device_id;x;y;z;temperature;error_count;clip_counter[0];clip_counter[1];clip_counter[2];samples
432094398;432094345;4259850;-0.19153614;-1.008757;-9.972649;34.0;0;0;0;0;3
433095103;433095052;4259850;0.40861043;-0.34476507;-9.576807;34.0;0;0;0;0;3
434096205;434096154;4259850;-0.40861043;-0.80445176;-10.151416;34.0;0;0;0;0;3
435096339;435096288;4259850;-0.11492168;1.1236787;-10.649409;34.0;0;0;0;0;3
436095081;436095030;4259850;-0.06384538;-0.7789136;-8.095594;34.0;0;0;0;0;3
437095250;437095200;4259850;-3.0901165;-0.80445176;-12.769076;34.0;0;0;0;0;3
438096892;438096841;4259850;1.0981406;-0.17876707;-9.908803;34.0;0;0;0;0;3
439094170;439094117;4259850;-4.8267107;-0.25538152;-12.973381;34.0;0;0;0;0;3
440095733;440095680;4259850;-0.34476507;-0.45968673;-7.010223;34.0;0;0;0;0;3
441096382;441096330;4259850;6.716534;3.856261;-5.375781;34.0;0;0;0;0;3
442097501;442097445;4259850;-2.5921226;-1.5450583;-5.7843914;34.0;0;0;0;0;3
443094745;443094694;4259850;-2.0558212;-1.4812129;-10.330182;34.0;0;0;0;0;3
444094883;444094830;4259850;0.34476507;2.1962812;-5.835468;34.0;0;0;0;0;3
445096451;445096401;4259850;-0.29368874;1.3790603;-15.999652;34.0;0;0;0;0;3
446093677;446093588;4259850;2.3750482;-0.6384538;-10.496181;34.0;0;0;0;0;3
447095199;447095144;4259850;-0.06384538;0.4213795;-12.220006;34.0;0;0;0;0;3
448095347;448095296;4259850;1.6344417;-0.93214256;-5.541779;34.0;0;0;0;0;3
449097011;449096961;4259850;-1.2896767;0.9704498;-11.032482;34.0;0;0;0;0;3
450093860;450093805;4259850;-1.3662912;-1.3152149;-6.4611526;34.0;0;0;0;0;3
451095562;451095512;4259850;0.57460845;1.8004397;-9.487424;34.0;0;0;0;0;3
452095801;452095748;4259850;-2.336741;0.9449116;-2.5538151;34.0;0;0;0;0;3
453093512;453093461;4259850;1.4684438;1.4301366;-8.057287;34.0;0;0;0;0;3
454095184;454095132;4259850;-0.038307227;1.5578272;-11.4794;34.0;0;0;0;0;3
455095341;455095289;4259850;-1.7238252;1.51952;-7.1123753;34.0;0;0;0;0;3
456092683;456092628;4259850;2.0430522;4.83948;1.7749016;34.0;0;0;0;0;3
457094469;457094325;4259850;-1.2513695;1.0470642;-8.823432;34.0;0;0;0;0;3
458095675;458095609;4259850;-0.30645782;2.2345884;-4.9671707;34.0;0;0;0;0;3
459095906;459095854;4259850;-1.9536686;2.2345884;-0.80445176;34.0;0;0;0;0;3
460093189;460093138;4259850;-1.3024458;0.5873775;-7.1506824;34.0;0;0;0;0;3
461094869;461094817;4259850;1.3152149;-0.17876707;-8.580819;34.0;0;0;0;0;3
462096565;462096511;4259850;-2.1196666;1.1492169;-9.564038;34.0;0;0;0;0;3
463096803;463096753;4259850;1.6472108;-0.7150683;-11.964624;34.0;0;0;0;0;3
464094012;464093961;4259850;-0.8555281;0.61291564;-21.618046;34.0;0;0;0;0;3
465095565;465095503;4259850;-1.4684438;2.0430522;0.10215261;34.0;0;0;0;0;3
466096621;466096559;4259850;-1.7238252;1.9408996;-10.457873;34.0;0;0;0;0;3
467093862;467093795;4259850;-2.668737;-1.1236787;-7.1506824;34.0;0;0;0;0;3
469095613;469095562;4259850;-1.2258313;-1.1109096;-6.4866905;34.0;0;0;0;0;3
470097300;470097142;4259850;-0.089383535;2.1579738;-7.584831;34.0;0;0;0;0;3
471094513;471094365;4259850;-3.026271;0.7789136;-6.052542;34.0;0;0;0;0;3
472095063;472095013;4259850;-0.30645782;3.8051846;-6.6526885;34.0;0;0;0;0;3
473096771;473096720;4259850;-1.2769076;-0.9449116;-7.1123753;34.0;0;0;0;0;3
474093655;474093549;4259850;-0.17876707;-1.7493634;-9.768343;34.0;0;0;0;0;3
475095252;475095183;4259850;-1.6472108;-4.1499496;-9.627883;34.0;0;0;0;0;3
476095411;476095358;4259850;-1.6982871;-5.171476;-13.637373;34.0;0;0;0;0;3
477097118;477097066;4259850;-1.9025923;-5.0948615;-7.1379137;34.0;0;0;0;0;3
478094525;478094412;4259850;-3.9456444;-2.7070441;-9.168197;34.0;0;0;0;0;3
479094726;479094639;4259850;0.82998997;-3.9967208;-8.504205;34.0;0;0;0;0;3
480096430;480096312;4259850;-1.008757;-5.0182467;-2.9241185;34.0;0;0;0;0;3
481093662;481093591;4259850;-2.7453513;-2.5793533;-5.0948615;34.0;0;0;0;0;3
482094901;482094747;4259850;-3.5625722;-5.005478;-13.982139;34.0;0;0;0;0;3
483096451;483096398;4259850;-4.469177;-6.7803793;-7.7891364;34.0;0;0;0;0;3
484097066;484097013;4259850;-1.9792068;-3.524265;-10.36849;34.0;0;0;0;0;3
485094343;485094291;4259850;1.7876706;0.6639919;-3.4604197;34.0;0;0;0;0;3
486096007;486095955;4259850;-0.11492168;-0.038307227;-11.734781;34.0;0;0;0;0;3
487096179;487096129;4259850;-2.9368875;-0.98321885;-9.193735;34.0;0;0;0;0;3
488093389;488093337;4259850;0.51076305;-0.80445176;-11.4794;34.0;0;0;0;0;3
489094944;489094894;4259850;0.39584136;-2.3622792;-13.394761;34.0;0;0;0;0;3
490096028;490095977;4259850;0.6512229;-0.22984336;-9.576807;34.0;0;0;0;0;3
491097586;491097534;4259850;0.6512229;-1.851516;-10.853715;34.0;0;0;0;0;3
492094795;492094744;4259850;-0.3192269;-3.3454978;-7.7891364;34.0;0;0;0;0;3
493094877;493094827;4259850;-0.62568474;1.9919759;-7.584831;34.0;0;0;0;0;3
494096513;494096460;4259850;2.8602731;0.7789136;-4.2904096;34.0;0;0;0;0;3
495093689;495093637;4259850;0.3830723;-0.076614454;-6.8059177;34.0;0;0;0;0;3
496095212;496095162;4259850;-0.9576807;2.0813594;-14.952588;34.0;0;0;0;0;3
497095405;497095348;4259850;-2.4772007;-1.9281305;-20.430521;34.0;0;0;0;0;3
