timestamp;rollspeed_integ;pitchspeed_integ;yawspeed_integ;wheel_rate_integ
431334747;0.0;0.0;0.0;0.0
431336193;0.0;0.0;0.0;0.0
431537214;0.0;0.0;0.0;0.0
431736579;0.0;0.0;0.0;0.0
431936016;0.0;0.0;0.0;0.0
432135461;0.0;0.0;0.0;0.0
432335228;0.0;0.0;0.0;0.0
432537729;0.0;0.0;0.0;0.0
432738286;0.0;0.0;0.0;0.0
432937729;0.0;0.0;0.0;0.0
433137174;0.0;0.0;0.0;0.0
433336665;0.0;0.0;0.0;0.0
433536158;0.0;0.0;0.0;0.0
433735501;0.0;0.0;0.0;0.0
433937941;0.0;0.0;0.0;0.0
434137389;0.0;0.0;0.0;0.0
434337187;0.0;0.0;0.0;0.0
434536319;-0.0035169628;-0.020524245;-7.300277e-05;0.0
434735719;-0.0016621862;-0.023065215;-0.00043456804;0.0
434935160;-0.017377134;-0.02876543;-0.0015289063;0.0
435134610;0.0010183149;-0.047749437;-0.0009122648;0.0
435338596;-0.0013267584;-0.059083436;-0.0016627071;0.0
435537985;-0.007959413;-0.0600384;-2.0256388e-05;0.0
435737435;-0.008593482;-0.069548026;-8.363517e-05;0.0
435936877;-0.0006229229;-0.07552125;1.883668e-05;0.0
436136646;0.0015317767;-0.06561687;0.00021419386;0.0
436335806;-0.0032041636;-0.055594396;0.0002836657;0.0
436535203;-0.006064702;-0.06749873;0.00031096736;0.0
436737646;-0.0001586676;-0.07362571;0.00021514327;0.0
436937091;0.0023938327;-0.05280228;0.0005444093;0.0
437136533;-0.005728896;-0.0554658;0.0006645968;0.0
437337482;-0.0020713008;-0.08020003;0.000551404;0.0
437535470;0.004872528;-0.06325947;0.0006452071;0.0
437734864;-0.0006750516;-0.03933072;0.0010644939;0.0
437934305;-0.0011768434;-0.06967793;0.0010922981;0.0
438138597;0.004342253;-0.08187929;0.00081910857;0.0
438337741;-0.004423299;-0.03728934;0.0010190972;0.0
438537135;-0.0005718132;-0.04433582;0.0009707318;0.0
438736575;0.002692147;-0.084462225;0.00067714805;0.0
438936023;0.0012942624;-0.05863739;0.00026001054;0.0
439135464;-0.0013536718;-0.01868607;0.00073473435;0.0
439334957;0.0017207263;-0.03556647;0.0006561906;0.0
439537396;0.009186546;-0.06499957;6.1670056e-05;0.0
439736794;0.011772348;-0.032374654;-4.889826e-05;0.0
439936238;-0.00025036148;-0.0122219585;0.0008482808;0.0
440137226;-0.0005704104;-0.014191424;0.0008482808;0.0
440336626;-0.0005704104;-0.014191424;0.0005199057;0.0
440536065;-0.0005704104;-0.018571008;0.000978476;0.0
440735511;-0.0005704104;-0.018571008;0.000978476;0.0
440937988;-0.0005704104;-0.018571008;0.000978476;0.0
441137398;-0.0005704104;-0.018571008;0.000978476;0.0
441336886;-0.0005704104;-0.018571008;0.000978476;0.0
441536282;-0.0005704104;-0.042297147;0.000978476;0.0
441735727;0.013487181;-0.039601408;0.00045540513;0.0
441935170;0.00091243215;-0.039574917;0.00020701179;0.0
442134612;-0.011329598;-0.060027752;0.0024560574;0.0
442338559;0.018014058;-0.07189661;0.0044418797;0.0
442537997;-0.027266877;-0.06850704;0.007075904;0.0
442737442;-0.022368582;-0.08022931;0.008387552;0.0
442936901;0.01913847;-0.08599766;0.008659228;0.0
443136381;-0.01657856;-0.081958674;0.010294858;0.0
443335771;-0.013821303;-0.0853188;0.0104632955;0.0
443535217;0.021320473;-0.08931761;0.01048348;0.0
443737660;-0.01456881;-0.08374947;0.012062007;0.0
443937103;-0.014256547;-0.084261686;0.0120912995;0.0
444136548;0.01992531;-0.086258724;0.012305261;0.0
444336038;-0.014761369;-0.08368878;0.013818592;0.0
444535433;-0.012015293;-0.087586984;0.01370149;0.0
444734878;0.014134978;-0.0878983;0.014009619;0.0
444934319;-0.014518377;-0.08617387;0.0151758315;0.0
445135267;-0.008660173;-0.08552054;0.01506411;0.0
445337710;0.010044057;-0.085981764;0.015644364;0.0
445537151;-0.013480105;-0.082326055;0.01653308;0.0
445736597;-0.0037270908;-0.08445759;0.016301153;0.0
445936042;0.005573963;-0.084773816;0.016589833;0.0
446135537;-0.014573403;-0.08181497;0.017510364;0.0
446334923;0.0002727073;-0.08907804;0.017400123;0.0
446537371;0.002117254;-0.0902952;0.018230772;0.0
446738313;-0.011996668;-0.087992005;0.019092731;0.0
446936258;0.0014098274;-0.089678824;0.019247947;0.0
447137202;0.0024745152;-0.08850447;0.019947445;0.0
447336732;-0.010528309;-0.0847431;0.020521862;0.0
447536085;-0.0004776986;-0.0859713;0.020411607;0.0
447735529;-0.001961449;-0.086494096;0.020793574;0.0
447937970;-0.00861785;-0.085746855;0.020959387;0.0
448137463;0.0011351897;-0.08805287;0.020910416;0.0
448336860;-0.0021292819;-0.08745414;0.021199826;0.0
448536333;-0.007314525;-0.08419781;0.02147442;0.0
448735763;0.0012676588;-0.08615434;0.02145748;0.0
448935551;-0.0001585574;-0.08453692;0.022082264;0.0
449134678;-0.0044040494;-0.08264577;0.022272443;0.0
449338577;-0.0012082928;-0.08310761;0.022347124;0.0
449538016;-0.0024546694;-0.0834946;0.02257123;0.0
449737461;-0.0022660433;-0.08413541;0.02269638;0.0
449936951;-0.00285225;-0.08412723;0.022994393;0.0
450136347;-0.007009347;-0.0830545;0.023273926;0.0
450335794;-0.0034440022;-0.08248004;0.023623932;0.0
