timestamp;roll;pitch;yaw;thrust_body[0];thrust_body[1];thrust_body[2];reset_integral
431333369;-0.1573886;-0.10261335;2.5699925;0.0;0.0;-0.0;0
431337849;-0.15697232;-0.10375719;2.5699892;0.0;0.0;-0.0;0
431355861;-0.15196894;-0.10790118;2.5699847;0.0;0.0;-0.0;0
431373908;-0.14474915;-0.110631704;2.569991;0.0;0.0;-0.0;0
431396373;-0.13648134;-0.11067548;2.57001;0.0;0.0;-0.0;0
431418898;-0.123624384;-0.11284304;2.5700233;0.0;0.0;-0.0;0
431432377;-0.11344239;-0.11566891;2.5700233;0.0;0.0;-0.0;0
431454866;-0.099006645;-0.12114393;2.5700035;0.0;0.0;-0.0;0
431477355;-0.08379619;-0.12979774;2.5699472;0.0;0.0;-0.0;0
431495318;-0.06793931;-0.14025907;2.5698564;0.0;0.0;-0.0;0
431513358;-0.05399411;-0.15155555;2.5697374;0.0;0.0;-0.0;0
431535837;-0.040026847;-0.16557719;2.569566;0.0;0.0;-0.0;0
431558334;-0.027634121;-0.17976017;2.5693681;0.0;0.0;-0.0;0
431576298;-0.018045057;-0.19133052;2.5691886;0.0;0.0;-0.0;0
431594272;-0.013060475;-0.20066851;2.5690417;0.0;0.0;-0.0;0
431616801;-0.008021138;-0.21134871;2.5688648;0.0;0.0;-0.0;0
431634828;-0.004670712;-0.21883394;2.5687354;0.0;0.0;-0.0;0
431652758;-0.0019078392;-0.22480173;2.5686274;0.0;0.0;-0.0;0
431675250;0.0027063203;-0.2309819;2.568505;0.0;0.0;-0.0;0
431697746;0.003940765;-0.23220074;2.5684774;0.0;0.0;-0.0;0
431715801;0.006700738;-0.23210554;2.5684652;0.0;0.0;-0.0;0
431733770;0.0083365245;-0.23097089;2.5684755;0.0;0.0;-0.0;0
431756358;0.0093313735;-0.22833605;2.568515;0.0;0.0;-0.0;0
431774218;0.009404618;-0.22548528;2.5685627;0.0;0.0;-0.0;0
431796720;0.008295004;-0.2203324;2.5686524;0.0;0.0;-0.0;0
431814758;0.0016886627;-0.21303973;2.568798;0.0;0.0;-0.0;0
431837252;-0.0057009375;-0.20321007;2.5689769;0.0;0.0;-0.0;0
431855270;-0.016143184;-0.1927221;2.5691628;0.0;0.0;-0.0;0
431873260;-0.026713923;-0.18170607;2.569341;0.0;0.0;-0.0;0
431895706;-0.04575116;-0.1676803;2.569554;0.0;0.0;-0.0;0
431913698;-0.057176713;-0.1580541;2.5696774;0.0;0.0;-0.0;0
431936190;-0.07217395;-0.14894725;2.5697815;0.0;0.0;-0.0;0
431954220;-0.091372535;-0.13830285;2.5698793;0.0;0.0;-0.0;0
431976696;-0.11437204;-0.12722743;2.5699472;0.0;0.0;-0.0;0
431994706;-0.13246484;-0.119974665;2.5699675;0.0;0.0;-0.0;0
432017291;-0.15560903;-0.11134172;2.5699587;0.0;0.0;-0.0;0
432035151;-0.17529795;-0.10445346;2.5699258;0.0;0.0;-0.0;0
432053204;-0.19822547;-0.096179105;2.5698602;0.0;0.0;-0.0;0
432075684;-0.22140495;-0.08903255;2.56976;0.0;0.0;-0.0;0
432093687;-0.24438435;-0.07962312;2.569636;0.0;0.0;-0.0;0
432116217;-0.2592514;-0.074802056;2.5695379;0.0;0.0;-0.0;0
432134116;-0.27590021;-0.06767462;2.5694115;0.0;0.0;-0.0;0
432156620;-0.2878544;-0.06317831;2.5693123;0.0;0.0;-0.0;0
432174667;-0.30099085;-0.05844968;2.569193;0.0;0.0;-0.0;0
432192604;-0.30788887;-0.05848269;2.5691326;0.0;0.0;-0.0;0
432215130;-0.31738284;-0.061789013;2.569053;0.0;0.0;-0.0;0
432237588;-0.32855415;-0.06979479;2.5016582;0.0;0.0;-0.0;0
432255645;-0.33339277;-0.08481955;2.3646817;0.0;0.0;-0.0;0
432273635;-0.33895737;-0.10396982;2.1978528;0.0;0.0;-0.0;0
432296048;-0.34523568;-0.13264103;1.9996712;0.0;0.0;-0.0;0
432314110;-0.3454024;-0.16122872;1.7855176;0.0;0.0;-0.0;0
432332104;-0.3464744;-0.19051224;1.5763527;0.0;0.0;-0.0;0
432354611;-0.34775293;-0.22685277;1.3232504;0.0;0.0;-0.0;0
432377123;-0.352611;-0.2581071;1.1237863;0.0;0.0;-0.0;0
432395049;-0.36219186;-0.27947396;0.9921884;0.0;0.0;-0.0;0
432413170;-0.3789745;-0.2956197;0.8756714;0.0;0.0;-0.0;0
432435550;-0.4016177;-0.3111025;0.72796226;0.0;0.0;-0.0;0
432458035;-0.41459605;-0.3234709;0.5800591;0.0;0.0;-0.0;0
432471532;-0.4306233;-0.32552138;0.4990756;0.0;0.0;-0.0;0
432494006;-0.44646305;-0.3264591;0.38090536;0.0;0.0;-0.0;0
432516537;-0.46499527;-0.3217497;0.29101732;0.0;0.0;-0.0;0
432534538;-0.4707826;-0.31517267;0.23463657;0.0;0.0;-0.0;0
432552509;-0.48056516;-0.30765724;0.18957639;0.0;0.0;-0.0;0
432575029;-0.4900919;-0.29614073;0.14529969;0.0;0.0;-0.0;0
432597499;-0.49991077;-0.28521028;0.11159792;0.0;0.0;-0.0;0
432615538;-0.50544274;-0.27724165;0.09051431;0.0;0.0;-0.0;0
432633493;-0.5168248;-0.27152348;0.07364151;0.0;0.0;-0.0;0
432655976;-0.520136;-0.26864904;0.05711229;0.0;0.0;-0.0;0
432678491;-0.5204432;-0.27191657;0.044610206;0.0;0.0;-0.0;0
432696446;-0.5177013;-0.2759345;0.036808062;0.0;0.0;-0.0;0
432714538;-0.5122025;-0.28334996;0.030564334;0.0;0.0;-0.0;0
432737024;-0.49905634;-0.29474634;0.024465969;0.0;0.0;-0.0;0
432754948;-0.4863219;-0.3034699;0.020640336;0.0;0.0;-0.0;0
432772980;-0.4752924;-0.3122657;0.01757292;0.0;0.0;-0.0;0
432795444;-0.460128;-0.32148057;0.014528598;0.0;0.0;-0.0;0
432817926;-0.44450042;-0.32973433;0.012180606;0.0;0.0;-0.0;0
432835962;-0.43865672;-0.33487624;0.010752771;0.0;0.0;-0.0;0
432853906;-0.42663985;-0.33897507;0.009521343;0.0;0.0;-0.0;0
432876394;-0.41363224;-0.3428887;0.008298237;0.0;0.0;-0.0;0
432894442;-0.3981856;-0.34435698;0.0074336384;0.0;0.0;-0.0;0
432912429;-0.3841944;-0.34648132;0.0067355996;0.0;0.0;-0.0;0
432934919;-0.36196902;-0.3490907;0.005955789;0.0;0.0;-0.0;0
432957415;-0.34304833;-0.35036388;0.005329043;0.0;0.0;-0.0;0
