timestamp;voltage_v;rssi_v;free_memory_bytes;pwm[0];pwm[1];pwm[2];pwm[3];pwm[4];pwm[5];pwm[6];pwm[7];pwm_disarmed[0];pwm_disarmed[1];pwm_disarmed[2];pwm_disarmed[3];pwm_disarmed[4];pwm_disarmed[5];pwm_disarmed[6];pwm_disarmed[7];pwm_failsafe[0];pwm_failsafe[1];pwm_failsafe[2];pwm_failsafe[3];pwm_failsafe[4];pwm_failsafe[5];pwm_failsafe[6];pwm_failsafe[7];pwm_rate_hz[0];pwm_rate_hz[1];pwm_rate_hz[2];pwm_rate_hz[3];pwm_rate_hz[4];pwm_rate_hz[5];pwm_rate_hz[6];pwm_rate_hz[7];raw_inputs[0];raw_inputs[1];raw_inputs[2];raw_inputs[3];raw_inputs[4];raw_inputs[5];raw_inputs[6];raw_inputs[7];raw_inputs[8];raw_inputs[9];raw_inputs[10];raw_inputs[11];raw_inputs[12];raw_inputs[13];raw_inputs[14];raw_inputs[15];raw_inputs[16];raw_inputs[17];status_arm_sync;status_failsafe;status_fmu_initialized;status_fmu_ok;status_init_ok;status_outputs_armed;status_raw_pwm;status_rc_ok;status_rc_dsm;status_rc_ppm;status_rc_sbus;status_rc_st24;status_rc_sumd;status_safety_button_event;alarm_pwm_error;alarm_rc_lost;arming_failsafe_custom;arming_fmu_armed;arming_fmu_prearmed;arming_force_failsafe;arming_io_arm_ok;arming_lockdown;arming_termination_failsafe
431284103;5.0150003;1.651;1824;1001;1001;1001;1001;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1495;1084;1898;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
432296137;5.0150003;1.6520001;1824;1100;1100;1100;1100;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1495;1084;1758;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
433308414;5.0150003;1.6560001;1824;1145;1180;1125;1199;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1495;1145;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
434320715;5.024;1.6300001;1824;1100;1200;1100;1200;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1495;1134;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
435332767;5.024;1.6370001;1824;1212;1257;1194;1291;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1495;1196;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
436344975;5.039;1.6570001;1824;1227;1284;1200;1309;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1495;1194;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
437357210;5.0270004;1.6910001;1824;1195;1317;1231;1284;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1496;1194;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
438369355;5.0290003;1.6710001;1824;1307;1210;1280;1229;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1495;1495;1194;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
439381694;5.032;1.6380001;1824;1106;1401;1117;1396;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1192;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
440393665;5.032;1.6550001;1824;1100;1297;1100;1297;0;0;0;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;400;400;400;0;0;0;0;0;1494;1497;1125;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0
