timestamp;timestamp_sample;position[0];position[1];position[2];q[0];q[1];q[2];q[3];velocity[0];velocity[1];velocity[2];angular_velocity[0];angular_velocity[1];angular_velocity[2];position_variance[0];position_variance[1];position_variance[2];orientation_variance[0];orientation_variance[1];orientation_variance[2];velocity_variance[0];velocity_variance[1];velocity_variance[2];pose_frame;velocity_frame;reset_counter;quality
440151057;440150606;-84.61569;6.5331426;-1.5975063;0.9329884;-0.04856801;0.14201619;0.32711664;-6.3868947;-0.19029728;-0.17536941;-0.36730316;2.141045;-0.09204263;331.57736;498.77075;0.20777577;0.00020534186;0.00021076875;0.006673068;2.805199;4.491259;0.008836518;1;1;15;0
440654895;440654510;-85.21778;6.310376;-1.6187496;0.84843695;-0.2602312;0.1977754;0.41631654;-6.0602083;0.032767802;-0.15251851;-0.3114785;-0.7062481;1.0031455;347.26764;543.9305;0.21034102;0.0028013356;0.0005930117;0.0032699353;2.810563;4.7285705;0.008624893;1;1;15;0
441149962;441149370;-83.517975;5.8147373;-1.6380293;0.5824493;-0.37332702;0.11976487;0.7120647;-5.7952027;-0.011595814;-0.16225825;-0.8025917;-0.28522813;1.3237994;366.60672;592.6576;0.20831923;0.0021282935;0.00039430812;0.0020676798;2.867154;5.011936;0.008696691;1;1;15;0
441653607;441653180;-87.616585;7.070961;-1.6522034;0.25613356;-0.2117536;-0.1222634;0.9352046;-6.36341;0.1997293;-0.120534375;-0.5761348;-2.8519123;0.86117;391.64597;646.106;0.20673527;0.00076305924;0.00032485815;0.0013486124;2.9748425;5.3146296;0.009130973;1;1;15;0
442148583;442148040;-95.00385;7.5500546;-1.6488258;0.24549448;-0.04212607;0.008928586;0.96844107;-6.7468295;0.15900058;-0.16079102;-1.7862097;0.22058414;-0.0451115;413.6319;700.2248;0.20845707;0.00020926418;0.00025570288;0.0012610827;3.042296;5.585464;0.009389446;1;1;15;0
442652520;442651897;-107.91785;7.9917445;-1.6266867;0.2669693;-0.0018797835;0.041774496;0.96279746;-7.9730806;0.0443568;-0.1539409;-0.96432614;0.3125038;-0.014300487;439.50394;759.029;0.20757842;0.00021520267;0.00021090581;0.00094190665;3.1281664;5.873297;0.009414204;1;1;15;0
443147397;443146757;-120.416016;8.709666;-1.6013845;0.27305102;0.01619097;0.044481758;0.96083426;-9.143558;-0.060887057;-0.121323;0.4185727;-0.041686308;-0.06595467;467.99854;819.5453;0.20644504;0.0002073513;0.00019845863;0.0007827558;3.2249212;6.151976;0.009408038;1;1;15;0
443651392;443650614;-132.75362;9.670418;-1.5810792;0.27611244;0.006729767;0.011005581;0.9610388;-10.2076435;-0.10010074;-0.10559704;1.0517879;-0.11702338;-0.11601087;499.279;884.67487;0.20962827;0.00020270464;0.0001967157;0.00068022264;3.329707;6.4354424;0.0094548045;1;1;15;0
444155044;444154471;-145.16652;10.926893;-1.5638545;0.27954125;-0.0109623475;-0.0332855;0.959494;-11.180918;-0.06299772;-0.10035743;0.71529627;-0.047963787;-0.09931201;533.02563;953.7959;0.20935439;0.00020145321;0.00019751673;0.00061670033;3.4443064;6.7228317;0.009397826;1;1;15;0
444649952;444649331;-157.54587;12.403034;-1.542904;0.2840746;-0.014446025;-0.036319904;0.9580052;-12.078196;0.035361517;-0.08306417;-0.13655083;-0.09963145;-0.062139273;567.3373;1025.2667;0.20855245;0.00019746466;0.00020725602;0.000556788;3.5496314;7.006809;0.009363796;1;1;15;0
