timestamp;timestamp_sample;latitude_deg;longitude_deg;altitude_msl_m;altitude_ellipsoid_m;time_utc_usec;device_id;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;spoofing_state;vel_ned_valid;satellites_used;selected_rtcm_instance;rtcm_crc_failed;rtcm_msg_used
453070475;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763763.5;99.99;99.99;81;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
454070470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763817.0;99.99;99.99;81;41;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
455070504;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763871.0;99.99;99.99;81;41;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
456070469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763925.2;99.99;99.99;80;48;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
457071469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3763979.5;99.99;99.99;80;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
458071474;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764034.2;99.99;99.99;80;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
459071474;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764089.2;99.99;99.99;80;34;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
460071676;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764144.2;99.99;99.99;80;37;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
461071474;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764199.5;99.99;99.99;80;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
462071490;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3764255.5;99.99;99.99;80;24;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2808;0;0;1;0;0;0;0;0
