timestamp;timestamp_sample;hover_thrust;hover_thrust_var;accel_innov;accel_innov_var;accel_innov_test_ratio;accel_noise_var;valid
573294493;573293958;0.49169174;0.009739176;2.9535718;27179.451;3.5662506e-05;2.9418905;0
573393384;573392929;0.49154946;0.009730663;2.3191915;27199.21;2.1972242e-05;2.9434617;0
573492405;573491899;0.49141127;0.009721869;2.4871783;27290.205;2.5186311e-05;2.9506752;0
573591629;573590915;0.4913134;0.009711548;0.605262;28173.533;1.4447842e-06;3.0688772;0
573690371;573689839;0.4912191;0.009701049;1.8918796;29194.857;1.3621913e-05;3.1542318;0
573798279;573797805;0.49112627;0.009689954;1.9590023;30277.793;1.4083259e-05;3.265872;0
573897279;573896777;0.49104294;0.009680371;2.238872;30916.908;1.8014407e-05;3.3279078;0
573996345;573995795;0.49094072;0.009671414;2.7915215;31096.654;2.7843627e-05;3.3434536;0
574095099;574094718;0.49084866;0.009663371;2.675429;31069.941;2.5597878e-05;3.3375604;0
574194221;574193688;0.49075857;0.009654622;0.9902886;31156.63;3.497281e-06;3.3510954;0
574293158;574292658;0.49065706;0.009645929;2.095361;31200.965;1.5635334e-05;3.3440406;0
574392163;574391629;0.49056527;0.009637284;0.9293089;31108.818;3.0845665e-06;3.3364828;0
574491145;574490645;0.49046925;0.009628688;2.3581064;31043.475;1.9902789e-05;3.3184457;0
574599059;574598568;0.49034357;0.009619438;2.9232736;31242.352;3.039154e-05;3.3404753;0
574697927;574697538;0.49023655;0.009611028;2.6315207;31088.842;2.4749508e-05;3.3185065;0
574797034;574796511;0.49013433;0.009602602;1.6451308;31019.973;9.69431e-06;3.3053703;0
574896033;574895577;0.4900376;0.009594936;1.7170131;30809.98;1.0631959e-05;3.2803972;0
574995024;574994533;0.48990622;0.009586446;2.2149234;30582.232;1.7824023e-05;3.2571447;0
575093838;575093489;0.48979568;0.009577932;2.0257046;31003.783;1.4706016e-05;3.2964213;0
575192935;575192438;0.4897042;0.0095696645;2.9989295;31268.53;3.1958218e-05;3.315375;0
575291885;575291388;0.48961687;0.009561746;1.6382334;31305.488;9.525517e-06;3.3125577;0
575390847;575390374;0.4895111;0.009553838;1.1427666;31106.2;4.6647206e-06;3.2959402;0
575498661;575498297;0.48939484;0.009544992;1.6732352;30931.652;1.0056998e-05;3.2706223;0
