timestamp;timestamp_sample;switch_changes;mode_slot;arm_switch;return_switch;loiter_switch;offboard_switch;kill_switch;gear_switch;transition_switch;photo_switch;video_switch;payload_power_switch;engage_main_motor_switch
430760747;430737240;7;0;0;0;0;0;3;0;0;0;0;0;0
431772965;431749450;7;0;0;0;0;0;3;0;0;0;0;0;0
432785189;432761653;7;0;0;0;0;0;3;0;0;0;0;0;0
433797384;433773856;7;0;0;0;0;0;3;0;0;0;0;0;0
434809582;434786066;7;0;0;0;0;0;3;0;0;0;0;0;0
435821806;435798281;7;0;0;0;0;0;3;0;0;0;0;0;0
436834058;436810489;7;0;0;0;0;0;3;0;0;0;0;0;0
437846270;437822710;7;0;0;0;0;0;3;0;0;0;0;0;0
438858448;438834920;7;0;0;0;0;0;3;0;0;0;0;0;0
439870912;439847133;7;0;0;0;0;0;3;0;0;0;0;0;0
440882859;440859345;7;0;0;0;0;0;3;0;0;0;0;0;0
441895069;441871631;7;0;0;0;0;0;3;0;0;0;0;0;0
442907290;442883793;7;0;0;0;0;0;3;0;0;0;0;0;0
443919503;443896007;7;0;0;0;0;0;3;0;0;0;0;0;0
444931717;444908275;7;0;0;0;0;0;3;0;0;0;0;0;0
445943955;445920483;7;0;0;0;0;0;3;0;0;0;0;0;0
446956284;446932621;7;0;0;0;0;0;3;0;0;0;0;0;0
447968359;447945008;7;0;0;0;0;0;3;0;0;0;0;0;0
448980646;448957046;7;0;0;0;0;0;3;0;0;0;0;0;0
449992812;449969273;7;0;0;0;0;0;3;0;0;0;0;0;0
451004999;450981479;7;0;0;0;0;0;3;0;0;0;0;0;0
452017226;451993693;7;0;0;0;0;0;3;0;0;0;0;0;0
453029422;453005898;7;0;0;0;0;0;3;0;0;0;0;0;0
454041655;454018115;7;0;0;0;0;0;3;0;0;0;0;0;0
455053849;455030391;7;0;0;0;0;0;3;0;0;0;0;0;0
456066071;456042548;7;0;0;0;0;0;3;0;0;0;0;0;0
457078365;457054758;7;0;0;0;0;0;3;0;0;0;0;0;0
458090498;458066974;7;0;0;0;0;0;3;0;0;0;0;0;0
459102701;459079281;7;0;0;0;0;0;3;0;0;0;0;0;0
460114995;460091399;7;0;0;0;0;0;3;0;0;0;0;0;0
461127153;461103662;7;0;0;0;0;0;3;0;0;0;0;0;0
462139354;462115832;7;0;0;0;0;0;3;0;0;0;0;0;0
463151568;463128038;7;0;0;0;0;0;3;0;0;0;0;0;0
464163791;464140283;7;0;0;0;0;0;3;0;0;0;0;0;0
465175993;465152521;7;0;0;0;0;0;3;0;0;0;0;0;0
466188216;466164682;7;0;0;0;0;0;3;0;0;0;0;0;0
469224830;469201452;7;0;0;0;0;0;3;0;0;0;0;0;0
470237051;470213538;7;0;0;0;0;0;3;0;0;0;0;0;0
471249280;471225762;7;0;0;0;0;0;3;0;0;0;0;0;0
472261566;472237954;7;0;0;0;0;0;3;0;0;0;0;0;0
473273688;473250163;7;0;0;0;0;0;3;0;0;0;0;0;0
474285931;474262378;7;0;0;0;0;0;3;0;0;0;0;0;0
475298128;475274591;7;0;0;0;0;0;3;0;0;0;0;0;0
476310377;476286836;7;0;0;0;0;0;3;0;0;0;0;0;0
477322540;477299008;7;0;0;0;0;0;3;0;0;0;0;0;0
478335105;478311224;7;0;0;0;0;0;3;0;0;0;0;0;0
479346948;479323436;7;0;0;0;0;0;3;0;0;0;0;0;0
480359156;480335717;7;0;0;0;0;0;3;0;0;0;0;0;0
481371475;481347859;7;0;0;0;0;0;3;0;0;0;0;0;0
482383602;482360075;7;0;0;0;0;0;3;0;0;0;0;0;0
483395806;483372312;7;0;0;0;0;0;3;0;0;0;0;0;0
484408019;484384521;7;0;0;0;0;0;3;0;0;0;0;0;0
485420265;485396699;7;0;0;0;0;0;3;0;0;0;0;0;0
486432420;486409009;7;0;0;0;0;0;3;0;0;0;0;0;0
487444669;487421117;7;0;0;0;0;0;3;0;0;0;0;0;0
488456878;488433401;7;0;0;0;0;0;3;0;0;0;0;0;0
489469104;489445537;7;0;0;0;0;0;3;0;0;0;0;0;0
490481273;490457767;7;0;0;0;0;0;3;0;0;0;0;0;0
491493491;491469961;7;0;0;0;0;0;3;0;0;0;0;0;0
492505721;492482173;7;0;0;0;0;0;3;0;0;0;0;0;0
493517930;493494372;7;0;0;0;0;0;3;0;0;0;0;0;0
494530118;494506582;7;0;0;0;0;0;3;0;0;0;0;0;0
495542404;495518793;7;0;0;0;0;0;3;0;0;0;0;0;0
496554539;496530997;7;0;0;0;0;0;3;0;0;0;0;0;0
497566724;497543205;7;0;0;0;0;0;3;0;0;0;0;0;0
498578940;498555411;7;0;0;0;0;0;3;0;0;0;0;0;0
499591128;499567626;7;0;0;0;0;0;3;0;0;0;0;0;0
500603393;500579833;7;0;0;0;0;0;3;0;0;0;0;0;0
501615553;501592072;7;0;0;0;0;0;3;0;0;0;0;0;0
502627805;502604248;7;0;0;0;0;0;3;0;0;0;0;0;0
503639970;503616466;7;0;0;0;0;0;3;0;0;0;0;0;0
504652238;504628663;7;0;0;0;0;0;3;0;0;0;0;0;0
505664408;505640987;7;0;0;0;0;0;3;0;0;0;0;0;0
506676623;506653067;7;0;0;0;0;0;3;0;0;0;0;0;0
507688786;507665289;7;0;0;0;0;0;3;0;0;0;0;0;0
508701121;508677481;7;0;0;0;0;0;3;0;0;0;0;0;0
509713211;509689691;7;0;0;0;0;0;3;0;0;0;0;0;0
510725414;510701890;7;0;0;0;0;0;3;0;0;0;0;0;0
511737632;511714089;7;0;0;0;0;0;3;0;0;0;0;0;0
512749886;512726297;7;0;0;0;0;0;3;0;0;0;0;0;0
513762019;513738503;7;0;0;0;0;0;3;0;0;0;0;0;0
514774243;514750708;7;0;0;0;0;0;3;0;0;0;0;0;0
515786428;515762912;7;0;0;0;0;0;3;0;0;0;0;0;0
516798721;516775125;7;0;0;0;0;0;3;0;0;0;0;0;0
517811003;517787318;7;0;0;0;0;0;3;0;0;0;0;0;0
518823043;518799540;7;0;0;0;0;0;3;0;0;0;0;0;0
519835261;519811727;7;0;0;0;0;0;3;0;0;0;0;0;0
520847477;520823993;7;0;0;0;0;0;3;0;0;0;0;0;0
521859686;521836128;7;0;0;0;0;0;3;0;0;0;0;0;0
522871852;522848338;7;0;0;0;0;0;3;0;0;0;0;0;0
523884074;523860534;7;0;0;0;0;0;3;0;0;0;0;0;0
524896265;524872761;7;0;0;0;0;0;3;0;0;0;0;0;0
525908496;525884943;7;0;0;0;0;0;3;0;0;0;0;0;0
526920701;526897199;7;0;0;0;0;0;3;0;0;0;0;0;0
527932879;527909414;7;0;0;0;0;0;3;0;0;0;0;0;0
528945162;528921625;7;0;0;0;0;0;3;0;0;0;0;0;0
529957310;529933747;7;0;0;0;0;0;3;0;0;0;0;0;0
