Tiempo,U1_Roll,U2_Pitch,U3_Yaw,Y1_RollRate,Y2_PitchRate,Y3_YawRate
83.881,-0.152263790369034,-0.132626876235008,-0.494639813899994,-0.0421086251735687,0.0469857938587666,-0.0335574559867382
83.901,-0.15375891327858,-0.14816977083683,-0.501401543617249,-0.0386592000722885,0.0779952630400658,-0.0257810093462467
83.921,-0.174607887864113,-0.160767108201981,-0.496899545192719,-0.0830957219004631,0.0946438014507294,-0.0379092879593372
83.941,-0.170309647917747,-0.17481704056263,-0.509990692138672,-0.0686511248350143,0.127439305186272,-0.0200058408081532
83.961,-0.195250660181046,-0.159665733575821,-0.502161622047424,-0.11854000389576,0.0836367607116699,-0.036190140992403
83.981,-0.192097127437592,-0.176669180393219,-0.512732326984406,-0.105954349040985,0.117651700973511,-0.0228092782199383
84.001,-0.213645845651627,-0.193357735872269,-0.509478390216827,-0.148978978395462,0.146752595901489,-0.0326525904238224
84.021,-0.208454161882401,-0.183959722518921,-0.514034867286682,-0.128060728311539,0.126278355717659,-0.0282944086939096
84.041,-0.283711761236191,-0.181198209524155,-0.511153101921082,-0.284655779600143,0.108949184417725,-0.0367549099028111
84.061,-0.235671803355217,-0.192576617002487,-0.525537490844727,-0.170444041490555,0.13098306953907,-0.0182614885270596
84.081,-0.23796534538269,-0.200300291180611,-0.521407961845398,-0.161482602357864,0.137727528810501,-0.028133312240243
84.101,-0.247232049703598,-0.19782429933548,-0.527390956878662,-0.171707540750504,0.129797995090485,-0.0221368595957756
84.121,-0.290235579013824,-0.211716845631599,-0.526565253734589,-0.259180456399918,0.147065371274948,-0.027524646371603
84.141,-0.276526570320129,-0.240799501538277,-0.537474811077118,-0.223368689417839,0.20640917122364,-0.0136291701346636
84.161,-0.240579694509506,-0.232577234506607,-0.537871539592743,-0.12266930192709,0.175035804510117,-0.0164790786802769
84.181,-0.231562539935112,-0.255582869052887,-0.534806489944458,-0.093596950173378,0.218792870640755,-0.0254934430122375
84.201,-0.254927724599838,-0.265125244855881,-0.539710283279419,-0.136992305517197,0.225447222590446,-0.0215385053306818
84.221,-0.243552803993225,-0.309385567903519,-0.544958651065826,-0.107256628572941,0.312500029802322,-0.0166177693754435
84.241,-0.27142733335495,-0.294982433319092,-0.545368015766144,-0.153982475399971,0.266882240772247,-0.0202535577118397
84.261,-0.279262661933899,-0.308549851179123,-0.547020196914673,-0.169280871748924,0.278423696756363,-0.0208021365106106
84.281,-0.26370969414711,-0.328068405389786,-0.550441026687622,-0.120715320110321,0.3112932741642,-0.0196218732744455
84.301,-0.276266366243362,-0.32050496339798,-0.553768754005432,-0.142353609204292,0.275492370128632,-0.017791086807847
84.321,-0.282820194959641,-0.338142603635788,-0.525349259376526,-0.151466399431229,0.296976774930954,-0.0158623680472374
84.341,-0.329486846923828,-0.331461489200592,-0.35239577293396,-0.241015359759331,0.266703397035599,-0.0123061491176486
84.361,-0.314321279525757,-0.345369100570679,-0.140296965837479,-0.200579136610031,0.283716350793839,0.00249566929414868
84.381,-0.294099599123001,-0.338964253664017,-0.0328252092003822,-0.138632699847221,0.253467500209808,0.0102761965245008
84.401,-0.316381394863129,-0.348130851984024,-0.00320569355972111,-0.179253876209259,0.25464540719986,0.0463285148143768
84.421,-0.315071642398834,-0.374163806438446,-0.0236718561500311,-0.168294191360474,0.297447383403778,0.0802937597036362
84.441,-0.255271166563034,-0.375902861356735,-0.0311563014984131,-0.0259033944457769,0.288471400737762,0.0939155891537666
84.461,-0.203886032104492,-0.357614725828171,-0.0345148593187332,0.0935670435428619,0.230783730745316,0.118100583553314
84.481,-0.169994622468948,-0.338871210813522,0.0291609279811382,0.167525053024292,0.176014974713326,0.12734143435955
84.501,-0.139219895005226,-0.319351106882095,0.0983535647392273,0.233604863286018,0.120727777481079,0.13345031440258
84.521,-0.0974586233496666,-0.298916399478912,0.154939293861389,0.310991555452347,0.0677370578050613,0.139938727021217
84.541,-0.0345250815153122,-0.27047124505043,0.296687990427017,0.438106209039688,0.000157185742864385,0.146508947014809
84.561,0.0408337041735649,-0.225405961275101,0.363094449043274,0.584607124328613,-0.101611435413361,0.150032192468643
84.581,0.112343057990074,-0.184065252542496,0.413572072982788,0.720160067081451,-0.194403931498528,0.159805506467819
84.601,0.159932821989059,-0.157457739114761,0.446583092212677,0.789164841175079,-0.252053499221802,0.189719647169113
84.621,0.218906089663506,-0.141306608915329,0.461103200912476,0.888236999511719,-0.279146492481232,0.21566553413868
84.641,0.265923589468002,-0.118660509586334,0.485724300146103,0.949542701244354,-0.321168422698975,0.263303577899933
84.661,0.304393738508224,-0.116672217845917,0.467672437429428,0.983061790466309,-0.314226567745209,0.294581800699234
84.681,0.311041444540024,-0.143605902791023,0.452161639928818,0.956970810890198,-0.240656852722168,0.321959614753723
84.701,0.328289568424225,-0.139444142580032,0.458089053630829,0.945815682411194,-0.242669314146042,0.315706789493561
84.721,0.335284918546677,-0.178990125656128,0.435674756765366,0.914132714271545,-0.137756675481796,0.355343878269196
84.741,0.325996458530426,-0.160486787557602,0.440458357334137,0.850891947746277,-0.171513229608536,0.349520981311798
84.761,0.288438558578491,-0.170460909605026,0.423183619976044,0.759577572345734,-0.146846204996109,0.379706382751465
84.781,0.262510061264038,-0.210520833730698,0.438309341669083,0.695316135883331,-0.0503564588725567,0.35988637804985
84.801,0.239540249109268,-0.208869531750679,0.445292562246323,0.61805522441864,-0.0526795499026775,0.348811835050583
84.821,0.185941889882088,-0.241863608360291,0.422922670841217,0.46184378862381,0.0208038482815027,0.386632829904556
84.841,0.178695961833,-0.304433882236481,0.422301948070526,0.415365606546402,0.157951384782791,0.391327530145645
84.861,0.164607420563698,-0.350979328155518,0.416968047618866,0.368300259113312,0.258009880781174,0.401690810918808
84.881,0.104275092482567,-0.352720230817795,0.421285569667816,0.201002791523933,0.260815054178238,0.398092865943909
84.901,0.0944108739495277,-0.311844199895859,0.429057896137238,0.164402931928635,0.15740929543972,0.387173026800156
84.921,0.0948956236243248,-0.310251504182816,0.424005806446075,0.153644144535065,0.138669043779373,0.397279590368271
84.941,0.0771281346678734,-0.327308803796768,0.42738738656044,0.101869367063046,0.16970682144165,0.393928825855255
84.961,0.0620556101202965,-0.297482371330261,0.439179718494415,0.0599254071712494,0.0992176830768585,0.378531068563461
84.981,0.0602650828659534,-0.263049513101578,0.436744600534439,0.0434634014964104,0.0135393710806966,0.38319718837738
85.001,0.0641399025917053,-0.255184710025787,0.431027173995972,0.0456212535500526,-0.00906955637037754,0.394731342792511
85.021,0.0623537003993988,-0.242627501487732,0.431798934936523,0.0349011644721031,-0.034203514456749,0.396423757076263
85.041,0.0670194402337074,-0.226799175143242,0.42895120382309,0.0376015231013298,-0.0703214630484581,0.402567684650421
85.061,0.0848627164959908,-0.208385661244392,0.431027323007584,0.0697178691625595,-0.109673641622066,0.402323067188263
85.081,0.0955642014741898,-0.185037508606911,0.454993188381195,0.0897238105535507,-0.15593720972538,0.366756290197372
