timestamp;bias_x[0];bias_x[1];bias_x[2];bias_x[3];bias_y[0];bias_y[1];bias_y[2];bias_y[3];bias_z[0];bias_z[1];bias_z[2];bias_z[3];valid[0];valid[1];valid[2];valid[3];stable[0];stable[1];stable[2];stable[3]
1250761926;-0.020686472;0.00021787998;0.0;0.0;-0.02202514;0.004193547;0.0;0.0;-0.013990208;-0.030769497;0.0;0.0;1;1;0;0;1;1;0;0
1446803633;-0.0034479524;-0.0044285613;0.0;0.0;0.0036802345;0.0030838526;0.0;0.0;-0.0063095987;-0.004720967;0.0;0.0;0;0;0;0;0;0;0;0
1446822990;0.0010441414;-0.0095727835;0.0;0.0;0.0015621649;0.0041430616;0.0;0.0;-0.0017804364;-0.0063480595;0.0;0.0;0;0;0;0;0;0;0;0
