timestamp;armed;prearmed;ready_to_arm;lockdown;kill;termination;in_esc_calibration_mode
1250776202;1;0;1;0;0;0;0
1251280838;1;0;1;0;0;0;0
1251786760;1;0;1;0;0;0;0
1252292758;1;0;1;0;0;0;0
1252798977;1;0;1;0;0;0;0
1253304821;1;0;1;0;0;0;0
1253810897;1;0;1;0;0;0;0
1254316836;1;0;1;0;0;0;0
1254822757;1;0;1;0;0;0;0
1255328771;1;0;1;0;0;0;0
1255834761;1;0;1;0;0;0;0
1256340776;1;0;1;0;0;0;0
1256846777;1;0;1;0;0;0;0
1257353894;1;0;1;0;0;0;0
1257859779;1;0;1;0;0;0;0
1258365758;1;0;1;0;0;0;0
1258871758;1;0;1;0;0;0;0
1259377772;1;0;1;0;0;0;0
1259883934;1;0;1;0;0;0;0
1260389871;1;0;1;0;0;0;0
1260895820;1;0;1;0;0;0;0
1261401758;1;0;1;0;0;0;0
1261907795;1;0;1;0;0;0;0
1262413925;1;0;1;0;0;0;0
1262919851;1;0;1;0;0;0;0
1263425759;1;0;1;0;0;0;0
1263931759;1;0;1;0;0;0;0
1264438687;1;0;1;0;0;0;0
1264943940;1;0;1;0;0;0;0
1265450294;1;0;1;0;0;0;0
1265955777;1;0;1;0;0;0;0
1266461758;1;0;1;0;0;0;0
1266967758;1;0;1;0;0;0;0
1267473953;1;0;1;0;0;0;0
1267979759;1;0;1;0;0;0;0
1268485757;1;0;1;0;0;0;0
1268991757;1;0;1;0;0;0;0
1269497758;1;0;1;0;0;0;0
1270004770;1;0;1;0;0;0;0
1270510757;1;0;1;0;0;0;0
1271016764;1;0;1;0;0;0;0
1271524430;1;0;1;0;0;0;0
1272029759;1;0;1;0;0;0;0
1272535859;1;0;1;0;0;0;0
1273041769;1;0;1;0;0;0;0
1273547757;1;0;1;0;0;0;0
1274053964;1;0;1;0;0;0;0
1274559790;1;0;1;0;0;0;0
1275065757;1;0;1;0;0;0;0
1275571774;1;0;1;0;0;0;0
1276077758;1;0;1;0;0;0;0
1276583896;1;0;1;0;0;0;0
1277089756;1;0;1;0;0;0;0
1277595758;1;0;1;0;0;0;0
1278101757;1;0;1;0;0;0;0
1278609024;1;0;1;0;0;0;0
1279114760;1;0;1;0;0;0;0
1279620760;1;0;1;0;0;0;0
1280126773;1;0;1;0;0;0;0
1280632759;1;0;1;0;0;0;0
1281138758;1;0;1;0;0;0;0
1281644764;1;0;1;0;0;0;0
1282150757;1;0;1;0;0;0;0
1282656762;1;0;1;0;0;0;0
1283162758;1;0;1;0;0;0;0
1283668778;1;0;1;0;0;0;0
1284175286;1;0;1;0;0;0;0
1284680777;1;0;1;0;0;0;0
1285187069;1;0;1;0;0;0;0
1285692794;1;0;1;0;0;0;0
1286198758;1;0;1;0;0;0;0
1286705758;1;0;1;0;0;0;0
1287211759;1;0;1;0;0;0;0
1287717758;1;0;1;0;0;0;0
1288224530;1;0;1;0;0;0;0
1288729776;1;0;1;0;0;0;0
1289235777;1;0;1;0;0;0;0
1289742104;1;0;1;0;0;0;0
1290247759;1;0;1;0;0;0;0
1290753894;1;0;1;0;0;0;0
1291259759;1;0;1;0;0;0;0
1291765756;1;0;1;0;0;0;0
1292271758;1;0;1;0;0;0;0
1292777759;1;0;1;0;0;0;0
1293283920;1;0;1;0;0;0;0
1293789759;1;0;1;0;0;0;0
1294295832;1;0;1;0;0;0;0
1294801758;1;0;1;0;0;0;0
1295307777;1;0;1;0;0;0;0
1295813895;1;0;1;0;0;0;0
1296319758;1;0;1;0;0;0;0
1296826322;1;0;1;0;0;0;0
1297332759;1;0;1;0;0;0;0
1297838757;1;0;1;0;0;0;0
1298345023;1;0;1;0;0;0;0
1298850829;1;0;1;0;0;0;0
1299356758;1;0;1;0;0;0;0
1299862757;1;0;1;0;0;0;0
1300368770;1;0;1;0;0;0;0
1300876027;1;0;1;0;0;0;0
1301381758;1;0;1;0;0;0;0
1301887758;1;0;1;0;0;0;0
1302393762;1;0;1;0;0;0;0
1302900234;1;0;1;0;0;0;0
1303405943;1;0;1;0;0;0;0
1303911792;1;0;1;0;0;0;0
1304417996;1;0;1;0;0;0;0
1304923779;1;0;1;0;0;0;0
1305429780;1;0;1;0;0;0;0
1305936893;1;0;1;0;0;0;0
1306442759;1;0;1;0;0;0;0
1306949087;1;0;1;0;0;0;0
1307454794;1;0;1;0;0;0;0
1307960984;1;0;1;0;0;0;0
1308466944;1;0;1;0;0;0;0
1308972778;1;0;1;0;0;0;0
1309478831;1;0;1;0;0;0;0
1309984757;1;0;1;0;0;0;0
1310490758;1;0;1;0;0;0;0
1310996928;1;0;1;0;0;0;0
1311502831;1;0;1;0;0;0;0
1312008757;1;0;1;0;0;0;0
1312514757;1;0;1;0;0;0;0
1313020819;1;0;1;0;0;0;0
1313528073;1;0;1;0;0;0;0
1314033758;1;0;1;0;0;0;0
1314540758;1;0;1;0;0;0;0
