timestamp;rollspeed_integ;pitchspeed_integ;yawspeed_integ
1250838357;0.0;0.0;0.0
1250839890;0.0;0.0;0.0
1251039295;0.0;0.0;0.0
1251239129;0.0;0.0;0.0
1251438210;0.0;0.0;0.0
1251642213;0.0;0.0;0.0
1251841622;0.0;0.0;0.0
1252041075;0.0;0.0;0.0
1252240532;0.0;0.0;0.0
1252439989;0.0;0.0;0.0
1252639489;0.0;0.0;0.0
1252838906;0.0;-0.01935644;0.0
1253041355;0.0;-0.07273529;0.0
1253241292;0.0;-0.10344883;0.0
1253440290;-0.013212583;-0.11731658;0.0010546236
1253639725;0.006385088;-0.081012905;0.0010084099
1253839233;-0.00046951234;-0.04827711;0.00056900264
1254038639;-0.010637297;-0.060103543;0.0011089883
1254238185;-0.000773404;-0.058545254;0.00089947466
1254442052;-0.0024114714;-0.0457505;0.0010576337
1254641554;-0.0058677797;-0.047572162;0.0011056224
1254836517;-0.004872661;-0.04936626;0.0010942119
1255040814;-0.006557462;-0.048013784;0.0010842517
1255239875;-0.00649785;-0.04856557;0.0010708479
1255439332;-0.004637063;-0.0519898;0.0009518879
1255638837;-0.0049536712;-0.05380087;0.0008621021
1255841363;-0.0061669345;-0.0553096;0.0010385634
1256040702;-0.004745597;-0.057900332;0.0010195489
1256240163;-0.00663411;-0.062684946;0.0010741162
1256439615;-0.007894352;-0.06360297;0.0010455784
1256639075;-0.0071259495;-0.06361863;0.00090604567
1256838576;-0.0061396146;-0.06481382;0.00059332047
1257037984;-0.0064462903;-0.067159526;0.00030108745
1257241943;-0.0063688406;-0.065628015;0.00018590772
1257441398;-0.0057190927;-0.060390003;0.00020935135
1257640904;-0.004700084;-0.057546575;0.00016684367
1257840364;-0.0070637027;-0.06430346;0.00026061037
1258039768;-0.006827355;-0.066677615;0.00019548059
1258239224;-0.0045002312;-0.06384551;0.00016305901
1258438683;-0.009029607;-0.06287725;0.00057079946
1258638298;-0.011929231;-0.061478455;0.00090830005
1258840643;-0.011583819;-0.06252314;0.0008576781
1259040053;-0.011018789;-0.066755176;0.00096734083
1259239504;-0.009903623;-0.06501532;0.0009367583
1259438961;-0.011032238;-0.06363651;0.0009132575
1259639926;-0.011325038;-0.06428166;0.0008908218
1259839398;-0.010227042;-0.06205599;0.00090331654
1260038874;-0.012299021;-0.062258434;0.0008889384
1260241287;-0.016380763;-0.06606304;0.0010215889
1260440747;-0.017084887;-0.06428493;0.0011040602
1260640252;-0.015177362;-0.062071856;0.0009724697
1260839658;-0.019323392;-0.06415068;0.00094930764
1261039116;-0.019629773;-0.06506822;0.0011746079
1261238571;-0.014719937;-0.06992036;0.0009993317
