timestamp;accel_device_id;gyro_device_id;accel_clipping[0];accel_clipping[1];accel_clipping[2];gyro_clipping[0];gyro_clipping[1];gyro_clipping[2];accel_error_count;gyro_error_count;accel_rate_hz;gyro_rate_hz;accel_raw_rate_hz;gyro_raw_rate_hz;accel_vibration_metric;gyro_vibration_metric;delta_angle_coning_metric;mean_accel[0];mean_accel[1];mean_accel[2];mean_gyro[0];mean_gyro[1];mean_gyro[2];var_accel[0];var_accel[1];var_accel[2];var_gyro[0];var_gyro[1];var_gyro[2];temperature_accel;temperature_gyro
1251498378;2490378;2490378;0;0;0;0;0;0;0;0;808.3983;808.3983;8083.984;8083.984;0.35382536;0.011244069;2.2587285e-09;6.728078;-3.1757069;-6.589984;0.0076606376;0.0017906913;-0.01323811;0.40560135;0.03775111;0.7173431;0.00016557916;0.0007722848;0.00012240357;35.859932;35.859932
1252433334;2490378;2490378;0;0;0;0;0;0;0;0;808.39825;808.39825;8083.983;8083.983;0.3810035;0.013445361;5.032089e-10;6.7147136;-3.1899567;-6.6091204;0.0012657761;0.0028338602;-0.009492884;0.011390894;0.008027822;0.11492215;5.6216457e-05;0.00014684428;8.332143e-06;35.83944;35.83944
1253472430;2490378;2490378;0;0;0;0;0;0;0;0;808.3982;808.3982;8083.9824;8083.9824;3.3544652;0.12188885;8.8936093e-07;4.0279317;-2.7840333;-8.324503;-1.0641865;-1.5882602;-0.16979551;6.0984464;4.368369;35.132957;0.046391692;0.05168704;0.016764535;35.8646;35.8646
1254407693;2490378;2490378;0;0;0;0;0;0;0;0;808.39813;808.39813;8083.9814;8083.9814;4.0014987;0.14165781;4.192203e-08;-0.85578316;0.13123219;-10.037096;0.13790163;-0.1438899;-0.023235925;0.4532481;0.694556;7.108075;0.003987863;0.012817728;0.0007709022;35.863533;35.863533
1255446713;2490378;2490378;0;0;0;0;0;0;0;0;808.398;808.398;8083.9805;8083.9805;3.876177;0.12912607;2.3739414e-08;-0.14724411;0.058660083;-9.918311;-0.014870589;0.040872093;-0.0016292275;1.5446086;1.1796578;26.284475;0.0043326295;0.025326127;0.0010798573;35.87977;35.87977
1256485811;2490378;2490378;0;0;0;0;0;0;0;0;808.39795;808.39795;8083.98;8083.98;3.39123;0.11019276;1.5095342e-08;-0.15593593;-0.05258479;-10.022987;-0.011895488;-0.07978545;-0.0056338576;0.96473193;0.77666634;5.706281;0.0012096355;0.0064716446;0.00080622535;35.889336;35.889336
1257420999;2490378;2490378;0;0;0;0;0;0;0;0;808.3979;808.3979;8083.979;8083.979;3.7133815;0.12128926;1.6025712e-08;-0.37004668;0.044871323;-10.094281;-0.0067096995;-0.08949127;-0.011793186;0.5856617;1.4952639;6.8915753;0.0018661609;0.0056271404;0.0009906084;35.88546;35.88546
1258460167;2490378;2490378;0;0;0;0;0;0;0;0;808.39777;808.39777;8083.978;8083.978;3.5789237;0.12144399;5.5552103e-08;-0.2882334;-0.20233996;-9.939533;0.11200402;0.017464712;-0.034046926;1.6401318;0.9178384;15.550167;0.0063678417;0.01786242;0.0010779769;35.89516;35.89516
1259499189;2490378;2490378;0;0;0;0;0;0;0;0;808.3977;808.3977;8083.9775;8083.9775;3.5241556;0.11530353;1.8048752e-08;-0.328813;-0.050494846;-10.122721;0.03704685;0.04216999;-0.008489764;1.3398602;0.78575444;17.08173;0.0016544649;0.012463582;0.0008110919;35.891342;35.891342
1260434416;2490378;2490378;0;0;0;0;0;0;0;0;808.39764;808.39764;8083.9766;8083.9766;3.3223808;0.11130343;4.0153292e-08;-0.20550017;-0.1909333;-10.02452;-0.067720175;-0.092105694;-0.014857345;1.8215094;1.5802122;15.030351;0.0033479668;0.01666964;0.0014162981;35.908882;35.908882
1261473511;2490378;2490378;0;0;0;0;0;0;0;0;808.3975;808.3975;8083.9756;8083.9756;3.3080692;0.1041945;1.994246e-08;-0.26418233;-0.011353224;-10.059973;0.060899843;-0.07240753;0.029228713;0.74857986;0.7505208;5.7687407;0.0033030862;0.0053571886;0.0006539355;35.899834;35.899834
1262409159;2490378;2490378;0;0;0;0;0;0;0;0;808.39746;808.39746;8083.975;8083.975;4.126382;0.1375224;5.2832913e-08;0.051808093;0.16701837;-10.115014;-0.05172219;0.11230418;-0.053465936;2.5901794;0.64484966;29.61236;0.0039830995;0.027783338;0.00093323464;35.911404;35.911404
1263442813;2490378;2490378;0;0;0;0;0;0;0;0;808.3974;808.3974;8083.974;8083.974;3.735673;0.11966689;1.656365e-08;-0.28162938;0.014952361;-9.96863;0.024406694;-0.026581774;-0.013339937;1.2651149;0.84464234;16.749233;0.0022739212;0.014422952;0.0008336707;35.907158;35.907158
1264481910;2490378;2490378;0;0;0;0;0;0;0;0;808.3973;808.3973;8083.973;8083.973;3.479742;0.11186214;1.2269022e-08;-0.13594364;0.23646662;-10.000036;-0.006171382;-0.043415066;-0.0070915497;1.4099458;1.7101903;8.052884;0.0021440745;0.010987365;0.00062843534;35.898823;35.898823
1265417097;2490378;2490378;0;0;0;0;0;0;0;0;808.3973;808.3973;8083.9727;8083.9727;4.044822;0.12634961;2.4611554e-08;-0.33508137;-0.09765992;-9.918682;0.008817212;0.060470648;-0.0042222403;3.401138;1.3381896;26.181383;0.0035891337;0.0117845945;0.0016383103;35.910393;35.910393
1266456195;2490378;2490378;0;0;0;0;0;0;0;0;808.3972;808.3972;8083.972;8083.972;4.652668;0.14633562;4.176837e-08;-0.32850087;0.3652034;-10.184473;-0.0041137524;-0.04451803;0.016449934;3.004788;1.6780183;29.658909;0.0062827473;0.03234714;0.0021867047;35.88969;35.88969
1267498975;2490378;2490378;0;0;0;0;0;0;0;0;808.39716;808.39716;8083.971;8083.971;3.7506077;0.13005334;2.8447696e-08;-0.18502618;-0.11149284;-10.046491;-0.0840383;0.005909838;-0.029684;1.0366135;0.90950525;14.281113;0.0043930034;0.0112535795;0.0004769039;35.88919;35.88919
1268425573;2490378;2490378;0;0;0;0;0;0;0;0;808.3971;808.3971;8083.971;8083.971;2.8345408;0.09811198;1.3581824e-08;-0.1797789;-0.14431763;-10.06081;0.04360151;-0.040381122;-0.020972105;0.96865517;0.4842316;5.813275;0.0033398664;0.0061066537;0.00043167092;35.88264;35.88264
1269464625;2490378;2490378;0;0;0;0;0;0;0;0;808.3971;808.3971;8083.9707;8083.9707;3.625408;0.12091125;2.3123102e-08;-0.16063027;-0.1576874;-9.967504;-0.031162154;0.014271051;-0.018832631;1.9240398;1.3320493;16.817245;0.004974435;0.017040005;0.0019551064;35.88934;35.88934
1270498775;2490378;2490378;0;0;0;0;0;0;0;0;808.397;808.397;8083.97;8083.97;3.1864944;0.10420267;8.886287e-09;-0.22692257;0.2013089;-10.039537;0.016498469;-0.019530747;-0.009403508;0.8498114;0.69415385;5.95262;0.00116054;0.006274544;0.0009509452;35.862663;35.862663
1271434016;2490378;2490378;0;0;0;0;0;0;0;0;808.397;808.397;8083.9697;8083.9697;3.789152;0.11482101;3.501077e-08;-0.11787025;0.049018435;-9.949873;0.09227096;0.058976;-0.0052559725;1.8538707;1.0221666;17.634274;0.0023084555;0.012931764;0.00078212994;35.86022;35.86022
1272473099;2490378;2490378;0;0;0;0;0;0;0;0;808.397;808.397;8083.9697;8083.9697;3.5643008;0.12246837;2.7065099e-08;-0.2077547;-0.21996799;-9.9439125;-0.030403528;-0.0932154;0.016894436;1.4210498;1.1834505;9.050554;0.0024053543;0.012550223;0.0015845695;35.843975;35.843975
1273408283;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.969;8083.969;3.4201803;0.120678104;4.9372723e-08;-0.18859042;0.11160044;-9.892322;0.11670597;0.01337491;0.015208743;1.7073827;1.2108644;21.975002;0.0036533233;0.024203174;0.0011757255;35.829815;35.829815
1274447365;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.969;8083.969;4.251291;0.13199237;1.6456326e-08;-0.27558047;0.026871346;-10.080934;-0.016633207;0.013045005;-0.017211176;2.1379747;0.52636755;22.092474;0.0018477624;0.02014548;0.0009308284;35.834476;35.834476
1275486427;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.9688;8083.9688;3.5320132;0.11932322;3.76965e-08;-0.38473326;-0.06107922;-10.083589;0.0505906;-0.10824721;-0.07636997;1.1219591;0.7206276;13.104824;0.0041242037;0.014159428;0.0007858446;35.81277;35.81277
1276416665;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.9688;8083.9688;3.3124287;0.10813019;1.9297696e-08;0.012499719;0.116730146;-10.063746;0.07279771;-0.019941622;-0.014706747;0.76278806;1.4019186;9.129414;0.002327212;0.0089599835;0.0006974823;35.814;35.814
1277455764;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.9688;8083.9688;3.6398735;0.11500289;7.379841e-08;-0.33483195;0.015708389;-9.99698;-0.1779193;-0.07320549;0.00858826;1.6864792;0.7503858;22.938356;0.0014322462;0.018989276;0.0010913783;35.792072;35.792072
1278494855;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.9688;8083.9688;3.4273615;0.10649884;5.2236807e-08;-0.21078238;0.07520074;-10.124928;-0.20195992;-0.055205476;0.010315746;0.29043955;1.0144386;8.044042;0.0043442533;0.006673269;0.00061373966;35.77618;35.77618
1279430064;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.9688;8083.9688;3.340882;0.10214266;9.073619e-09;-0.20751388;-0.0066766907;-10.063544;0.0011131153;-0.013738678;-0.003901772;1.195367;0.95283943;6.9400926;0.0014173173;0.0065252637;0.00037688558;35.763817;35.763817
1280464184;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.9688;8083.9688;3.7257965;0.118561976;1.4789814e-08;-0.31550875;0.25165412;-10.052823;-0.014323468;0.0025096638;0.005367236;1.7550273;1.4831969;15.673323;0.003304928;0.010655084;0.001186058;35.758423;35.758423
1281503285;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.969;8083.969;3.2669857;0.107900895;1.7803858e-08;-0.118022755;-0.00166668;-10.121858;0.03235806;-0.0024190992;0.023143297;0.8572368;1.1560425;8.902064;0.0021695795;0.009091324;0.0010079137;35.732475;35.732475
1282433657;2490378;2490378;0;0;0;0;0;0;0;0;808.3969;808.3969;8083.969;8083.969;4.257915;0.13528635;3.474555e-08;-0.19869594;0.22626916;-10.026042;0.021479096;0.058134105;0.033504326;2.0405447;2.3156295;20.345633;0.003863198;0.0189052;0.002488224;35.72464;35.72464
1283472599;2490378;2490378;0;0;0;0;0;0;0;0;808.397;808.397;8083.9697;8083.9697;3.5432322;0.116837;3.912056e-08;-0.12399684;0.015478235;-9.919473;-0.102293044;-0.06395099;0.007894585;1.4424995;1.2520792;11.057167;0.0024279982;0.012214409;0.0006240813;35.7117;35.7117
1284506772;2490378;2490378;0;0;0;0;0;0;0;0;808.397;808.397;8083.9697;8083.9697;3.7838378;0.12474637;3.8215877e-08;-0.3705084;-0.14795953;-10.181294;0.06874494;-0.034862176;-0.04077455;1.5875845;0.6761589;16.199512;0.0048214435;0.020041976;0.0010904385;35.675823;35.675823
