timestamp;voltage5v_v;voltage_payload_v;sensors3v3[0];sensors3v3[1];sensors3v3[2];sensors3v3[3];sensors3v3_valid;usb_connected;brick_valid;usb_valid;servo_valid;periph_5v_oc;hipower_5v_oc;comp_5v_valid;can1_gps1_5v_valid;payload_v_valid
1251308388;5.0223083;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1251808468;4.983536;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1252298390;5.011029;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1252798907;4.9975343;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1253308390;5.0207977;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1253808387;5.0452695;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1254308388;5.009317;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1254808777;5.041846;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1255308387;5.0449677;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1255798388;5.0470824;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1256298388;5.049399;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1256808391;5.0177765;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1257308423;5.0310698;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1257808388;4.972659;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1258308388;5.0450683;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1258808388;5.058563;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1259298387;5.0470824;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1259798388;5.075583;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1260308390;5.0007567;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1260808387;5.0435576;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1261308387;5.010324;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1261808407;5.0260344;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1262308387;5.000052;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1262798388;5.0450683;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1263298388;5.0108275;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1263808391;5.0260344;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1264308415;5.0374146;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1264808388;4.9729614;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1265308562;5.0442624;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1265808390;4.997433;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1266298389;5.0464783;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1266798389;5.004181;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1267308390;5.04386;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1267808388;5.035501;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1268308406;4.9838376;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1268808387;5.0443635;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1269308425;5.0073028;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1269798387;5.0245237;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1270298388;4.9969296;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1270808390;5.044766;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1271308388;5.0284514;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1271808387;5.033688;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1272308399;5.050708;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1272808388;4.9315705;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1273298391;5.046982;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1273798388;5.0049863;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1274308404;5.0474854;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1274808408;5.01405;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1275308387;5.045471;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1275808390;5.0536284;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1276308407;5.0276456;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1276798388;5.0673246;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1277298387;5.045471;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1277808417;5.0474854;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1278308416;4.9887724;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1278808436;5.0408387;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1279308401;5.0036774;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1279808387;5.0488954;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1280298388;4.9894776;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1280798387;5.033386;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1281308390;5.048593;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1281808705;5.0118346;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1282308387;5.043054;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1282808419;5.01687;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1283308387;5.041241;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1283798388;5.006799;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1284298387;5.044061;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1284808390;5.047989;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1285309215;5.0184813;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1285808387;5.0464783;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1286308400;4.9780974;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1286808387;5.0449677;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1287298389;5.014856;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1287798409;5.034494;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
1288308390;5.007907;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
