timestamp;timestamp_sample;gyro_device_id;gyro_bias[0];gyro_bias[1];gyro_bias[2];gyro_bias_limit;gyro_bias_variance[0];gyro_bias_variance[1];gyro_bias_variance[2];accel_device_id;accel_bias[0];accel_bias[1];accel_bias[2];accel_bias_limit;accel_bias_variance[0];accel_bias_variance[1];accel_bias_variance[2];mag_device_id;mag_bias[0];mag_bias[1];mag_bias[2];mag_bias_limit;mag_bias_variance[0];mag_bias_variance[1];mag_bias_variance[2];gyro_bias_valid;gyro_bias_stable;accel_bias_valid;accel_bias_stable;mag_bias_valid;mag_bias_stable
1250702309;1250530835;4325386;0.0014382578;0.0018091704;3.043626e-05;0.15;3.0198328e-07;1.8970148e-07;2.3389455e-07;4259850;0.073608056;0.018475639;0.0149741275;0.4;0.0013824153;0.006481065;0.00017836936;396809;0.029470356;-0.108158775;0.02936123;0.5;6.0318987e-05;0.00016856632;2.9453347e-05;1;1;1;0;1;1
1251710161;1251538615;4325386;0.0014525673;0.0018127561;2.9371487e-05;0.15;3.01975e-07;1.894617e-07;2.3314892e-07;4259850;0.073483594;0.017911531;0.015051259;0.4;0.0013704929;0.0064223153;0.0001782851;396809;0.029266035;-0.10824685;0.029399287;0.5;6.0104503e-05;0.0001681806;2.9307475e-05;1;1;1;0;1;1
1253590892;1253419251;4325386;0.0014733477;0.0018070919;-3.3580724e-05;0.15;3.0982883e-07;1.9708528e-07;2.3708164e-07;4259850;0.07324767;0.017116018;0.015160914;0.4;0.0013586687;0.0063636857;0.00017827094;396809;0.02980995;-0.10588707;0.028274601;0.5;5.5268225e-05;0.0001514892;2.7847196e-05;1;0;1;0;1;0
1254562742;1254390991;4325386;0.0014742814;0.0018084445;-0.00012222832;0.15;3.1852284e-07;2.057858e-07;2.428445e-07;4259850;0.07324767;0.017116018;0.012506086;0.4;0.0013587463;0.0063637863;0.00017793733;396809;0.036020253;-0.0857604;0.019493252;0.5;3.972438e-05;0.00010389716;2.176885e-05;1;0;1;0;1;0
1255534618;1255362779;4325386;0.0014736113;0.001810256;-0.00017605125;0.15;3.2718307e-07;2.1446738e-07;2.486895e-07;4259850;0.07324767;0.017116018;0.010552045;0.4;0.0013588241;0.006363887;0.00017765186;396809;0.037900284;-0.074619986;0.014375225;0.5;3.167528e-05;7.937509e-05;1.8631586e-05;1;0;1;0;1;0
1256497316;1256325570;4325386;0.0014726279;0.0018122955;-0.00021089616;0.15;3.3569376e-07;2.2302343e-07;2.5442614e-07;4259850;0.07324767;0.017116018;0.009227086;0.4;0.0013589012;0.0063639865;0.00017722286;396809;0.038018536;-0.06827544;0.011253641;0.5;2.695497e-05;6.5201755e-05;1.6884536e-05;1;0;1;0;1;0
1257622151;1257450324;4325386;0.0014712494;0.0018154301;-0.00023474755;0.15;3.4552272e-07;2.3294818e-07;2.610645e-07;4259850;0.07324767;0.017116018;0.008121752;0.4;0.0013589911;0.006364103;0.00017590335;396809;0.037170425;-0.0634563;0.008584488;0.5;2.3413255e-05;5.5007735e-05;1.5602245e-05;1;0;1;0;1;0
1258521948;1258350129;4325386;0.0014702317;0.0018180165;-0.00024569695;0.15;3.5328227e-07;2.4082954e-07;2.6627808e-07;4259850;0.07324767;0.017116018;0.007532195;0.4;0.0013590632;0.006364196;0.00017364681;396809;0.03628045;-0.060738605;0.0069453344;0.5;2.1406338e-05;4.9455797e-05;1.4897625e-05;1;0;1;0;1;0
1259268823;1259096966;4325386;0.00146841;0.0018207132;-0.0002534951;0.15;3.596231e-07;2.473082e-07;2.7050882e-07;4259850;0.07324767;0.017116018;0.0072030355;0.4;0.0013591229;0.0063642734;0.00017073446;396809;0.035398774;-0.059100438;0.0058200285;0.5;2.0061092e-05;4.5851302e-05;1.4445897e-05;1;0;1;0;1;0
1260609430;1260437722;4325386;0.0014644092;0.0018266885;-0.00025493864;0.15;3.7076376e-07;2.5879507e-07;2.7788087e-07;4259850;0.07324767;0.017116018;0.0069465074;0.4;0.0013592303;0.006364412;0.00016298394;396809;0.033877622;-0.056758866;0.004126859;0.5;1.8186787e-05;4.099354e-05;1.3838501e-05;1;0;1;0;1;0
