timestamp;timestamp_sample;roll;pitch;yaw;throttle;flaps;aux1;aux2;aux3;aux4;aux5;aux6;buttons;valid;data_source;sticks_moving
1250766811;1250765787;2.7474016e-08;-0.0024212617;0.99270064;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1250924323;1250923242;2.7474016e-08;4.5867637e-08;0.99270064;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1250969274;1250968224;2.7474016e-08;-0.0024212617;0.99270064;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1251149227;1251148188;2.7474016e-08;4.5867637e-08;0.99270064;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1251329170;1251328149;2.7474016e-08;4.5867637e-08;0.99270064;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1251599097;1251598089;2.7474016e-08;4.5867637e-08;0.99270064;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1251756592;1251755570;2.7474016e-08;4.5867637e-08;-0.0049261563;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
1252004025;1252002994;2.7474016e-08;-0.0024212617;0.0024329755;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
1252183999;1252182960;2.7474016e-08;4.5867637e-08;0.0024329755;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1252431474;1252430410;2.7474016e-08;4.5867637e-08;0.0024329755;-0.88753045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
1252633903;1252632859;2.7474016e-08;4.5867637e-08;0.0024329755;-0.782396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
1252820862;1252819805;2.7474016e-08;4.5867637e-08;0.0024329755;-0.63080674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
1253038795;1253037771;2.7474016e-08;4.5867637e-08;0.0024329755;-0.59413195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
1253218778;1253217745;2.7474016e-08;-0.0024212617;0.0024329755;-0.56968206;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1253421308;1253420282;2.7474016e-08;4.5867637e-08;0.0024329755;-0.5012224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
1253623668;1253622645;2.7474016e-08;4.5867637e-08;0.0024329755;-0.4792175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1253833896;1253832061;2.7474016e-08;4.5867637e-08;-4.7963113e-08;-0.52567226;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1253983607;1253982585;2.7474016e-08;4.5867637e-08;-4.7963113e-08;-0.5183373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1254231044;1254230028;2.7474016e-08;4.5867637e-08;-4.7963113e-08;-0.4205378;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;1
1254388562;1254387472;2.7474016e-08;4.5867637e-08;-4.7963113e-08;-0.4205378;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1254613448;1254612424;2.7474016e-08;4.5867637e-08;-4.7963113e-08;-0.378973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1254770949;1254769931;2.7474016e-08;4.5867637e-08;-4.7963113e-08;-0.38386297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1254970961;1254769931;2.7474016e-08;4.5867637e-08;-4.7963113e-08;-0.38386297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1255198317;1255197297;2.7474016e-08;4.5867637e-08;-4.7963113e-08;-0.3960879;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1255423293;1255422261;2.7474016e-08;4.5867637e-08;0.0024329755;-0.40342286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1255625807;1255624779;2.7474016e-08;4.5867637e-08;0.0024329755;-0.40831286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1255828175;1255827155;2.7474016e-08;4.5867637e-08;0.0024329755;-0.41075784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1255873163;1255872147;2.7474016e-08;4.5867637e-08;0.0024329755;-0.41075784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
1256210659;1256209640;2.7474016e-08;4.5867637e-08;0.0024329755;-0.40831286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1;0
