timestamp;timestamp_sample;information_event_changes;gps_checks_passed;reset_vel_to_gps;reset_vel_to_flow;reset_vel_to_vision;reset_vel_to_zero;reset_pos_to_last_known;reset_pos_to_gps;reset_pos_to_vision;starting_gps_fusion;starting_vision_pos_fusion;starting_vision_vel_fusion;starting_vision_yaw_fusion;yaw_aligned_to_imu_gps;reset_hgt_to_baro;reset_hgt_to_gps;reset_hgt_to_rng;reset_hgt_to_ev
1250474355;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1251487310;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1252493342;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1253502439;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1254511842;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1255521228;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1256530660;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1257540061;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1258549482;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1259558843;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1260568568;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1261577764;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1262587175;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1263597188;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1264605884;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1265615297;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1266624740;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1267634166;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1268643515;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1269652980;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
1270662348;1203853218;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
