timestamp;imbalanced_prop_metric;motor_failure_mask;motor_stop_mask;fd_roll;fd_pitch;fd_alt;fd_ext;fd_arm_escs;fd_battery;fd_imbalanced_prop;fd_motor
1250776209;-0.0063036205;0;0;0;0;0;0;0;0;0;0
1251280845;-0.006200879;0;0;0;0;0;0;0;0;0;0
1251786767;-0.02290283;0;0;0;0;0;0;0;0;0;0
1252292766;-0.04284545;0;0;0;0;0;0;0;0;0;0
1252798985;-0.07553964;0;0;0;0;0;0;0;0;0;0
1253304829;-0.1908064;0;0;0;0;0;0;0;0;0;0
1253810904;-0.39895406;0;0;0;0;0;0;0;0;0;0
1254316844;-0.5538906;0;0;0;0;0;0;0;0;0;0
1254822765;-0.6850393;0;0;0;0;0;0;0;0;0;0
1255328779;-0.82767445;0;0;0;0;0;0;0;0;0;0
1255834769;-1.0114906;0;0;0;0;0;0;0;0;0;0
1256340784;-1.088818;0;0;0;0;0;0;0;0;0;0
1256846784;-1.1880426;0;0;0;0;0;0;0;0;0;0
1257353902;-1.3443091;0;0;0;0;0;0;0;0;0;0
1257860017;-1.3771728;0;0;0;0;0;0;0;0;0;0
1258365765;-1.4329473;0;0;0;0;0;0;0;0;0;0
1258871765;-1.4679258;0;0;0;0;0;0;0;0;0;0
1259377779;-1.5224578;0;0;0;0;0;0;0;0;0;0
1259883942;-1.5875174;0;0;0;0;0;0;0;0;0;0
1260389879;-1.5710995;0;0;0;0;0;0;0;0;0;0
1260895828;-1.5986222;0;0;0;0;0;0;0;0;0;0
1261401766;-1.667716;0;0;0;0;0;0;0;0;0;0
1261907801;-1.6980456;0;0;0;0;0;0;0;0;0;0
1262413933;-1.7502954;0;0;0;0;0;0;0;0;0;0
1262919858;-1.9430041;0;0;0;0;0;0;0;0;0;0
1263425766;-1.93645;0;0;0;0;0;0;0;0;0;0
1263931767;-1.9232163;0;0;0;0;0;0;0;0;0;0
1264438692;-1.895615;0;0;0;0;0;0;0;0;0;0
1264943948;-1.8600733;0;0;0;0;0;0;0;0;0;0
1265450300;-1.8971195;0;0;0;0;0;0;0;0;0;0
1265955785;-1.9282658;0;0;0;0;0;0;0;0;0;0
1266461765;-2.0174801;0;0;0;0;0;0;0;0;0;0
1266967766;-2.0380628;0;0;0;0;0;0;0;0;0;0
1267473961;-2.0693939;0;0;0;0;0;0;0;0;0;0
1267979766;-2.0076518;0;0;0;0;0;0;0;0;0;0
1268485765;-1.9182925;0;0;0;0;0;0;0;0;0;0
1268991765;-1.9561464;0;0;0;0;0;0;0;0;0;0
1269497766;-1.9843076;0;0;0;0;0;0;0;0;0;0
1270004778;-2.0209281;0;0;0;0;0;0;0;0;0;0
1270510765;-1.9975926;0;0;0;0;0;0;0;0;0;0
1271016774;-2.012925;0;0;0;0;0;0;0;0;0;0
1271524436;-2.0525134;0;0;0;0;0;0;0;0;0;0
1272029766;-2.0415776;0;0;0;0;0;0;0;0;0;0
1272535866;-2.0295796;0;0;0;0;0;0;0;0;0;0
1273041776;-2.0163453;0;0;0;0;0;0;0;0;0;0
1273547765;-1.9917512;0;0;0;0;0;0;0;0;0;0
1274053972;-1.9750654;0;0;0;0;0;0;0;0;0;0
1274559797;-2.106162;0;0;0;0;0;0;0;0;0;0
1275065765;-2.1007278;0;0;0;0;0;0;0;0;0;0
1275571781;-2.0642607;0;0;0;0;0;0;0;0;0;0
1276077786;-2.0443792;0;0;0;0;0;0;0;0;0;0
1276583904;-2.0398154;0;0;0;0;0;0;0;0;0;0
1277089763;-2.081824;0;0;0;0;0;0;0;0;0;0
1277595766;-2.112812;0;0;0;0;0;0;0;0;0;0
1278101765;-2.140315;0;0;0;0;0;0;0;0;0;0
1278609032;-2.1360397;0;0;0;0;0;0;0;0;0;0
1279114768;-2.0279043;0;0;0;0;0;0;0;0;0;0
1279620767;-2.036072;0;0;0;0;0;0;0;0;0;0
1280126819;-2.0456393;0;0;0;0;0;0;0;0;0;0
1280632767;-2.0584004;0;0;0;0;0;0;0;0;0;0
1281138766;-2.031282;0;0;0;0;0;0;0;0;0;0
1281644771;-2.0555549;0;0;0;0;0;0;0;0;0;0
1282150764;-2.0664628;0;0;0;0;0;0;0;0;0;0
1282656769;-2.1177716;0;0;0;0;0;0;0;0;0;0
1283162766;-2.1057158;0;0;0;0;0;0;0;0;0;0
1283668785;-2.0683334;0;0;0;0;0;0;0;0;0;0
1284175293;-2.0630364;0;0;0;0;0;0;0;0;0;0
1284680784;-2.1028597;0;0;0;0;0;0;0;0;0;0
1285187091;-2.1757488;0;0;0;0;0;0;0;0;0;0
1285692802;-2.1458654;0;0;0;0;0;0;0;0;0;0
1286198766;-2.1497486;0;0;0;0;0;0;0;0;0;0
1286705765;-2.1045427;0;0;0;0;0;0;0;0;0;0
1287211766;-2.1109283;0;0;0;0;0;0;0;0;0;0
1287717767;-2.079669;0;0;0;0;0;0;0;0;0;0
1288224537;-2.117262;0;0;0;0;0;0;0;0;0;0
1288729783;-2.1091726;0;0;0;0;0;0;0;0;0;0
1289235785;-2.0653331;0;0;0;0;0;0;0;0;0;0
1289742112;-2.1111243;0;0;0;0;0;0;0;0;0;0
1290247766;-2.1361465;0;0;0;0;0;0;0;0;0;0
1290753903;-2.1789708;0;0;0;0;0;0;0;0;0;0
1291259766;-2.1929312;0;0;0;0;0;0;0;0;0;0
1291765764;-2.226868;0;0;0;0;0;0;0;0;0;0
1292271766;-2.2960122;0;0;0;0;0;0;0;0;0;0
1292777767;-2.285685;0;0;0;0;0;0;0;0;0;0
1293283928;-2.2345738;0;0;0;0;0;0;0;0;0;0
1293789766;-2.112584;0;0;0;0;0;0;0;0;0;0
1294295866;-2.0752084;0;0;0;0;0;0;0;0;0;0
1294801766;-2.1717265;0;0;0;0;0;0;0;0;0;0
1295307784;-2.1940274;0;0;0;0;0;0;0;0;0;0
1295813903;-2.241521;0;0;0;0;0;0;0;0;0;0
