timestamp;timestamp_last_signal;rssi;rssi_dbm;rc_lost_frame_count;rc_total_frame_count;rc_ppm_frame_length;values[0];values[1];values[2];values[3];values[4];values[5];values[6];values[7];values[8];values[9];values[10];values[11];values[12];values[13];values[14];values[15];values[16];values[17];channel_count;rc_failsafe;rc_lost;input_source;link_quality
1251306237;1251305675;41;nan;0;25581;0;1495;1496;1084;1898;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1251823597;1251823036;41;nan;0;25639;0;1495;1497;1084;1488;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1252318498;1252317939;41;nan;0;25694;0;1495;1497;1084;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1252820364;1252819805;41;nan;0;25750;0;1495;1497;1235;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1253308275;1253307715;41;nan;0;25804;0;1495;1496;1268;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1253803173;1253802613;41;nan;0;25859;0;1495;1497;1280;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1254320583;1254320020;41;nan;0;25916;0;1495;1497;1322;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1254815492;1254814933;41;nan;0;25971;0;1495;1497;1336;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1255310385;1255309826;41;nan;0;26026;0;1495;1497;1328;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1255805309;1255804748;41;nan;0;26081;0;1495;1497;1326;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1256300128;1256299562;41;nan;0;26136;0;1495;1497;1334;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1256817546;1256816986;41;nan;0;26194;0;1495;1497;1348;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1257312397;1257311838;41;nan;0;26249;0;1495;1497;1321;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1257807299;1257806739;41;nan;0;26304;0;1495;1496;1333;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1258302209;1258301650;41;nan;0;26359;0;1495;1497;1338;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1258819641;1258819082;41;nan;0;26416;0;1495;1497;1336;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1259314487;1259313917;41;nan;0;26471;0;1495;1497;1343;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1259809382;1259808822;41;nan;0;26526;0;1495;1497;1342;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1260304264;1260303703;41;nan;0;26581;0;1495;1496;1336;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1260821638;1260821078;41;nan;0;26639;0;1495;1497;1336;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1261316589;1261316030;41;nan;0;26694;0;1495;1497;1337;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1261811416;1261810857;41;nan;0;26749;0;1495;1497;1344;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1262306305;1262305747;41;nan;0;26804;0;1495;1497;1343;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1262801219;1262800661;41;nan;0;26859;0;1495;1497;1333;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1263318684;1263318118;41;nan;0;26916;0;1495;1497;1344;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1263813653;1263812997;41;nan;0;26971;0;1495;1497;1339;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1264308384;1264307824;41;nan;0;27026;0;1495;1497;1338;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1264803288;1264802716;41;nan;0;27081;0;1495;1497;1338;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1265320660;1265320100;41;nan;0;27139;0;1495;1497;1338;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1265815628;1265815069;41;nan;0;27194;0;1495;1497;1338;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1266310441;1266309880;41;nan;0;27249;0;1495;1497;1338;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1266805332;1266804772;41;nan;0;27304;0;1495;1497;1338;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1267300227;1267299667;41;nan;0;27359;0;1495;1497;1338;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1267817700;1267817089;41;nan;0;27416;0;1495;1497;1338;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1268312528;1268311967;41;nan;0;27471;0;1495;1496;1338;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1268807393;1268806834;41;nan;0;27526;0;1495;1496;1339;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1269302316;1269301757;41;nan;0;27581;0;1495;1496;1339;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1269819683;1269819122;41;nan;0;27639;0;1495;1497;1339;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1270314571;1270314009;41;nan;0;27694;0;1495;1496;1339;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1270809472;1270808912;41;nan;0;27749;0;1495;1496;1339;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
1271304353;1271303792;41;nan;0;27804;0;1495;1497;1339;1490;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
