timestamp;timestamp_sample;switch_changes;mode_slot;arm_switch;return_switch;loiter_switch;offboard_switch;kill_switch;termination_switch;gear_switch;transition_switch;photo_switch;video_switch;engage_main_motor_switch;payload_power_switch
1250136915;1250113407;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1251149224;1251125746;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1252161515;1252137965;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1253173762;1253150323;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1254186066;1254162552;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1255198314;1255174853;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1256210655;1256187081;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1257222872;1257199375;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1258235176;1258211670;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1259247507;1259223933;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1260259725;1260236195;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1261271994;1261248496;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1262284344;1262260759;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1263296548;1263273122;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1264309179;1264285336;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1265321116;1265297620;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1266333405;1266309880;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1267345673;1267322177;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1268357968;1268334439;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1269370229;1269346777;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1270382524;1270358994;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1271394884;1271371272;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1272407094;1272383638;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1273419411;1273395833;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1274431628;1274408107;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1275443902;1275420418;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1276456195;1276432671;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1277468486;1277444943;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1278480728;1278457214;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1279493063;1279469493;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1280505279;1280481779;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1281517647;1281494042;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1282529862;1282506349;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1283542144;1283518598;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1284554406;1284530937;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1285566650;1285543144;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1286578981;1286555441;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1287591277;1287567695;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1288603473;1288579975;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1289615840;1289592238;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1290628047;1290604511;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1291640300;1291616791;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1292652572;1292629057;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1293664943;1293641330;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1294677105;1294653672;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1295689763;1295665865;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1296701644;1296678135;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1297713968;1297690422;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1298726226;1298702682;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1299738518;1299714995;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1300750712;1300727274;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1301763026;1301739472;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1302775314;1302751740;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1303787516;1303764009;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1304799814;1304776268;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1305812051;1305788538;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1306824407;1306800799;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1307836592;1307813097;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1308848909;1308825330;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1309861100;1309837596;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1310873385;1310849862;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1311885632;1311862141;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1312897958;1312874375;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1313910183;1313886686;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1314922434;1314898908;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1315934689;1315911249;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1316946991;1316923418;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1317959184;1317935772;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1318971507;1318947939;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1319983700;1319960232;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1320996050;1320972452;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1322008283;1321984724;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1323020571;1322996969;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1324032747;1324009247;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1325045048;1325021482;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1326057251;1326033735;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1327069898;1327045991;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1328081756;1328058255;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1329094007;1329070511;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1330106281;1330082754;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1331118547;1331095011;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1332130801;1332107261;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1333143054;1333119523;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1334155359;1334131782;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1335167543;1335144024;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1336179790;1336156259;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1337192027;1337168593;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1338204282;1338180852;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1339216610;1339193016;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1340228930;1340205258;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1341241017;1341217673;5;0;0;0;0;0;3;0;0;0;0;0;0;0
1342253293;1342229763;5;0;0;0;0;0;3;0;0;0;0;0;0;0
