timestamp;timestamp_sample;device_id;magnetometer_ga[0];magnetometer_ga[1];magnetometer_ga[2];calibration_count
1289205493;1289204519;396809;-0.2497994;-0.09594302;-0.22154008;5
1289781848;1289727581;396809;-0.25241587;-0.098942265;-0.22511065;5
1290251689;1290250714;396809;-0.25209665;-0.10247099;-0.22111157;5
1290699899;1290698924;396809;-0.25121608;-0.09713036;-0.22733723;5
1291297276;1291296301;396809;-0.25276506;-0.094021626;-0.22742425;5
1291745853;1291744878;396809;-0.24857962;-0.09876184;-0.22835886;5
1292194097;1292193123;396809;-0.25235033;-0.103375524;-0.23009844;5
1292791679;1292790623;396809;-0.2486738;-0.09947459;-0.22782573;5
1293240368;1293239385;396809;-0.25221878;-0.09884844;-0.22753567;5
1293688475;1293687501;396809;-0.25399846;-0.09704477;-0.22590289;5
1294286180;1294285205;396809;-0.2540265;-0.099905536;-0.22822481;5
1294734767;1294733792;396809;-0.25408328;-0.09680392;-0.22459579;5
1295182937;1295181962;396809;-0.25011924;-0.09469953;-0.2276719;5
1295780331;1295779356;396809;-0.25384393;-0.08572211;-0.21726872;5
1296228986;1296228011;396809;-0.2559995;-0.088396505;-0.22641163;5
1296677343;1296676302;396809;-0.2580473;-0.091712244;-0.22615495;5
1297274922;1297273947;396809;-0.24926245;-0.09452735;-0.22706077;5
1297723513;1297722538;396809;-0.25074524;-0.093566656;-0.23000285;5
1298171771;1298170795;396809;-0.24934727;-0.0942865;-0.22575366;5
1298769137;1298768140;396809;-0.25128222;-0.09498232;-0.22448216;5
1299217767;1299216792;396809;-0.2495543;-0.09761917;-0.22623536;5
1299793943;1299739588;396809;-0.2510042;-0.09986;-0.22690853;5
1300263525;1300262519;396809;-0.25022706;-0.10125424;-0.2324362;5
1300712100;1300711123;396809;-0.2535277;-0.10067713;-0.22393322;5
1301288291;1301233963;396809;-0.24985787;-0.101167694;-0.22568803;5
1301757629;1301756654;396809;-0.25117797;-0.10213916;-0.23251422;5
1302206237;1302205248;396809;-0.25022277;-0.09636586;-0.22791275;5
1302782432;1302728092;396809;-0.25205493;-0.09740943;-0.22638176;5
1303251769;1303250732;396809;-0.2526335;-0.08949454;-0.22486147;5
1303700457;1303699462;396809;-0.25583494;-0.092139475;-0.22064108;5
1304297830;1304296854;396809;-0.2546109;-0.097265996;-0.21830112;5
1304746086;1304745103;396809;-0.24971458;-0.09618387;-0.22284718;5
1305194776;1305193800;396809;-0.24972826;-0.10202583;-0.2281446;5
1305792281;1305791306;396809;-0.25161144;-0.10188849;-0.22675267;5
1306240484;1306239487;396809;-0.24783573;-0.10120958;-0.22876255;5
1306689082;1306688092;396809;-0.2501566;-0.098513894;-0.23076782;5
1307286652;1307285677;396809;-0.24974263;-0.099044636;-0.22516912;5
1307734810;1307733832;396809;-0.24759564;-0.098950945;-0.22970837;5
1308183426;1308182451;396809;-0.24884343;-0.098992884;-0.22521153;5
1308780795;1308779821;396809;-0.24936092;-0.100128464;-0.23105107;5
1309229030;1309228055;396809;-0.24963409;-0.10131309;-0.22867772;5
1309677593;1309676618;396809;-0.2506792;-0.10291075;-0.22822261;5
1310275170;1310274195;396809;-0.2456887;-0.10111589;-0.2333018;5
1310723326;1310722351;396809;-0.24791121;-0.10001515;-0.22668147;5
1311172124;1311171149;396809;-0.24700698;-0.10389817;-0.23047334;5
1311769575;1311768601;396809;-0.25018036;-0.10368234;-0.22393101;5
1312217706;1312216727;396809;-0.24983177;-0.10369216;-0.22838545;5
1312794327;1312739896;396809;-0.24697712;-0.10381952;-0.23078005;5
1313263794;1313262815;396809;-0.24951619;-0.102627955;-0.23141235;5
1313712160;1313711185;396809;-0.24983177;-0.10369216;-0.22838545;5
1314288705;1314234285;396809;-0.24839744;-0.10304066;-0.22900227;5
1314758086;1314757110;396809;-0.24793923;-0.10287591;-0.2290034;5
1315206279;1315205304;396809;-0.24564204;-0.103544;-0.22479662;5
1315782892;1315728408;396809;-0.2520541;-0.10046392;-0.22546159;5
1316252262;1316251233;396809;-0.24785441;-0.103116766;-0.2303105;5
1316700455;1316699479;396809;-0.24848041;-0.10198389;-0.23264144;5
1317298287;1317297300;396809;-0.25074533;-0.10076272;-0.22536756;5
1317746437;1317745462;396809;-0.24636656;-0.108012244;-0.23111787;5
1318194585;1318193592;396809;-0.248382;-0.103578836;-0.22401583;5
1318792532;1318791540;396809;-0.24891388;-0.10173323;-0.22687991;5
1319240704;1319239729;396809;-0.24610779;-0.103846416;-0.23051575;5
1319689022;1319688047;396809;-0.24713421;-0.103536904;-0.22851267;5
1320287040;1320286065;396809;-0.24751085;-0.10638785;-0.22638018;5
1320735285;1320734310;396809;-0.2472988;-0.10698998;-0.22964793;5
1321183354;1321182379;396809;-0.24510005;-0.10606313;-0.23406677;5
1321781305;1321780330;396809;-0.24874854;-0.1071033;-0.23401755;5
1322229417;1322228443;396809;-0.24690348;-0.102231845;-0.23023248;5
1322677561;1322676585;396809;-0.2464183;-0.1088454;-0.2312383;5
1323275586;1323274611;396809;-0.25029323;-0.10630226;-0.22494584;5
1323723787;1323722793;396809;-0.24844745;-0.11025396;-0.22943367;5
1324172152;1324171176;396809;-0.24804273;-0.10454224;-0.22924425;5
1324770056;1324769061;396809;-0.24813259;-0.10036661;-0.22418769;5
1325218177;1325217202;396809;-0.2498979;-0.10154413;-0.22553039;5
1325794665;1325740170;396809;-0.24848847;-0.10103684;-0.22975624;5
1326264142;1326263167;396809;-0.24403122;-0.10649307;-0.23672338;5
1326712288;1326711300;396809;-0.24799603;-0.09977429;-0.22537436;5
1327288914;1327234402;396809;-0.24769351;-0.103466146;-0.23079342;5
1327758351;1327757353;396809;-0.24554285;-0.106766045;-0.2290792;5
1328206555;1328205579;396809;-0.250345;-0.10713543;-0.22506627;5
1328783246;1328728750;396809;-0.24907058;-0.10706153;-0.22797644;5
1329252701;1329251725;396809;-0.24850845;-0.10484466;-0.23496337;5
1329700813;1329699834;396809;-0.25187522;-0.10211953;-0.22360533;5
1330277425;1330222945;396809;-0.24436572;-0.106523395;-0.23248678;5
1330746839;1330745864;396809;-0.24575922;-0.11105229;-0.23033488;5
1331194936;1331193961;396809;-0.24460554;-0.11172308;-0.2342986;5
1331792680;1331791705;396809;-0.24853227;-0.11001311;-0.22812657;5
1332240991;1332240016;396809;-0.24759999;-0.11103538;-0.22959651;5
1332689031;1332688056;396809;-0.24763307;-0.10996136;-0.22816898;5
