timestamp;defer_failsafes_timeout_s;disable_auto_disarm;defer_failsafes;source_type;source_id
1249080788;0;0;0;0;0
1249586756;0;0;0;0;0
1250092770;0;0;0;0;0
1250599757;0;0;0;0;0
1251104790;0;0;0;0;0
1251611459;0;0;0;0;0
1252117050;0;0;0;0;0
1252622760;0;0;0;0;0
1253128849;0;0;0;0;0
1253634758;0;0;0;0;0
1254140777;0;0;0;0;0
1254646775;0;0;0;0;0
1255152757;0;0;0;0;0
1255658756;0;0;0;0;0
1256164853;0;0;0;0;0
1256670756;0;0;0;0;0
1257176776;0;0;0;0;0
1257683756;0;0;0;0;0
1258189765;0;0;0;0;0
1258695757;0;0;0;0;0
1259201755;0;0;0;0;0
1259707756;0;0;0;0;0
1260213757;0;0;0;0;0
1260719760;0;0;0;0;0
1261225819;0;0;0;0;0
1261731785;0;0;0;0;0
1262238037;0;0;0;0;0
1262743767;0;0;0;0;0
1263250320;0;0;0;0;0
1263755765;0;0;0;0;0
1264261757;0;0;0;0;0
1264767818;0;0;0;0;0
1265273755;0;0;0;0;0
1265779757;0;0;0;0;0
1266285756;0;0;0;0;0
1266791769;0;0;0;0;0
1267297776;0;0;0;0;0
1267803756;0;0;0;0;0
1268309756;0;0;0;0;0
1268815831;0;0;0;0;0
1269321776;0;0;0;0;0
1269827769;0;0;0;0;0
1270334757;0;0;0;0;0
1270840758;0;0;0;0;0
1271346768;0;0;0;0;0
1271853756;0;0;0;0;0
1272359755;0;0;0;0;0
1272865839;0;0;0;0;0
1273371757;0;0;0;0;0
1273877845;0;0;0;0;0
1274383777;0;0;0;0;0
1274889756;0;0;0;0;0
1275395756;0;0;0;0;0
1275901757;0;0;0;0;0
1276407811;0;0;0;0;0
1276913758;0;0;0;0;0
1277419772;0;0;0;0;0
1277925758;0;0;0;0;0
1278432778;0;0;0;0;0
1278938757;0;0;0;0;0
1279444768;0;0;0;0;0
1279950768;0;0;0;0;0
1280456758;0;0;0;0;0
1280962834;0;0;0;0;0
1281469287;0;0;0;0;0
1281974905;0;0;0;0;0
1282480757;0;0;0;0;0
1282987306;0;0;0;0;0
1283492776;0;0;0;0;0
1283998755;0;0;0;0;0
1284504790;0;0;0;0;0
1285010777;0;0;0;0;0
1285516878;0;0;0;0;0
1286022851;0;0;0;0;0
1286528757;0;0;0;0;0
1287035756;0;0;0;0;0
1287541756;0;0;0;0;0
1288047761;0;0;0;0;0
1288553756;0;0;0;0;0
1289059764;0;0;0;0;0
1289565756;0;0;0;0;0
1290071756;0;0;0;0;0
1290577755;0;0;0;0;0
1291083756;0;0;0;0;0
1291589763;0;0;0;0;0
1292095760;0;0;0;0;0
1292602382;0;0;0;0;0
1293107757;0;0;0;0;0
1293614036;0;0;0;0;0
1294119759;0;0;0;0;0
1294625978;0;0;0;0;0
1295131758;0;0;0;0;0
1295637776;0;0;0;0;0
1296143784;0;0;0;0;0
1296649756;0;0;0;0;0
1297156757;0;0;0;0;0
1297663043;0;0;0;0;0
1298168755;0;0;0;0;0
1298675012;0;0;0;0;0
1299180758;0;0;0;0;0
1299686756;0;0;0;0;0
1300192757;0;0;0;0;0
1300699755;0;0;0;0;0
1301205756;0;0;0;0;0
1301712117;0;0;0;0;0
1302217856;0;0;0;0;0
1302723756;0;0;0;0;0
1303229758;0;0;0;0;0
1303735756;0;0;0;0;0
1304241757;0;0;0;0;0
1304747768;0;0;0;0;0
1305253968;0;0;0;0;0
1305761299;0;0;0;0;0
1306266756;0;0;0;0;0
1306772756;0;0;0;0;0
1307278822;0;0;0;0;0
1307784808;0;0;0;0;0
1308290758;0;0;0;0;0
1308796755;0;0;0;0;0
1309302868;0;0;0;0;0
1309808789;0;0;0;0;0
1310314782;0;0;0;0;0
1310820833;0;0;0;0;0
1311326757;0;0;0;0;0
1311832848;0;0;0;0;0
1312338757;0;0;0;0;0
1312844776;0;0;0;0;0
1313350776;0;0;0;0;0
1313857776;0;0;0;0;0
1314363773;0;0;0;0;0
1314870757;0;0;0;0;0
1315376812;0;0;0;0;0
1315882754;0;0;0;0;0
1316388756;0;0;0;0;0
1316894757;0;0;0;0;0
1317400757;0;0;0;0;0
1317906756;0;0;0;0;0
1318412783;0;0;0;0;0
1318918768;0;0;0;0;0
1319424851;0;0;0;0;0
1319930933;0;0;0;0;0
1320436928;0;0;0;0;0
1320942756;0;0;0;0;0
1321449277;0;0;0;0;0
1321954777;0;0;0;0;0
1322461285;0;0;0;0;0
1322966757;0;0;0;0;0
1323472826;0;0;0;0;0
1323978755;0;0;0;0;0
1324484757;0;0;0;0;0
1324990755;0;0;0;0;0
1325496756;0;0;0;0;0
1326002755;0;0;0;0;0
1326508757;0;0;0;0;0
