timestamp;freefall;ground_contact;maybe_landed;landed;in_ground_effect;in_descend;has_low_throttle;vertical_movement;horizontal_movement;rotational_movement;close_to_ground_or_skipped_check;at_rest
1250207466;0;1;1;1;0;0;1;0;0;0;1;1
1251215552;0;1;1;1;0;0;1;0;0;0;1;1
1252223053;0;1;1;1;0;0;1;0;0;0;1;1
1252555964;0;1;0;0;0;0;1;0;0;0;1;0
1253230823;0;0;0;0;0;0;0;0;0;1;1;0
1254238717;0;0;0;0;0;0;0;0;0;0;1;0
1255246402;0;0;0;0;0;0;0;0;0;0;1;0
1256254198;0;0;0;0;0;0;0;0;0;0;1;0
1257261944;0;0;0;0;0;0;0;0;0;0;1;0
1258269709;0;0;0;0;0;0;0;0;0;0;1;0
1259277550;0;0;0;0;0;0;0;0;0;0;1;0
1260285275;0;0;0;0;0;0;0;0;0;0;1;0
1261293236;0;0;0;0;0;0;0;0;0;0;1;0
1262300837;0;0;0;0;0;0;0;0;0;0;1;0
1263308640;0;0;0;0;0;0;0;0;0;0;1;0
1264316464;0;0;0;0;0;0;0;0;0;0;1;0
1265324297;0;0;0;0;0;0;0;0;0;0;1;0
1266332037;0;0;0;0;0;0;0;0;0;0;1;0
1267340014;0;0;0;0;0;0;0;0;0;0;1;0
1268347514;0;0;0;0;0;0;0;0;0;0;1;0
1269355525;0;0;0;0;0;0;0;0;0;0;1;0
1270363147;0;0;0;0;0;0;0;0;0;0;1;0
1271371235;0;0;0;0;0;0;0;0;0;0;1;0
1272378625;0;0;0;0;0;0;0;0;0;0;1;0
1273386727;0;0;0;0;0;0;0;0;0;0;1;0
1274394229;0;0;0;0;0;0;0;0;0;0;1;0
1275402297;0;0;0;0;0;0;0;0;0;0;1;0
1276409830;0;0;0;0;0;0;0;0;0;0;1;0
1277417816;0;0;0;0;0;0;0;0;0;0;1;0
1278425279;0;0;0;0;0;0;0;0;0;0;1;0
1279433112;0;0;0;0;0;0;0;0;0;0;1;0
1280440943;0;0;0;0;0;0;0;0;0;0;1;0
1281448682;0;0;0;0;0;0;0;0;0;0;1;0
1282456424;0;0;0;0;0;0;0;0;0;0;1;0
1283464195;0;0;0;0;0;0;0;0;0;0;1;0
1284472015;0;0;0;0;0;0;0;0;0;0;1;0
1285479740;0;0;0;0;0;0;0;0;0;0;1;0
1286487623;0;0;0;0;0;0;0;0;0;0;1;0
1287495270;0;0;0;0;0;0;0;0;0;0;1;0
1288503078;0;0;0;0;0;0;0;0;0;0;1;0
1289510919;0;0;0;0;0;0;0;0;0;0;1;0
1290518663;0;0;0;0;0;0;0;0;0;0;1;0
1291526436;0;0;0;0;0;0;0;0;0;0;1;0
1292534217;0;0;0;0;0;0;0;0;0;0;1;0
1293541982;0;0;0;0;0;0;0;0;0;0;1;0
1294549688;0;0;0;0;0;0;0;0;0;0;1;0
