timestamp;data_rate;rate_multiplier;tx_rate_avg;tx_error_rate_avg;tx_message_count;tx_buffer_overruns;rx_rate_avg;rx_message_count;rx_message_lost_count;rx_buffer_overruns;rx_parse_errors;rx_packet_drop_count;rx_message_lost_rate;type;mode;flow_control;forwarding;mavlink_v2;ftp;streams;heartbeat_type_antenna_tracker;heartbeat_type_gcs;heartbeat_type_onboard_controller;heartbeat_type_gimbal;heartbeat_type_adsb;heartbeat_type_camera;heartbeat_type_parachute;heartbeat_type_open_drone_id;heartbeat_component_telemetry_radio;heartbeat_component_log;heartbeat_component_osd;heartbeat_component_vio;heartbeat_component_pairing_manager;heartbeat_component_udp_bridge;heartbeat_component_uart_bridge;open_drone_id_system_healthy;parachute_system_healthy
1251543888;1200.0;0.28181258;649.71875;0.0;26041;0;41.91734;2161;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1251783912;1200.0;0.28181258;649.71875;0.0;26048;0;41.91734;2161;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1253044845;1200.0;0.28181258;591.40857;0.0;26066;0;20.97902;2164;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1254295848;1200.0;0.28181258;590.4102;0.0;26083;0;41.958084;2166;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1255556886;1200.0;0.28181258;939.9389;0.0;26114;0;41.997272;2168;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1256557850;1200.0;0.28181258;626.3999;0.0;26128;0;41.959805;2170;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1256818173;1200.0;0.28181258;626.3999;0.0;26134;0;41.959805;2171;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1258077855;1200.0;0.28181258;570.47833;0.0;26153;0;41.59738;2173;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1259337820;1200.0;0.28181258;921.99915;0.0;26181;0;20.99998;2175;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1260591409;1200.0;0.28181258;627.3733;0.0;26198;0;41.958084;2177;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1261591867;1200.0;0.28181258;549.6314;0.0;26214;0;41.89568;2178;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1261851820;1200.0;0.28181258;549.6314;0.0;26229;0;41.89568;2180;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1263102820;1200.0;0.28181258;656.3265;0.0;26249;0;20.788622;2182;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1264352863;1200.0;0.28181258;608.4943;0.0;26266;0;41.965126;2183;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1265613870;1200.0;0.28181258;541.4553;0.0;26294;0;20.978895;2185;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1266615201;1200.0;0.28181258;881.0837;0.0;26311;0;41.956367;2187;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1266864819;1200.0;0.28181258;881.0837;0.0;26315;0;41.956367;2188;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1268124834;1200.0;0.28181258;566.3366;0.0;26334;0;20.79208;2190;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1269376978;1200.0;0.28181258;948.49603;0.0;26361;0;62.375;2192;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1270626821;1200.0;0.28181258;577.8685;0.0;26381;0;20.958961;2193;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1271627175;1200.0;0.28181258;638.9713;0.0;26396;0;20.999056;2195;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1271886862;1200.0;0.28181258;638.9713;0.0;26402;0;20.999056;2196;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1273137824;1200.0;0.28181258;850.1507;0.0;26428;0;20.979042;2198;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1274389855;1200.0;0.28181258;594.78253;0.0;26446;0;20.957102;2200;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1275642841;1200.0;0.28181258;589.848;0.0;26466;0;62.8772;2202;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1276642843;1200.0;0.28181258;969.9873;0.0;26491;0;20.978098;2203;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1276892833;1200.0;0.28181258;969.9873;0.0;26496;0;20.978098;2204;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1278155481;1200.0;0.28181258;619.41156;0.0;26514;0;62.94021;2207;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1279407821;1200.0;0.28181258;603.1814;0.0;26533;0;20.936874;2208;0;0;0;0;0.0;0;0;1;1;1;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
