timestamp;nav_state;failure
1250639414;15;0
1251179371;15;0
1251683284;15;0
1252187261;15;0
1252691616;15;0
1253203998;15;0
1253707908;15;0
1254211732;15;0
1254715639;15;0
1255228670;15;0
1255732343;15;0
1256236275;15;0
1256749255;15;0
1257298012;15;0
1257810970;15;0
1258314729;15;0
1258819149;15;0
1259322580;15;0
1259835441;15;0
1260339321;15;0
1260843302;15;0
1261347277;15;0
1261860067;15;0
1262363849;15;0
1262867899;15;0
1263371939;15;0
1263884646;15;0
1264388778;15;0
1264937500;15;0
1265450341;15;0
1265955825;15;0
1266458050;15;0
1266962457;15;0
1267474003;15;0
1267979806;15;0
1268482541;15;0
1268986526;15;0
1269497806;15;0
1270004818;15;0
1270507128;15;0
1271011079;15;0
1271524479;15;0
1272029808;15;0
1272531706;15;0
1273041821;15;0
1273547805;15;0
1274052311;15;0
1274556310;15;0
1275060297;15;0
1275571847;15;0
1276077885;15;0
1276580943;15;0
1277085183;15;0
1277595806;15;0
1278101805;15;0
1278605344;15;0
1279109350;15;0
1279620807;15;0
1280126859;15;0
1280630206;15;0
1281134006;15;0
1281644813;15;0
1282150851;15;0
1282654654;15;0
1283158485;15;0
1283669033;15;0
1284175334;15;0
1284679087;15;0
1285182987;15;0
1285692842;15;0
1286198806;15;0
1286703513;15;0
1287207803;15;0
1287717807;15;0
1288224578;15;0
1288728093;15;0
1289232010;15;0
1289742153;15;0
1290247834;15;0
1290752614;15;0
1291257242;15;0
1291760367;15;0
1292271807;15;0
1292777827;15;0
1293281166;15;0
1293785231;15;0
1294295906;15;0
1294801834;15;0
1295305676;15;0
1295809571;15;0
1296319946;15;0
1296826369;15;0
1297330161;15;0
1297833999;15;0
1298345073;15;0
1298850877;15;0
1299354819;15;0
1299858767;15;0
1300368819;15;0
1300876074;15;0
1301379243;15;0
1301883146;15;0
1302394028;15;0
1302900282;15;0
1303403978;15;0
1303907598;15;0
1304418045;15;0
1304924414;15;0
1305428421;15;0
1305932508;15;0
1306442808;15;0
1306949144;15;0
1307453249;15;0
1307956664;15;0
1308466993;15;0
1308972847;15;0
1309477770;15;0
1309981238;15;0
1310485146;15;0
1310996977;15;0
1311502948;15;0
1312005897;15;0
1312509637;15;0
1313020894;15;0
1313528122;15;0
1314030546;15;0
1314534324;15;0
1315047094;15;0
1315552850;15;0
1316054733;15;0
1316564946;15;0
1317070853;15;0
1317575558;15;0
1318079598;15;0
1318583186;15;0
1319094844;15;0
1319600827;15;0
1320103902;15;0
1320608749;15;0
1321118967;15;0
1321624848;15;0
1322128281;15;0
1322632201;15;0
1323142850;15;0
1323649302;15;0
1324152889;15;0
1324656753;15;0
1325166820;15;0
1325672829;15;0
1326177389;15;0
1326681357;15;0
1327191830;15;0
1327698286;15;0
1328201944;15;0
1328705797;15;0
1329217473;15;0
1329723046;15;0
1330226832;15;0
1330730254;15;0
1331240810;15;0
1331747221;15;0
1332250843;15;0
1332755006;15;0
1333264834;15;0
1333770832;15;0
1334275592;15;0
1334779272;15;0
1335283562;15;0
1335794805;15;0
1336300929;15;0
1336803751;15;0
1337307636;15;0
1337818877;15;0
1338324836;15;0
1338828349;15;0
1339332112;15;0
1339842865;15;0
1340348998;15;0
1340853038;15;0
1341356700;15;0
1341866806;15;0
1342373621;15;0
1342877348;15;0
1343381218;15;0
1343892827;15;0
1344398886;15;0
1344902463;15;0
1345405657;15;0
1345916861;15;0
1346422851;15;0
1346926262;15;0
1347430529;15;0
1347940956;15;0
1348446941;15;0
1348950814;15;0
1349454578;15;0
1349964807;15;0
1350471435;15;0
1350975272;15;0
1351479146;15;0
1351983248;15;0
1352494835;15;0
1353000808;15;0
1353503675;15;0
1354007778;15;0
1354520849;15;0
1355026833;15;0
1355528094;15;0
1356038906;15;0
1356545218;15;0
1357048910;15;0
1357552612;15;0
1358063517;15;0
1358569362;15;0
1359073305;15;0
1359577371;15;0
1360086806;15;0
1360592943;15;0
1361097966;15;0
1361601470;15;0
1362105461;15;0
1362617008;15;0
1363122998;15;0
1363626002;15;0
1364129893;15;0
1364640809;15;0
1365146804;15;0
1365650459;15;0
1366154367;15;0
1366664809;15;0
1367171210;15;0
1367675357;15;0
1368178904;15;0
1368688833;15;0
1369194825;15;0
1369699468;15;0
1370203207;15;0
1370713833;15;0
1371220116;15;0
1371724070;15;0
1372227701;15;0
1372737827;15;0
1373243858;15;0
1373748817;15;0
1374252844;15;0
1374756163;15;0
1375267885;15;0
1375773869;15;0
1376276601;15;0
1376780681;15;0
1377291806;15;0
1377797807;15;0
1378301144;15;0
1378805596;15;0
1379315959;15;0
1379821890;15;0
1380325552;15;0
1380829555;15;0
1381339847;15;0
1381846369;15;0
1382350109;15;0
1382854062;15;0
1383363826;15;0
1383869806;15;0
1384374508;15;0
1384878462;15;0
1385388833;15;0
1385895208;15;0
1386398966;15;0
1386902921;15;0
1387412960;15;0
1387918890;15;0
1388423646;15;0
1388927808;15;0
1389431215;15;0
1389943013;15;0
1390448994;15;0
1390951880;15;0
1391455609;15;0
1391966807;15;0
1392472977;15;0
1392976394;15;0
1393480272;15;0
1393990983;15;0
1394497065;15;0
1395000808;15;0
1395504507;15;0
1396014841;15;0
1396521506;15;0
1397025149;15;0
1397528983;15;0
1398038816;15;0
1398544831;15;0
1399049970;15;0
1399553405;15;0
1400057436;15;0
1400570265;15;0
1401076882;15;0
1401577892;15;0
1402088919;15;0
1402594843;15;0
1403098894;15;0
1403602844;15;0
1404113821;15;0
1404619868;15;0
1405123061;15;0
1405626999;15;0
1406137839;15;0
1406643805;15;0
1407147555;15;0
1407651258;15;0
1408161837;15;0
1408668068;15;0
1409171889;15;0
1409675614;15;0
1410185807;15;0
1410692365;15;0
1411196457;15;0
1411700091;15;0
1412204241;15;0
1412715808;15;0
1413221841;15;0
1413724563;15;0
1414234830;15;0
1414741594;15;0
1415245171;15;0
1415749008;15;0
1416259455;15;0
1416764805;15;0
1417269844;15;0
1417773768;15;0
1418277323;15;0
1418790207;15;0
1419295854;15;0
1419797908;15;0
1420307807;15;0
1420813865;15;0
1421318999;15;0
1421822308;15;0
1422326297;15;0
1422837826;15;0
1423344367;15;0
1423846769;15;0
1424350596;15;0
1424861807;15;0
1425368848;15;0
1425871233;15;0
1426375028;15;0
1426886895;15;0
1427392971;15;0
1427896303;15;0
1428399601;15;0
1428910833;15;0
1429416808;15;0
1429920078;15;0
1430423909;15;0
1430934877;15;0
1431441011;15;0
1431944574;15;0
1432448991;15;0
1432961347;15;0
1433466819;15;0
1433969012;15;0
1434478852;15;0
1434984805;15;0
1435489620;15;0
1435993305;15;0
1436497200;15;0
1437008839;15;0
1437514882;15;0
1438017950;15;0
1438521667;15;0
1439034586;15;0
1439539978;15;0
1440042181;15;0
1440546159;15;0
1441057872;15;0
1441564008;15;0
1442066937;15;0
1442570480;15;0
1443081851;15;0
1443588806;15;0
1444091102;15;0
1444601043;15;0
1445106827;15;0
1445611677;15;0
1446134113;15;0
1446637345;15;0
