timestamp;io_errors;frames_tx;frames_rx;interface
1250791823;36120;35486;0;0
1250893871;36123;35490;0;0
1250995866;36127;35490;0;0
1251098333;36127;35490;0;0
1251199874;36127;35490;0;0
1251301810;36127;35490;0;0
1251404815;36127;35493;0;0
1251505817;36130;35493;0;0
1251607811;36130;35493;0;0
1251710256;36131;35505;0;0
1251811808;36142;35505;0;0
1251913846;36142;35508;0;0
1252016344;36145;35508;0;0
1252117816;36145;35508;0;0
1252219817;36145;35508;0;0
1252322111;36145;35510;0;0
1252423879;36147;35511;0;0
1252525821;36148;35511;0;0
1252628019;36149;35511;0;0
1252729808;36149;35523;0;0
1252831808;36160;35525;0;0
1252933945;36162;35526;0;0
1253035808;36163;35526;0;0
1253137810;36163;35526;0;0
1253240036;36163;35526;0;0
1253341808;36163;35528;0;0
1253443809;36165;35529;0;0
1253545809;36166;35529;0;0
1253647813;36167;35529;0;0
1253750143;36167;35541;0;0
1253851809;36178;35543;0;0
1253953809;36180;35544;0;0
1254055809;36181;35544;0;0
1254157810;36181;35544;0;0
1254259809;36181;35544;0;0
1254361823;36181;35546;0;0
1254463809;36183;35547;0;0
1254565822;36184;35547;0;0
1254668001;36185;35557;0;0
1254769820;36195;35559;0;0
1254871808;36196;35562;0;0
1254973809;36199;35562;0;0
1255075937;36199;35562;0;0
1255177812;36199;35562;0;0
1255279811;36199;35562;0;0
1255381810;36199;35565;0;0
1255483808;36202;35565;0;0
1255585809;36202;35565;0;0
1255687843;36203;35577;0;0
1255789810;36214;35577;0;0
1255891810;36214;35580;0;0
1255993809;36217;35580;0;0
1256095808;36217;35580;0;0
1256197809;36217;35580;0;0
1256299811;36217;35580;0;0
1256402046;36217;35583;0;0
1256503809;36220;35583;0;0
1256605808;36220;35583;0;0
1256707817;36221;35595;0;0
1256809809;36232;35595;0;0
1256911808;36232;35598;0;0
1257013855;36235;35598;0;0
1257115812;36235;35598;0;0
1257217814;36235;35598;0;0
1257319814;36235;35598;0;0
1257421834;36235;35601;0;0
1257523829;36238;35601;0;0
1257625808;36239;35601;0;0
1257728259;36239;35613;0;0
1257829833;36250;35613;0;0
1257932015;36250;35616;0;0
1258033818;36253;35616;0;0
1258135876;36253;35616;0;0
1258237923;36253;35616;0;0
1258339810;36253;35616;0;0
1258441809;36253;35619;0;0
1258543896;36256;35619;0;0
1258645808;36257;35619;0;0
1258747811;36257;35631;0;0
1258849848;36268;35631;0;0
1258951809;36268;35633;0;0
1259054219;36270;35634;0;0
1259155809;36271;35634;0;0
1259257811;36271;35634;0;0
1259359810;36271;35634;0;0
1259461808;36271;35636;0;0
1259563808;36273;35637;0;0
1259665809;36275;35637;0;0
1259767814;36275;35649;0;0
1259869822;36286;35649;0;0
1259971809;36286;35652;0;0
1260073817;36289;35652;0;0
1260175814;36289;35652;0;0
1260277809;36289;35652;0;0
1260379823;36289;35652;0;0
1260481812;36289;35655;0;0
1260583808;36292;35655;0;0
1260685809;36293;35667;0;0
1260787817;36304;35667;0;0
1260889810;36304;35667;0;0
1260991808;36304;35670;0;0
1261093809;36307;35670;0;0
1261195808;36307;35670;0;0
1261297810;36307;35670;0;0
1261399810;36307;35670;0;0
1261501812;36307;35673;0;0
1261603809;36310;35673;0;0
1261705809;36311;35685;0;0
1261807811;36322;35685;0;0
1261909811;36322;35685;0;0
1262011809;36322;35688;0;0
1262113808;36325;35688;0;0
1262215808;36325;35688;0;0
1262317813;36325;35688;0;0
1262419845;36325;35690;0;0
1262521811;36327;35691;0;0
1262623808;36329;35691;0;0
1262725809;36329;35703;0;0
1262827810;36340;35703;0;0
1262929834;36340;35703;0;0
1263031809;36340;35706;0;0
1263133808;36343;35706;0;0
1263235808;36343;35706;0;0
1263337811;36343;35706;0;0
1263439826;36343;35706;0;0
1263541820;36343;35709;0;0
1263643808;36347;35709;0;0
1263745809;36347;35721;0;0
1263847810;36358;35721;0;0
1263949810;36358;35721;0;0
1264051831;36358;35724;0;0
1264153808;36361;35724;0;0
1264255809;36361;35724;0;0
1264357811;36361;35724;0;0
1264459831;36361;35724;0;0
1264561808;36361;35727;0;0
1264663880;36365;35727;0;0
1264766346;36365;35739;0;0
1264867887;36376;35739;0;0
1264969856;36376;35742;0;0
1265072390;36379;35742;0;0
1265173808;36379;35742;0;0
1265275808;36379;35742;0;0
1265378431;36379;35742;0;0
1265479808;36379;35745;0;0
1265581809;36382;35745;0;0
1265684137;36383;35757;0;0
1265785808;36394;35757;0;0
1265887810;36394;35757;0;0
1265990363;36394;35760;0;0
1266091815;36397;35760;0;0
1266193820;36397;35760;0;0
1266296082;36397;35760;0;0
1266397810;36397;35760;0;0
1266499811;36397;35763;0;0
1266601986;36400;35763;0;0
1266703934;36401;35775;0;0
1266805823;36412;35775;0;0
1266907875;36412;35775;0;0
1267009809;36412;35778;0;0
1267111826;36415;35778;0;0
1267213926;36415;35778;0;0
1267315808;36415;35778;0;0
1267417814;36415;35778;0;0
1267519842;36415;35780;0;0
1267621809;36417;35781;0;0
1267723809;36419;35793;0;0
1267825809;36430;35793;0;0
1267927809;36430;35793;0;0
1268030281;36430;35795;0;0
1268131806;36432;35796;0;0
1268233809;36433;35796;0;0
1268335808;36433;35796;0;0
1268437812;36433;35796;0;0
1268539809;36433;35798;0;0
1268641807;36436;35799;0;0
1268743809;36437;35811;0;0
1268845808;36448;35811;0;0
1268947825;36448;35811;0;0
1269049814;36448;35813;0;0
1269151808;36450;35814;0;0
1269253807;36451;35814;0;0
1269356142;36451;35814;0;0
1269457810;36451;35814;0;0
1269559835;36451;35816;0;0
1269661808;36454;35817;0;0
1269763822;36455;35829;0;0
1269865807;36466;35829;0;0
1269967815;36466;35829;0;0
1270069833;36466;35832;0;0
1270171807;36469;35832;0;0
1270273816;36469;35832;0;0
1270375808;36469;35832;0;0
1270477811;36469;35832;0;0
1270579810;36469;35835;0;0
1270682476;36473;35847;0;0
1270783808;36484;35847;0;0
1270885809;36484;35847;0;0
1270987811;36484;35847;0;0
1271089810;36484;35850;0;0
1271191809;36487;35850;0;0
1271293831;36487;35850;0;0
1271395911;36487;35850;0;0
1271497831;36487;35850;0;0
1271600053;36487;35853;0;0
1271701845;36491;35865;0;0
1271803815;36502;35865;0;0
1271905943;36502;35865;0;0
1272007848;36502;35865;0;0
1272109810;36502;35868;0;0
1272211882;36505;35868;0;0
1272313811;36505;35868;0;0
1272415818;36505;35868;0;0
1272517874;36505;35868;0;0
1272619813;36505;35871;0;0
1272721809;36509;35883;0;0
1272823810;36520;35883;0;0
1272925809;36520;35883;0;0
1273028016;36520;35883;0;0
1273129813;36520;35886;0;0
1273231810;36523;35886;0;0
1273333808;36523;35886;0;0
1273435808;36523;35886;0;0
1273537809;36523;35886;0;0
1273639811;36524;35889;0;0
1273741830;36528;35901;0;0
1273843809;36539;35901;0;0
1273945811;36539;35901;0;0
1274047810;36539;35901;0;0
1274149814;36539;35904;0;0
1274251809;36542;35904;0;0
1274353809;36542;35904;0;0
1274455809;36542;35904;0;0
1274557810;36542;35904;0;0
1274659831;36543;35907;0;0
1274761808;36546;35919;0;0
1274863809;36557;35919;0;0
1274965809;36557;35919;0;0
1275067861;36557;35922;0;0
1275169855;36560;35922;0;0
1275271809;36560;35922;0;0
1275373843;36560;35922;0;0
1275475808;36560;35922;0;0
1275577816;36560;35922;0;0
1275679811;36561;35937;0;0
1275781808;36575;35937;0;0
1275883808;36575;35937;0;0
1275985808;36575;35937;0;0
1276087810;36575;35937;0;0
1276189811;36575;35940;0;0
1276291808;36578;35940;0;0
1276393809;36578;35940;0;0
1276495892;36578;35940;0;0
1276597831;36578;35940;0;0
1276699822;36579;35955;0;0
1276801808;36593;35955;0;0
1276903807;36593;35955;0;0
1277005809;36593;35955;0;0
1277107810;36593;35955;0;0
1277209809;36593;35958;0;0
1277311808;36596;35958;0;0
1277413809;36596;35958;0;0
1277515809;36596;35958;0;0
1277617879;36596;35960;0;0
1277719816;36599;35973;0;0
1277821810;36611;35973;0;0
1277923809;36611;35973;0;0
1278025808;36611;35973;0;0
1278127833;36611;35975;0;0
1278229826;36613;35976;0;0
1278332211;36614;35976;0;0
1278433828;36614;35976;0;0
1278535861;36614;35976;0;0
1278637810;36615;35978;0;0
1278740328;36617;35991;0;0
1278841811;36629;35991;0;0
1278943824;36629;35991;0;0
1279046260;36629;35991;0;0
1279147811;36629;35993;0;0
1279249809;36631;35994;0;0
1279352152;36632;35994;0;0
1279453809;36632;35994;0;0
1279555808;36632;35994;0;0
1279658536;36633;35994;0;0
1279759807;36633;36009;0;0
1279861808;36647;36009;0;0
1279964842;36647;36009;0;0
1280065830;36647;36009;0;0
1280167932;36647;36012;0;0
1280269957;36650;36012;0;0
1280371808;36650;36012;0;0
1280473815;36650;36012;0;0
1280575900;36650;36012;0;0
1280677815;36651;36027;0;0
1280779811;36665;36027;0;0
1280881836;36665;36027;0;0
1280984090;36665;36027;0;0
1281085809;36665;36027;0;0
1281187817;36665;36030;0;0
1281289810;36668;36030;0;0
1281391821;36668;36030;0;0
1281493837;36668;36030;0;0
1281595807;36668;36030;0;0
1281697826;36669;36045;0;0
1281799811;36683;36045;0;0
1281901809;36683;36045;0;0
1282003809;36683;36045;0;0
1282105808;36683;36045;0;0
1282207811;36683;36048;0;0
1282310242;36686;36048;0;0
1282411811;36686;36048;0;0
1282513807;36686;36048;0;0
1282615809;36686;36048;0;0
1282717814;36687;36063;0;0
1282819814;36701;36063;0;0
1282921811;36701;36063;0;0
1283023808;36701;36063;0;0
1283125820;36701;36063;0;0
1283227812;36701;36066;0;0
1283329811;36704;36066;0;0
1283431809;36704;36066;0;0
1283533807;36704;36066;0;0
1283635809;36705;36066;0;0
1283737809;36705;36081;0;0
1283839809;36719;36081;0;0
1283941808;36719;36081;0;0
1284043807;36719;36081;0;0
1284145807;36719;36081;0;0
1284247811;36719;36083;0;0
1284349810;36721;36084;0;0
1284451809;36722;36084;0;0
1284553809;36722;36084;0;0
1284655811;36723;36084;0;0
1284757835;36723;36098;0;0
1284859809;36736;36099;0;0
