timestamp;safe_points_id;is_evaluation_pending;has_vtol_approach;rtl_type;safe_point_index
1251737393;0;0;98;1;0
1253761882;0;0;98;1;0
1255786308;0;0;98;1;0
1257810966;0;0;98;1;0
1259835437;0;0;98;1;0
1261860064;0;0;98;1;0
1263884643;0;0;98;1;0
1265900195;0;0;98;1;0
1267924890;0;0;98;1;0
1269950015;0;0;98;1;0
1271974039;0;0;98;1;0
1273998451;0;0;98;1;0
1276022975;0;0;98;1;0
1278047522;0;0;98;1;0
1280072168;0;0;98;1;0
1282096552;0;0;98;1;0
1284121531;0;0;98;1;0
1286145769;0;0;98;1;0
1288170206;0;0;98;1;0
1290195081;0;0;98;1;0
1292219719;0;0;98;1;0
1294243972;0;0;98;1;0
1296268591;0;0;98;1;0
1298292996;0;0;98;1;0
1300317579;0;0;98;1;0
1302342083;0;0;98;1;0
1304366671;0;0;98;1;0
1306391136;0;0;98;1;0
1308416080;0;0;98;1;0
1310440130;0;0;98;1;0
1312464974;0;0;98;1;0
1314489233;0;0;98;1;0
1316513699;0;0;98;1;0
1318538353;0;0;98;1;0
1320562742;0;0;98;1;0
1322587531;0;0;98;1;0
1324611799;0;0;98;1;0
1326636273;0;0;98;1;0
1328660770;0;0;98;1;0
1330685310;0;0;98;1;0
1332710752;0;0;98;1;0
1334734355;0;0;98;1;0
1336758860;0;0;98;1;0
1338783263;0;0;98;1;0
1340807862;0;0;98;1;0
1342832306;0;0;98;1;0
1344856892;0;0;98;1;0
1346881699;0;0;98;1;0
1348905753;0;0;98;1;0
1350930258;0;0;98;1;0
1352945699;0;0;98;1;0
1354970576;0;0;98;1;0
1357003733;0;0;98;1;0
1359028234;0;0;98;1;0
1361043620;0;0;98;1;0
1363068216;0;0;98;1;0
1365092580;0;0;98;1;0
1367117065;0;0;98;1;0
1369141658;0;0;98;1;0
1371166047;0;0;98;1;0
1373190577;0;0;98;1;0
1375215021;0;0;98;1;0
1377239726;0;0;98;1;0
1379263999;0;0;98;1;0
1381288999;0;0;98;1;0
1383312860;0;0;98;1;0
1385337279;0;0;98;1;0
1387361757;0;0;98;1;0
1389386247;0;0;98;1;0
1391410625;0;0;98;1;0
1393435144;0;0;98;1;0
1395459547;0;0;98;1;0
1397484287;0;0;98;1;0
1399508518;0;0;98;1;0
1401532867;0;0;98;1;0
1403557348;0;0;98;1;0
1405582142;0;0;98;1;0
1407606284;0;0;98;1;0
1409630637;0;0;98;1;0
1411655191;0;0;98;1;0
1413679525;0;0;98;1;0
1415704015;0;0;98;1;0
1417728888;0;0;98;1;0
1419753126;0;0;98;1;0
1421777321;0;0;98;1;0
1423801834;0;0;98;1;0
1425826169;0;0;98;1;0
1427850687;0;0;98;1;0
1429875446;0;0;98;1;0
1431899586;0;0;98;1;0
1433923960;0;0;98;1;0
1435948359;0;0;98;1;0
1437972757;0;0;98;1;0
1439997428;0;0;98;1;0
1442021807;0;0;98;1;0
1444046301;0;0;98;1;0
1445929636;0;0;98;1;0
1446088721;0;0;98;1;0
