timestamp;accel_device_id_primary;accel_device_ids[0];accel_device_ids[1];accel_device_ids[2];accel_device_ids[3];accel_inconsistency_m_s_s[0];accel_inconsistency_m_s_s[1];accel_inconsistency_m_s_s[2];accel_inconsistency_m_s_s[3];gyro_device_id_primary;gyro_device_ids[0];gyro_device_ids[1];gyro_device_ids[2];gyro_device_ids[3];gyro_inconsistency_rad_s[0];gyro_inconsistency_rad_s[1];gyro_inconsistency_rad_s[2];gyro_inconsistency_rad_s[3];accel_healthy[0];accel_healthy[1];accel_healthy[2];accel_healthy[3];accel_priority[0];accel_priority[1];accel_priority[2];accel_priority[3];gyro_healthy[0];gyro_healthy[1];gyro_healthy[2];gyro_healthy[3];gyro_priority[0];gyro_priority[1];gyro_priority[2];gyro_priority[3]
1250836984;4259850;4259850;2490378;0;0;0.16394739;0.16394745;0.0;0.0;4325386;4325386;2490378;0;0;0.004812172;0.004812172;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1250841461;4259850;4259850;2490378;0;0;0.16347073;0.16347079;0.0;0.0;4325386;4325386;2490378;0;0;0.0049568955;0.0049568955;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1251039399;4259850;4259850;2490378;0;0;0.16455679;0.1645569;0.0;0.0;4325386;4325386;2490378;0;0;0.0046869963;0.0046869963;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1251237403;4259850;4259850;2490378;0;0;0.16317;0.16316992;0.0;0.0;4325386;4325386;2490378;0;0;0.004768012;0.004768012;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1251435312;4259850;4259850;2490378;0;0;0.17945443;0.17945439;0.0;0.0;4325386;4325386;2490378;0;0;0.0049903877;0.0049903877;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1251642320;4259850;4259850;2490378;0;0;0.17453189;0.17453194;0.0;0.0;4325386;4325386;2490378;0;0;0.0045893374;0.0045893374;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1251840205;4259850;4259850;2490378;0;0;0.16377676;0.16377668;0.0;0.0;4325386;4325386;2490378;0;0;0.004843207;0.0048432066;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1252038162;4259850;4259850;2490378;0;0;0.16887274;0.16887273;0.0;0.0;4325386;4325386;2490378;0;0;0.0048356294;0.0048356294;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1252240620;4259850;4259850;2490378;0;0;0.1648625;0.16486254;0.0;0.0;4325386;4325386;2490378;0;0;0.0047234884;0.004723488;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1252438623;4259850;4259850;2490378;0;0;0.16740635;0.16740635;0.0;0.0;4325386;4325386;2490378;0;0;0.004658705;0.0046587056;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1252636547;4259850;4259850;2490378;0;0;0.1624658;0.16246581;0.0;0.0;4325386;4325386;2490378;0;0;0.0049214084;0.004921409;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1252839016;4259850;4259850;2490378;0;0;0.19628677;0.19628674;0.0;0.0;4325386;4325386;2490378;0;0;0.005849721;0.0058497153;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1253041454;4259850;4259850;2490378;0;0;0.14753602;0.14753595;0.0;0.0;4325386;4325386;2490378;0;0;0.008468905;0.00846891;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1253239464;4259850;4259850;2490378;0;0;0.1480752;0.1480752;0.0;0.0;4325386;4325386;2490378;0;0;0.010159621;0.010159614;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1253437372;4259850;4259850;2490378;0;0;0.3090768;0.30907676;0.0;0.0;4325386;4325386;2490378;0;0;0.014283412;0.014283403;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1253639827;4259850;4259850;2490378;0;0;0.17279784;0.17279786;0.0;0.0;4325386;4325386;2490378;0;0;0.015395838;0.015395855;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1253837769;4259850;4259850;2490378;0;0;0.06421828;0.06421831;0.0;0.0;4325386;4325386;2490378;0;0;0.022158945;0.022158945;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1254035741;4259850;4259850;2490378;0;0;0.13248336;0.13248342;0.0;0.0;4325386;4325386;2490378;0;0;0.008164164;0.008164166;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1254238286;4259850;4259850;2490378;0;0;0.10133975;0.10133973;0.0;0.0;4325386;4325386;2490378;0;0;0.008520808;0.008520806;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1254440653;4259850;4259850;2490378;0;0;0.09335784;0.09335783;0.0;0.0;4325386;4325386;2490378;0;0;0.009277556;0.009277561;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1254638614;4259850;4259850;2490378;0;0;0.09662787;0.096627854;0.0;0.0;4325386;4325386;2490378;0;0;0.0044625956;0.0044625946;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
1254841003;4259850;4259850;2490378;0;0;0.06606945;0.06606943;0.0;0.0;4325386;4325386;2490378;0;0;0.009450305;0.009450305;0.0;0.0;1;1;0;0;50;50;0;0;1;1;0;0;50;50;0;0
