timestamp;timestamp_sample;device_id;x;y;z;temperature;error_count
1251470189;1251469244;396321;-0.19924241;-0.07575757;-0.33863634;nan;0
1252464179;1252463235;396321;-0.18560605;-0.090909086;-0.31439394;nan;0
1253458407;1253457463;396321;-0.32348484;-0.20454545;-0.27045453;nan;0
1254474457;1254473513;396321;-0.36287877;-0.15303029;-0.20757575;nan;0
1255468727;1255467783;396321;-0.3560606;-0.15378788;-0.20075756;nan;0
1256462697;1256461753;396321;-0.33787876;-0.15227272;-0.07575757;nan;0
1257478384;1257477440;396321;-0.34166667;-0.15833333;-0.12272727;nan;0
1258472468;1258471500;396321;-0.35075757;-0.14090909;-0.12196969;nan;0
1259466825;1259465881;396321;-0.33863634;-0.14848484;-0.07727273;nan;0
1260460977;1260460025;396321;-0.33863634;-0.1371212;-0.08030303;nan;0
1261476493;1261475550;396321;-0.35984847;-0.14393939;-0.18636364;nan;0
1262470546;1262469603;396321;-0.33181816;-0.15984848;-0.14696969;nan;0
1263464988;1263464044;396321;-0.34469697;-0.13257575;-0.08712121;nan;0
1264459269;1264458326;396321;-0.35378787;-0.14545454;-0.18636364;nan;0
1265474837;1265473893;396321;-0.33181816;-0.14621212;-0.09772727;nan;0
1266468759;1266467815;396321;-0.3409091;-0.1681818;-0.18712121;nan;0
1267462997;1267462050;396321;-0.34924242;-0.15075757;-0.175;nan;0
1268478897;1268477953;396321;-0.35;-0.1340909;-0.11363636;nan;0
1269472983;1269472039;396321;-0.35075757;-0.17348485;-0.25151515;nan;0
1270467420;1270466476;396321;-0.32651514;-0.15530303;-0.089393936;nan;0
1271461608;1271460648;396321;-0.32575756;-0.16287878;-0.090909086;nan;0
1272477581;1272476637;396321;-0.34545454;-0.17651515;-0.2530303;nan;0
1273471833;1273470889;396321;-0.35757574;-0.17045455;-0.22651514;nan;0
1274466166;1274465223;396321;-0.34242424;-0.16893938;-0.22348484;nan;0
1275460262;1275459318;396321;-0.3469697;-0.14696969;-0.11515151;nan;0
1276475865;1276474922;396321;-0.32954544;-0.15227272;-0.0840909;nan;0
1277469970;1277469026;396321;-0.34848484;-0.16742423;-0.23030302;nan;0
1278464074;1278463130;396321;-0.34469697;-0.15833333;-0.109848484;nan;0
1279457984;1279457040;396321;-0.35151514;-0.17348485;-0.23030302;nan;0
1280473661;1280472717;396321;-0.34469697;-0.1780303;-0.21136363;nan;0
1281467948;1281467004;396321;-0.3333333;-0.175;-0.16590908;nan;0
1282462255;1282461311;396321;-0.35530302;-0.16287878;-0.2090909;nan;0
1283456328;1283455384;396321;-0.33787876;-0.16363636;-0.14696969;nan;0
1284472334;1284471390;396321;-0.34015152;-0.14090909;-0.07575757;nan;0
1285466276;1285465332;396321;-0.3560606;-0.15757576;-0.21439393;nan;0
1286460466;1286459522;396321;-0.3469697;-0.17045455;-0.20984848;nan;0
1287476169;1287475225;396321;-0.35;-0.1590909;-0.23863636;nan;0
1288470413;1288469469;396321;-0.330303;-0.14696969;-0.050757576;nan;0
1289464470;1289463526;396321;-0.35;-0.14469697;-0.1280303;nan;0
1290458602;1290457658;396321;-0.34166667;-0.15833333;-0.16742423;nan;0
1291474163;1291473216;396321;-0.34469697;-0.16439393;-0.22878787;nan;0
1292468435;1292467491;396321;-0.32954544;-0.16287878;-0.07727273;nan;0
1293462717;1293461774;396321;-0.35075757;-0.1780303;-0.23863636;nan;0
1294456922;1294455978;396321;-0.3363636;-0.1780303;-0.18030302;nan;0
1295473189;1295472245;396321;-0.3371212;-0.1651515;-0.074999996;nan;0
1296467576;1296466632;396321;-0.35151514;-0.1621212;-0.21969697;nan;0
1297461824;1297460872;396321;-0.34848484;-0.15833333;-0.19242424;nan;0
1298456259;1298455255;396321;-0.34772727;-0.16439393;-0.23181817;nan;0
1299472130;1299471186;396321;-0.34924242;-0.175;-0.24393938;nan;0
1300466304;1300465360;396321;-0.325;-0.16590908;-0.11893939;nan;0
1301460734;1301459777;396321;-0.32954544;-0.15227272;-0.07878788;nan;0
1302476671;1302475727;396321;-0.34318182;-0.14621212;-0.1310606;nan;0
1303470582;1303469637;396321;-0.33257574;-0.16666666;-0.1780303;nan;0
1304464846;1304463902;396321;-0.34015152;-0.17045455;-0.2060606;nan;0
1305458739;1305457792;396321;-0.34545454;-0.17878787;-0.23939393;nan;0
1306474531;1306473587;396321;-0.3469697;-0.16060606;-0.13257575;nan;0
1307468545;1307467601;396321;-0.33484846;-0.15151514;-0.08257575;nan;0
1308462654;1308461711;396321;-0.32575756;-0.16060606;-0.09469697;nan;0
1309456834;1309455890;396321;-0.34318182;-0.15227272;-0.14848484;nan;0
1310472386;1310471443;396321;-0.3409091;-0.1780303;-0.24621211;nan;0
1311466407;1311465463;396321;-0.32575756;-0.14772727;-0.10151515;nan;0
1312460566;1312459617;396321;-0.33560604;-0.18181817;-0.19393939;nan;0
1313476181;1313475237;396321;-0.33484846;-0.15757576;-0.06363636;nan;0
1314470167;1314469213;396321;-0.3310606;-0.15303029;-0.07727273;nan;0
1315464359;1315463415;396321;-0.34621212;-0.15833333;-0.19242424;nan;0
1316458673;1316457729;396321;-0.3371212;-0.15303029;-0.12424242;nan;0
1317474667;1317473721;396321;-0.34242424;-0.18787879;-0.19924241;nan;0
1318469025;1318468081;396321;-0.34166667;-0.18939394;-0.22878787;nan;0
1319463326;1319462382;396321;-0.32575756;-0.16590908;-0.098484844;nan;0
1320457746;1320456802;396321;-0.3340909;-0.14848484;-0.071969695;nan;0
1321473728;1321472783;396321;-0.3439394;-0.16666666;-0.18030302;nan;0
1322468072;1322467128;396321;-0.325;-0.18181817;-0.16060606;nan;0
1323462083;1323461139;396321;-0.3340909;-0.18030302;-0.17954545;nan;0
1324477820;1324476859;396321;-0.35;-0.17878787;-0.26363635;nan;0
1325471564;1325470619;396321;-0.34848484;-0.16969696;-0.24242423;nan;0
1326465767;1326464823;396321;-0.34772727;-0.1681818;-0.17954545;nan;0
1327459943;1327458999;396321;-0.33181816;-0.17878787;-0.19772726;nan;0
1328475428;1328474484;396321;-0.34545454;-0.17878787;-0.23560606;nan;0
1329469609;1329468665;396321;-0.34924242;-0.17348485;-0.18712121;nan;0
1330463798;1330462854;396321;-0.34469697;-0.16590908;-0.20075756;nan;0
1331458052;1331457109;396321;-0.3189394;-0.17045455;-0.087878786;nan;0
1332474123;1332473178;396321;-0.33863634;-0.16060606;-0.16893938;nan;0
1333468296;1333467352;396321;-0.3371212;-0.14621212;-0.12272727;nan;0
1334462397;1334461453;396321;-0.33181816;-0.14242424;-0.089393936;nan;0
1335478318;1335477363;396321;-0.33560604;-0.1780303;-0.17954545;nan;0
1336472618;1336471672;396321;-0.34924242;-0.14924242;-0.2060606;nan;0
1337466790;1337465846;396321;-0.3280303;-0.16060606;-0.090909086;nan;0
1338460766;1338459823;396321;-0.33484846;-0.15984848;-0.0840909;nan;0
1339476613;1339475669;396321;-0.3310606;-0.1590909;-0.09469697;nan;0
1340470765;1340469821;396321;-0.3409091;-0.17575757;-0.22121212;nan;0
1341464659;1341463715;396321;-0.3340909;-0.17272727;-0.15530303;nan;0
1342459281;1342458337;396321;-0.32878786;-0.14848484;-0.098484844;nan;0
1343475352;1343474399;396321;-0.34545454;-0.17651515;-0.23560606;nan;0
1344469183;1344468240;396321;-0.34772727;-0.16893938;-0.22727272;nan;0
1345463227;1345462283;396321;-0.3310606;-0.18030302;-0.15757576;nan;0
