timestamp;rxerrors;fix;rssi;remote_rssi;txbuf;noise;remote_noise
1250641754;0;0;19;0;100;30;0
1250871598;0;0;19;0;100;26;0
1251791588;0;0;26;0;96;23;0
1252718603;0;0;31;0;100;28;0
1252954374;0;0;31;0;100;21;0
1253648975;0;0;32;0;100;25;0
1253866343;0;0;33;0;97;24;0
1254809702;0;0;35;0;81;21;0
1254862770;0;0;35;0;97;24;0
1255720771;0;0;35;0;100;23;0
1255953841;0;0;35;0;97;22;0
1256651754;0;0;35;0;100;24;0
1256871567;0;0;35;0;100;24;0
1257811268;0;0;35;0;100;29;0
1258723871;0;0;35;0;100;24;0
1258958034;0;0;35;0;100;22;0
1259653942;0;0;35;0;100;21;0
1259875879;0;0;35;0;100;30;0
1260809099;0;0;35;0;100;30;0
1261731942;0;0;35;0;92;22;0
1261801590;0;0;35;0;100;21;0
1262657718;0;0;35;0;99;24;0
1262888468;0;0;35;0;100;29;0
1263812752;0;0;35;0;100;25;0
1264735196;0;0;35;0;97;25;0
1264956223;0;0;35;0;100;19;0
1265655084;0;0;35;0;99;22;0
1265893753;0;0;35;0;100;29;0
1266819393;0;0;35;0;100;24;0
1267740948;0;0;35;0;100;27;0
1267972739;0;0;35;0;100;25;0
1268662447;0;0;35;0;100;25;0
1268905842;0;0;35;0;81;28;0
1269827445;0;0;35;0;100;25;0
1270749186;0;0;35;0;100;23;0
1270979296;0;0;35;0;100;29;0
1271669752;0;0;35;0;96;32;0
1271899839;0;0;35;0;97;36;0
1272836147;0;0;35;0;100;27;0
1273755522;0;0;35;0;100;29;0
1273971360;0;0;35;0;97;23;0
1274664372;0;0;35;0;100;31;0
1274902091;0;0;35;0;97;22;0
1275838956;0;0;35;0;100;23;0
1276758646;0;0;35;0;100;33;0
1276984369;0;0;35;0;100;25;0
1277676610;0;0;35;0;98;22;0
1277909131;0;0;35;0;100;24;0
1278843828;0;0;35;0;100;21;0
1279766134;0;0;35;0;100;29;0
1279987356;0;0;35;0;100;22;0
1280680754;0;0;35;0;97;22;0
1280920025;0;0;35;0;100;22;0
1281836426;0;0;35;0;97;23;0
1282767534;0;0;35;0;99;31;0
1282991059;0;0;35;0;100;32;0
1283684587;0;0;35;0;100;31;0
1283918634;0;0;35;0;97;29;0
1284846470;0;0;35;0;97;34;0
1285776983;0;0;35;0;99;38;0
1285997644;0;0;35;0;97;32;0
1286756053;0;0;35;0;100;33;0
1286918244;0;0;35;0;100;30;0
1287864446;0;0;35;0;98;37;0
1288777631;0;0;35;0;99;31;0
1289001752;0;0;35;0;100;23;0
1289701722;0;0;35;0;100;19;0
1289930689;0;0;35;0;100;20;0
