timestamp;timestamp_sample;switch_changes;mode_slot;arm_switch;return_switch;loiter_switch;offboard_switch;kill_switch;termination_switch;gear_switch;transition_switch;photo_switch;video_switch;engage_main_motor_switch;payload_power_switch
7865553443;7865529912;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7866565828;7866542400;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7867578175;7867554631;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7868590609;7868566996;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7869602864;7869579396;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7870615664;7870591727;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7871627616;7871604085;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7872639970;7872616443;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7873652342;7873628845;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7874664716;7874641168;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7875677072;7875653532;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7876689465;7876665901;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7877701869;7877678289;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7878714137;7878690626;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7879726506;7879703007;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7880738924;7880715359;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7881751238;7881727799;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7882763774;7882740075;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7883775956;7883752453;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7884788344;7884764825;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7885800690;7885777264;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7886813172;7886789527;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7887825404;7887801915;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7888837832;7888814244;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7889850122;7889826619;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7890862500;7890838970;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7891874855;7891851466;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7892887244;7892863690;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7893899560;7893876081;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7894912439;7894888406;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7895924279;7895900823;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7896936700;7896913122;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7897949007;7897925496;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7898961358;7898937868;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7899973720;7899950240;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7900986089;7900962548;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7901998601;7901974973;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7903010940;7902987263;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7904023153;7903999631;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7905035605;7905011999;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7906047846;7906024340;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7907060268;7907036693;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7908072590;7908049042;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7909084931;7909061397;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7910097264;7910073759;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7911109660;7911086100;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7912121961;7912098457;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7913134354;7913110801;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7914146663;7914123157;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7915159012;7915135503;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7916171438;7916147858;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7917183716;7917160245;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7918196086;7918172559;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7919208431;7919184918;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7920220770;7920197252;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7921233143;7921209602;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7922245467;7922221951;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7923257836;7923234295;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7924270207;7924246657;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7925282512;7925258988;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7926294994;7926271337;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7927307190;7927283684;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7928319561;7928296025;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7929331881;7929308389;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7930344366;7930320712;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7931356569;7931333111;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7932369040;7932345450;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7933381243;7933357834;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7934393735;7934370076;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7935405960;7935382440;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7936418353;7936394776;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7937430635;7937407132;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7938443095;7938419441;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7939455284;7939431807;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7940467767;7940444116;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7941479994;7941456453;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7942492375;7942468797;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7943504680;7943481133;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7944516987;7944493462;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7945529327;7945505867;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7946541753;7946518131;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7947553984;7947530503;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7948566355;7948542806;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7949578692;7949555175;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7950591105;7950567476;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7951603315;7951579849;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7952615686;7952592139;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7953627976;7953604472;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7954640325;7954616802;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7955652660;7955629158;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7956665035;7956641459;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7957677300;7957653789;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7958689643;7958666121;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7959701968;7959678446;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7960714284;7960690780;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7961726666;7961703112;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7962738954;7962715435;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7963751289;7963727754;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7964763644;7964740091;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7965775953;7965752415;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7966788259;7966764750;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7967801290;7967777061;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7968812924;7968789447;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7969825287;7969801710;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7970837566;7970814087;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7971849975;7971826359;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7972862202;7972838781;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7973874633;7973851009;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7974886921;7974863428;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7975899200;7975875725;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7976911521;7976887984;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7977923831;7977900324;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7978936133;7978912715;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7979948560;7979924934;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7980960771;7980937292;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7981973130;7981949648;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7982985410;7982961979;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7983997847;7983974213;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7985010039;7984986614;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7986022468;7985998846;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7987034675;7987011273;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7988047111;7988023501;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7989059310;7989035824;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7990071664;7990048122;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7991083946;7991060441;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7992096599;7992072756;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7993108593;7993085064;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7994120911;7994097376;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7995133205;7995109703;1;0;0;0;0;0;3;0;0;0;0;0;0;0
7996145586;7996122016;1;0;0;0;0;0;3;0;0;0;0;0;0;0
