timestamp;timestamp_sample;time_last_fuse;device_id;observation[0];observation[1];observation[2];observation_variance[0];observation_variance[1];observation_variance[2];innovation[0];innovation[1];innovation[2];innovation_filtered[0];innovation_filtered[1];innovation_filtered[2];innovation_variance[0];innovation_variance[1];innovation_variance[2];test_ratio[0];test_ratio[1];test_ratio[2];test_ratio_filtered[0];test_ratio_filtered[1];test_ratio_filtered[2];estimator_instance;innovation_rejected;fused
7866689211;7866514707;7866517337;0;-0.014254753;-0.1481157;-0.22350517;0.0025000002;0.0025000002;0.0025000002;0.006088577;-0.007028699;-0.015167356;0.0063613765;-0.0038849795;-0.0077883266;0.0025070626;0.002508527;0.0025090456;0.0016429484;0.002190058;0.010170757;0.002882188;-0.0009202362;-0.004617809;0;0;1
7867139181;7866962942;7866967276;0;-0.015548505;-0.1545527;-0.23578641;0.0025000002;0.0025000002;0.0025000002;0.0072763897;-0.0005837232;-0.0025741458;0.008614118;-0.004992149;-0.010950155;0.0025069937;0.0025084456;0.002508982;0.0023465843;1.52779e-05;0.0002920664;0.004042733;-0.0015467185;-0.007892567;0;0;1
7867661095;7867485951;7867489253;0;-0.021135103;-0.14936736;-0.22415179;0.0025000002;0.0025000002;0.0025000002;0.01289662;-0.006016642;-0.013616338;0.0116392365;-0.005990323;-0.013758195;0.0025069267;0.0025083353;0.002508924;0.0073717;0.0016069611;0.008191147;0.0068850396;-0.0018022303;-0.009620061;0;0;1
7868182936;7868009063;7868011135;0;-0.016602956;-0.15710394;-0.23610526;0.0025000002;0.0025000002;0.0025000002;0.008512493;0.0013873726;-0.00091362;0.011026194;-0.005340277;-0.013190173;0.00250693;0.0025082391;0.0025088934;0.0032116547;8.47263e-05;3.6579902e-05;0.005919224;-0.0017592919;-0.009592975;0;0;1
7868632968;7868457296;7868461074;0;-0.03944647;-0.16097575;-0.2100716;0.0025000002;0.0025000002;0.0025000002;0.019250147;0.0057989657;-0.02980712;0.012198754;-0.0018242315;-0.013048921;0.0025138657;0.0025091618;0.0025159253;0.016378855;0.0014697727;0.039089892;0.007261214;-0.00062921003;-0.010633645;0;0;1
7869154912;7868980290;7868983003;0;-0.21517095;-0.0452079;-0.11126579;0.0025000002;0.0025000002;0.0025000002;0.05123198;-0.03982449;-0.1392992;0.02916841;-0.019076588;-0.07457504;0.002796032;0.002551422;0.0025811517;0.10430321;0.076596364;0.7947632;0.04548729;-0.029334554;-0.36130896;0;0;1
7869676815;7869503429;7869504932;0;-0.2128004;-0.04111921;-0.11680965;0.0025000002;0.0025000002;0.0025000002;0.041516025;-0.031059615;-0.12529044;0.0374892;-0.02720563;-0.105351016;0.0026473415;0.0025395167;0.0025500741;0.072340086;0.045087814;0.6698786;0.0640619;-0.039107513;-0.55167776;0;0;1
7870126716;7869951646;7869954871;0;-0.20920365;-0.040912196;-0.1169793;0.0025000002;0.0025000002;0.0025000002;0.03857181;-0.028285876;-0.119627535;0.039210744;-0.02855508;-0.11290089;0.0025964626;0.0025310009;0.002539071;0.063667156;0.0367589;0.6183142;0.067374274;-0.038724005;-0.5878025;0;0;1
7870648654;7870474818;7870476801;0;-0.20889108;-0.041636385;-0.12164303;0.0025000002;0.0025000002;0.0025000002;0.040127974;-0.025075212;-0.11009871;0.03966916;-0.02677801;-0.11134956;0.002567978;0.0025259673;0.0025319767;0.069672376;0.028718494;0.5268829;0.06831726;-0.032747995;-0.5546712;0;0;1
7871170528;7870997856;7870998777;0;-0.21038021;-0.03984089;-0.123722285;0.0025000002;0.0025000002;0.0025000002;0.039712604;-0.02135985;-0.10228151;0.039314944;-0.024412077;-0.10766924;0.002554964;0.0025243033;0.0025282993;0.068585046;0.02081039;0.45623142;0.06713169;-0.026852585;-0.51356155;0;0;1
7871620489;7871446391;7871448717;0;-0.21167473;-0.04465078;-0.12309532;0.0025000002;0.0025000002;0.0025000002;0.041851267;-0.01752929;-0.098360285;0.03952775;-0.02184274;-0.104325764;0.0025460366;0.002521759;0.002524981;0.07643814;0.014028443;0.42288494;0.06805135;-0.021543268;-0.48093304;0;0;1
7872142388;7871969313;7871970599;0;-0.20797366;-0.043433234;-0.12364902;0.0025000002;0.0025000002;0.0025000002;0.03640645;-0.01569543;-0.09289221;0.038521156;-0.018967325;-0.09783416;0.0025401865;0.0025208497;0.002522869;0.057976045;0.011180485;0.37807378;0.064845085;-0.016298996;-0.42343143;0;0;1
7872673369;7872492552;7872501527;0;-0.2084453;-0.046341125;-0.12035847;0.0025000002;0.0025000002;0.0025000002;0.035594497;-0.01346717;-0.08998719;0.0373736;-0.016369332;-0.09624742;0.002535574;0.002519315;0.0025206325;0.055519678;0.008215358;0.35539213;0.061176553;-0.01227467;-0.40912896;0;0;1
7873195359;7873015606;7873023504;0;-0.20793238;-0.057990097;-0.12453898;0.0025000002;0.0025000002;0.0025000002;0.037740007;-0.012219988;-0.080221914;0.036633942;-0.013534069;-0.09091567;0.0025306107;0.0025169116;0.002517553;0.062536865;0.006728286;0.28283626;0.058934633;-0.008589762;-0.36589193;0;0;1
7873636193;7873463897;7873464397;0;-0.21055774;-0.06178516;-0.12305435;0.0025000002;0.0025000002;0.0025000002;0.037711423;-0.009322219;-0.07682907;0.037121672;-0.011108583;-0.08465658;0.0025291909;0.0025165763;0.0025166594;0.062477227;0.003927406;0.25955912;0.06054753;-0.0059414334;-0.3183365;0;0;1
7874167152;7873986988;7873995326;0;-0.21842624;-0.04273479;-0.11483538;0.0025000002;0.0025000002;0.0025000002;0.028684804;-0.0049023367;-0.07504469;0.035893593;-0.008551833;-0.076674365;0.0025333788;0.002519645;0.0025196779;0.03608786;0.0011203791;0.24750195;0.057007566;-0.0040580267;-0.26280951;0;0;1
7874689099;7874509887;7874517255;0;-0.21422526;-0.045885682;-0.11448003;0.0025000002;0.0025000002;0.0025000002;0.034706004;-0.0059000067;-0.08188163;0.03346964;-0.011156954;-0.08207067;0.0025256476;0.0025183253;0.0025169079;0.052990004;0.0015982346;0.2950947;0.04955703;-0.0066676666;-0.29953742;0;0;1
7875130061;7874958188;7874958243;0;-0.20868765;-0.043576714;-0.12415831;0.0025000002;0.0025000002;0.0025000002;0.032850202;-0.002557654;-0.074961886;0.03324902;-0.0066729113;-0.079138696;0.002522974;0.0025185996;0.0025165302;0.04752486;0.00031334875;0.24738282;0.04880359;-0.0031811842;-0.27785933;0;0;1
7875660974;7875481317;7875489124;0;-0.19099636;-0.07319117;-0.1405047;0.0025000002;0.0025000002;0.0025000002;0.029507391;0.00817325;-0.063134015;0.03199736;-0.00020145788;-0.072863325;0.0025190045;0.002517137;0.0025152757;0.038405214;0.0028789383;0.17564818;0.045258205;-0.00048029804;-0.23671784;0;0;1
7876182873;7876004233;7876011053;0;-0.18585691;-0.14115047;-0.12181946;0.0025000002;0.0025000002;0.0025000002;0.010648109;0.02091273;-0.035924174;0.02352466;0.01216414;-0.056960627;0.002535166;0.0025129414;0.0025178578;0.0049693095;0.019248059;0.05685621;0.027188921;0.010693699;-0.15252204;0;0;1
7876632917;7876452448;7876460993;0;-0.04547903;-0.18568175;-0.20558062;0.0025000002;0.0025000002;0.0025000002;-0.014434215;0.050373197;-0.014405578;0.008457264;0.028071277;-0.039800737;0.0025210194;0.0025135195;0.0025102247;0.009182641;0.112399556;0.009243096;0.010423479;0.048346113;-0.08880821;0;0;1
7877154788;7876975563;7876982969;0;-0.035576228;-0.21877967;-0.1884404;0.0025000002;0.0025000002;0.0025000002;-0.029504621;0.05013451;-0.003217727;-0.013311755;0.041393794;-0.021693511;0.0025389392;0.0025109581;0.0025133006;0.038096517;0.11166484;0.00048394487;-0.015383997;0.0857231;-0.037165187;0;0;1
7877676675;7877498509;7877504852;0;-0.041950226;-0.21586788;-0.18216531;0.0025000002;0.0025000002;0.0025000002;-0.026797432;0.047603562;-0.0080221;-0.023228021;0.046229307;-0.01333002;0.002538644;0.0025108466;0.0025139395;0.03142983;0.10065541;0.0028962307;-0.02916207;0.09895505;-0.015960248;0;0;1
7878126616;7877946833;7877954791;0;-0.0653516;-0.20941603;-0.17536823;0.0025000002;0.0025000002;0.0025000002;-0.013136599;0.04375425;-0.012692913;-0.020815868;0.045087684;-0.011653666;0.0025276344;0.0025096852;0.0025122075;0.0075859358;0.08490852;0.0071804733;-0.022033187;0.091997094;-0.009671039;0;0;1
7878648566;7878469851;7878476721;0;-0.1702192;-0.16252208;-0.12511426;0.0025000002;0.0025000002;0.0025000002;0.011262745;0.026776925;-0.0257435;-0.006758206;0.037590742;-0.018777365;0.0025315776;0.0025111844;0.0025179407;0.00556743;0.031617206;0.02920167;-0.0077590263;0.065782145;-0.01883443;0;0;1
7879170591;7878992816;7878998650;0;-0.13747859;-0.15694603;-0.16200298;0.0025000002;0.0025000002;0.0025000002;0.019906176;0.023318484;-0.030400202;0.008937045;0.026019687;-0.026464906;0.0025120638;0.002511244;0.0025096387;0.017526794;0.023991223;0.04086625;0.0066426983;0.035013985;-0.034059457;0;0;1
7879692474;7879516030;7879520579;0;-0.20516773;-0.0681059;-0.12566224;0.0025000002;0.0025000002;0.0025000002;0.03611514;0.0042621344;-0.061452687;0.020069715;0.01844151;-0.039571006;0.0025163994;0.0025153786;0.0025136236;0.05759125;0.00077154377;0.1665225;0.023755101;0.020110874;-0.07750281;0;0;1
7880142430;7879964314;7879970518;0;-0.17161508;-0.028072484;-0.15200734;0.0025000002;0.0025000002;0.0025000002;0.027330806;-0.004925456;-0.0646583;0.027798032;0.007380697;-0.050120294;0.0025149495;0.0025174182;0.0025111618;0.033001456;0.0010803561;0.18461297;0.039251994;0.008584122;-0.11893363;0;0;1
7880664323;7880487412;7880492495;0;-0.21539018;0.06585497;-0.093549654;0.0025000002;0.0025000002;0.0025000002;0.039177515;-0.04307134;-0.09409331;0.03489146;-0.019613743;-0.07380666;0.0025277499;0.0025219903;0.0025115304;0.0674679;0.0818333;0.39096943;0.057015426;-0.034850013;-0.26045877;0;0;1
7881186219;7881010538;7881014376;0;-0.21850215;0.07548254;-0.082767665;0.0025000002;0.0025000002;0.0025000002;0.0370116;-0.045206483;-0.09727834;0.036628816;-0.03424828;-0.08580789;0.0025274234;0.0025217445;0.002511534;0.060222007;0.09012704;0.41811156;0.06041701;-0.06423957;-0.3371562;0;0;1
7881636182;7881458738;7881464316;0;-0.21974419;0.06268267;-0.09029317;0.0025000002;0.0025000002;0.0025000002;0.040020443;-0.037763603;-0.09244205;0.03775348;-0.03699978;-0.08817686;0.0025256632;0.0025213142;0.0025107018;0.07046052;0.06286087;0.37761495;0.063393876;-0.066072404;-0.34930372;0;0;1
7882158145;7881981604;7881986245;0;-0.2148754;0.06705849;-0.09519475;0.0025000002;0.0025000002;0.0025000002;0.037148997;-0.036969356;-0.08879035;0.037502456;-0.037176244;-0.088285744;0.0025239212;0.0025208006;0.0025106724;0.060754143;0.060248688;0.34840584;0.06219547;-0.063107885;-0.3470397;0;0;1
7882680081;7882504871;7882508174;0;-0.2213686;0.066985816;-0.088299125;0.0025000002;0.0025000002;0.0025000002;0.0389019;-0.03496467;-0.089651376;0.03740895;-0.03556215;-0.087315746;0.0025231426;0.0025203181;0.0025106836;0.066643424;0.053889647;0.3552309;0.06178517;-0.056661304;-0.33833414;0;0;1
7883129973;7882953073;7882958113;0;-0.19257869;0.06240657;-0.11844817;0.0025000002;0.0025000002;0.0025000002;0.030694485;-0.029858217;-0.08037332;0.03490111;-0.032650165;-0.085524455;0.0025206155;0.00251998;0.0025100124;0.041530926;0.039290287;0.28553393;0.05430794;-0.04777628;-0.32483947;0;0;1
7883651914;7883475937;7883480042;0;-0.21147208;0.06520547;-0.10051431;0.0025000002;0.0025000002;0.0025000002;0.03533837;-0.0303443;-0.082906395;0.035195503;-0.03314087;-0.086352736;0.0025209053;0.0025196106;0.0025101826;0.055041965;0.040578406;0.30385557;0.054883193;-0.048842866;-0.330788;0;0;1
