timestamp;timestamp_sample;gps_hvel[0];gps_hvel[1];gps_vvel;gps_hpos[0];gps_hpos[1];gps_vpos;ev_hvel[0];ev_hvel[1];ev_vvel;ev_hpos[0];ev_hpos[1];ev_vpos;rng_vpos;baro_vpos;aux_hvel[0];aux_hvel[1];flow[0];flow[1];heading;mag_field[0];mag_field[1];mag_field[2];gravity[0];gravity[1];gravity[2];drag[0];drag[1];airspeed;beta;hagl;hagl_rate
7866617604;7866428757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.10958099;0.0;0.0;0.0;0.0;0.016398132;0.016398132;-0.006984696;-0.01743421;-0.0005605817;0.0005606711;-0.0008534193;0.0;0.0;0.0;0.0;0.0;0.0
7867122223;7866933496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0044436455;0.0;0.0;0.0;0.0;0.0122241005;0.0122241005;-0.008399934;-0.016260877;-0.011900544;0.0044771135;-0.014787793;0.0;0.0;0.0;0.0;0.0;0.0
7867616896;7867428338;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.08244133;0.0;0.0;0.0;0.0;0.018173493;0.018173493;-0.0062098354;-0.01653409;0.004360795;0.0001142323;0.0044359565;0.0;0.0;0.0;0.0;0.0;0.0
7868121642;7867933077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.20842266;0.0;0.0;0.0;0.0;0.013035189;0.013035189;-0.010209024;-0.022127226;0.009196579;0.001792103;0.0085424185;0.0;0.0;0.0;0.0;0.0;0.0
7868616475;7868427920;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.025930405;0.0;0.0;0.0;0.0;0.011830933;0.011830933;0.0034218729;-0.010235727;-0.06393683;0.04570216;-0.08626592;0.0;0.0;0.0;0.0;0.0;0.0
7869121245;7868932659;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09563875;0.0;0.0;0.0;0.0;0.047313806;0.047313806;-0.044013537;-0.14031143;0.09659585;-0.015859783;-0.0024736524;0.0;0.0;0.0;0.0;0.0;0.0
7869616121;7869427501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17201042;0.0;0.0;0.0;0.0;0.03719579;0.03719579;-0.031027164;-0.12170318;-0.0021478366;0.040701874;-0.00013613701;0.0;0.0;0.0;0.0;0.0;0.0
7870120773;7869932242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0074806213;0.0;0.0;0.0;0.0;0.039528884;0.039528884;-0.028557118;-0.11462557;-0.015693447;0.071261555;-0.0013925433;0.0;0.0;0.0;0.0;0.0;0.0
7870615638;7870427083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.039618492;0.0;0.0;0.0;0.0;0.03624749;0.03624749;-0.02292338;-0.10293423;0.008556233;0.0044591557;-0.00013697147;0.0;0.0;0.0;0.0;0.0;0.0
7871120891;7870931823;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.08013487;0.0;0.0;0.0;0.0;0.035443425;0.035443425;-0.021737851;-0.099415764;0.007232288;-0.048867717;-0.0022104383;0.0;0.0;0.0;0.0;0.0;0.0
7871615137;7871426665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.112370014;0.0;0.0;0.0;0.0;0.03652096;0.03652096;-0.019623794;-0.094627514;-0.043278743;0.025801431;-0.0005052686;0.0;0.0;0.0;0.0;0.0;0.0
7872119922;7871931405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.047982693;0.0;0.0;0.0;0.0;0.033787005;0.033787005;-0.016665623;-0.08603038;-0.0038457103;-0.011010162;-1.1563301e-05;0.0;0.0;0.0;0.0;0.0;0.0
7872614961;7872426247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.19132805;0.0;0.0;0.0;0.0;0.034492765;0.034492765;-0.016312916;-0.0876839;-0.007734606;0.055254474;0.0004733801;0.0;0.0;0.0;0.0;0.0;0.0
7873119629;7872930987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.09041214;0.0;0.0;0.0;0.0;0.033898346;0.033898346;-0.013390239;-0.08401222;0.064963706;0.005561037;-0.0034194589;0.0;0.0;0.0;0.0;0.0;0.0
7873614301;7873425829;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.25550413;0.0;0.0;0.0;0.0;0.03481687;0.03481687;-0.009136025;-0.07715146;-0.016908973;-0.13300404;-0.0017107129;0.0;0.0;0.0;0.0;0.0;0.0
7874119051;7873930569;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.00057792664;0.0;0.0;0.0;0.0;0.031288084;0.031288084;-0.00074734166;-0.074365385;-0.12290807;-0.14103734;-0.00916326;0.0;0.0;0.0;0.0;0.0;0.0
7874613885;7874425412;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011217117;0.0;0.0;0.0;0.0;0.030624773;0.030624773;-0.013787039;-0.08474074;-0.07240919;-0.013760967;0.0076376796;0.0;0.0;0.0;0.0;0.0;0.0
7875118670;7874930151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1955409;0.0;0.0;0.0;0.0;0.029826526;0.029826526;-0.003051918;-0.07633953;0.007955376;-0.051846255;-0.003931999;0.0;0.0;0.0;0.0;0.0;0.0
7875623428;7875434891;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1922121;0.0;0.0;0.0;0.0;0.027586846;0.027586846;0.006619882;-0.061835796;-0.023435347;-0.015345618;-0.0013446808;0.0;0.0;0.0;0.0;0.0;0.0
7876118464;7875929733;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.25871658;0.0;0.0;0.0;0.0;0.021140076;0.011709255;0.021140076;-0.039923027;0.021975428;0.048489932;-0.0060136914;0.0;0.0;0.0;0.0;0.0;0.0
7876622946;7876434473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.16784286;0.0;0.0;0.0;0.0;0.048810527;-0.0126118185;0.048810527;-0.0068224072;-0.122475326;0.051048122;-0.032034278;0.0;0.0;0.0;0.0;0.0;0.0
7877117790;7876929316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.14972353;0.0;0.0;0.0;0.0;0.045923874;-0.03139978;0.045923874;-0.008023888;-0.04784096;0.037625037;-0.0009048581;0.0;0.0;0.0;0.0;0.0;0.0
7877622812;7877434055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.012272358;0.0;0.0;0.0;0.0;0.046353966;-0.031215467;0.046353966;-0.008270413;0.031377323;0.013438234;-0.0028645396;0.0;0.0;0.0;0.0;0.0;0.0
7878117749;7877928898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.038408756;0.0;0.0;0.0;0.0;0.039750054;-0.019638103;0.039750054;-0.008544385;-0.0038407096;0.06086544;-0.0044729114;0.0;0.0;0.0;0.0;0.0;0.0
7878622108;7878433638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.17060423;0.0;0.0;0.0;0.0;0.026332468;0.0025716566;0.026332468;-0.023404926;0.0010554492;0.017685106;-0.00041145086;0.0;0.0;0.0;0.0;0.0;0.0
7879116986;7878928480;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.3289008;0.0;0.0;0.0;0.0;0.020098835;0.016237209;0.020098835;-0.021996796;-0.06864263;0.078030586;-0.019983768;0.0;0.0;0.0;0.0;0.0;0.0
7879621731;7879433220;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.20308256;0.0;0.0;0.0;0.0;0.027243722;0.027243722;0.013565272;-0.044077158;0.045645565;-0.010681517;-0.005979717;0.0;0.0;0.0;0.0;0.0;0.0
7880116574;7879928062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.17554235;0.0;0.0;0.0;0.0;0.028314732;0.028314732;0.0015311055;-0.05431904;-0.084520295;-0.023860918;-0.019613802;0.0;0.0;0.0;0.0;0.0;0.0
7880621302;7880432802;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.28926373;0.0;0.0;0.0;0.0;0.038949005;0.038949005;-0.041845508;-0.083569914;-0.05559749;0.022942567;0.0015138388;0.0;0.0;0.0;0.0;0.0;0.0
7881116120;7880927644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.3392706;0.0;0.0;0.0;0.0;0.036701437;0.036701437;-0.04409456;-0.09170762;-0.019335154;-0.022125978;-0.00048452616;0.0;0.0;0.0;0.0;0.0;0.0
7881620890;7881432384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.42247295;0.0;0.0;0.0;0.0;0.036888517;0.036888517;-0.038242575;-0.086662814;0.0407122;0.06491887;-0.00456959;0.0;0.0;0.0;0.0;0.0;0.0
7882119471;7881927226;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.20053434;0.0;0.0;0.0;0.0;0.034226425;0.034226425;-0.035116624;-0.082328185;-0.016954942;-0.0053758994;1.0192394e-05;0.0;0.0;0.0;0.0;0.0;0.0
7882620701;7882431966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.13478613;0.0;0.0;0.0;0.0;0.034546122;0.034546122;-0.033113435;-0.08200451;-0.021316674;0.073716044;-0.0015566945;0.0;0.0;0.0;0.0;0.0;0.0
7883115301;7882926808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.22553778;0.0;0.0;0.0;0.0;0.028439516;0.028439516;-0.02831037;-0.07669893;-0.10298483;0.014936121;-0.018368185;0.0;0.0;0.0;0.0;0.0;0.0
7883620211;7883431547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.17789984;0.0;0.0;0.0;0.0;0.03260757;0.03260757;-0.032086756;-0.08883293;-0.097297385;0.01808662;-0.0042764544;0.0;0.0;0.0;0.0;0.0;0.0
7884115331;7883926389;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.31545877;0.0;0.0;0.0;0.0;0.030945033;0.030945033;-0.038973913;-0.08778459;0.033878103;0.012217194;-2.104044e-05;0.0;0.0;0.0;0.0;0.0;0.0
7884619599;7884431128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.13693905;0.0;0.0;0.0;0.0;0.03193261;0.03193261;-0.026553337;-0.07707803;-0.0978612;-0.07193789;-0.006600797;0.0;0.0;0.0;0.0;0.0;0.0
7885114497;7884925971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.120390415;0.0;0.0;0.0;0.0;0.035102654;0.035102654;-0.025470033;-0.07994518;0.046044454;0.009776659;-0.0016124249;0.0;0.0;0.0;0.0;0.0;0.0
7885619331;7885430710;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.20358086;0.0;0.0;0.0;0.0;0.032187007;0.032187007;-0.022827517;-0.08149861;-0.12699428;-0.10745783;-0.03260058;0.0;0.0;0.0;0.0;0.0;0.0
