timestamp;imbalanced_prop_metric;motor_failure_mask;motor_stop_mask;fd_roll;fd_pitch;fd_alt;fd_ext;fd_arm_escs;fd_battery;fd_imbalanced_prop;fd_motor
7866257352;-0.007124528;0;0;0;0;0;0;0;0;0;0
7866758829;-0.0069065555;0;0;0;0;0;0;0;0;0;0
7867265074;-0.029410772;0;0;0;0;0;0;0;0;0;0
7867770814;-0.06278652;0;0;0;0;0;0;0;0;0;0
7868276989;-0.100347735;0;0;0;0;0;0;0;0;0;0
7868782766;-0.29478124;0;0;0;0;0;0;0;0;0;0
7869288765;-0.4390296;0;0;0;0;0;0;0;0;0;0
7869795767;-0.574012;0;0;0;0;0;0;0;0;0;0
7870301785;-0.690718;0;0;0;0;0;0;0;0;0;0
7870807785;-0.7772949;0;0;0;0;0;0;0;0;0;0
7871314350;-0.9011451;0;0;0;0;0;0;0;0;0;0
7871819766;-0.96886873;0;0;0;0;0;0;0;0;0;0
7872325765;-1.0494202;0;0;0;0;0;0;0;0;0;0
7872831765;-1.1725053;0;0;0;0;0;0;0;0;0;0
7873337785;-1.3095958;0;0;0;0;0;0;0;0;0;0
7873843762;-1.5149219;0;0;0;0;0;0;0;0;0;0
7874349786;-1.6262524;0;0;0;0;0;0;0;0;0;0
7874855785;-1.789159;0;0;0;0;0;0;0;0;0;0
7875361785;-1.8123596;0;0;0;0;0;0;0;0;0;0
7875867787;-1.7739381;0;0;0;0;0;0;0;0;0;0
7876373785;-1.7680218;0;0;0;0;0;0;0;0;0;0
7876880312;-1.8256624;0;0;0;0;0;0;0;0;0;0
7877385766;-1.8697721;0;0;0;0;0;0;0;0;0;0
7877892765;-1.9908317;0;0;0;0;0;0;0;0;0;0
7878398810;-2.0863311;0;0;0;0;0;0;0;0;0;0
7878904767;-2.132267;0;0;0;0;0;0;0;0;0;0
7879410765;-2.226165;0;0;0;0;0;0;0;0;0;0
7879917458;-2.242338;0;0;0;0;0;0;0;0;0;0
7880422777;-2.2675858;0;0;0;0;0;0;0;0;0;0
7880928774;-2.3389986;0;0;0;0;0;0;0;0;0;0
7881434786;-2.3009121;0;0;0;0;0;0;0;0;0;0
7881940765;-2.3400981;0;0;0;0;0;0;0;0;0;0
