timestamp;defer_failsafes_timeout_s;disable_auto_disarm;defer_failsafes;source_type;source_id
7864606757;0;0;0;0;0
7865113017;0;0;0;0;0
7865618756;0;0;0;0;0
7866124756;0;0;0;0;0
7866627385;0;0;0;0;0
7867132855;0;0;0;0;0
7867638780;0;0;0;0;0
7868144768;0;0;0;0;0
7868650832;0;0;0;0;0
7869156757;0;0;0;0;0
7869662769;0;0;0;0;0
7870169782;0;0;0;0;0
7870675888;0;0;0;0;0
7871181829;0;0;0;0;0
7871687758;0;0;0;0;0
7872193757;0;0;0;0;0
7872700201;0;0;0;0;0
7873205790;0;0;0;0;0
7873711775;0;0;0;0;0
7874218057;0;0;0;0;0
7874723776;0;0;0;0;0
7875229833;0;0;0;0;0
7875735776;0;0;0;0;0
7876241758;0;0;0;0;0
7876747776;0;0;0;0;0
7877253757;0;0;0;0;0
7877761643;0;0;0;0;0
7878266897;0;0;0;0;0
7878772756;0;0;0;0;0
7879278772;0;0;0;0;0
7879784837;0;0;0;0;0
7880290757;0;0;0;0;0
7880796757;0;0;0;0;0
7881303025;0;0;0;0;0
7881808976;0;0;0;0;0
7882314777;0;0;0;0;0
7882820757;0;0;0;0;0
7883326756;0;0;0;0;0
7883832755;0;0;0;0;0
7884338757;0;0;0;0;0
7884844756;0;0;0;0;0
7885350805;0;0;0;0;0
7885856768;0;0;0;0;0
7886362771;0;0;0;0;0
7886868757;0;0;0;0;0
7887374778;0;0;0;0;0
7887881103;0;0;0;0;0
7888386777;0;0;0;0;0
7888892777;0;0;0;0;0
7889398775;0;0;0;0;0
7889904777;0;0;0;0;0
7890410772;0;0;0;0;0
7890916757;0;0;0;0;0
7891422757;0;0;0;0;0
7891928776;0;0;0;0;0
7892434756;0;0;0;0;0
7892940756;0;0;0;0;0
7893446756;0;0;0;0;0
7893952770;0;0;0;0;0
7894459256;0;0;0;0;0
7894964756;0;0;0;0;0
7895470756;0;0;0;0;0
7895976758;0;0;0;0;0
7896482756;0;0;0;0;0
7896988852;0;0;0;0;0
7897494756;0;0;0;0;0
7898000757;0;0;0;0;0
7898507755;0;0;0;0;0
7899013770;0;0;0;0;0
7899519757;0;0;0;0;0
7900025868;0;0;0;0;0
7900531754;0;0;0;0;0
7901037757;0;0;0;0;0
7901543756;0;0;0;0;0
7902049756;0;0;0;0;0
7902555783;0;0;0;0;0
7903062099;0;0;0;0;0
7903567756;0;0;0;0;0
7904074050;0;0;0;0;0
7904579757;0;0;0;0;0
7905086925;0;0;0;0;0
7905592775;0;0;0;0;0
7906098792;0;0;0;0;0
7906605756;0;0;0;0;0
7907111773;0;0;0;0;0
7907617845;0;0;0;0;0
7908123756;0;0;0;0;0
7908629756;0;0;0;0;0
7909136014;0;0;0;0;0
7909641757;0;0;0;0;0
7910147756;0;0;0;0;0
7910653756;0;0;0;0;0
7911159756;0;0;0;0;0
7911665798;0;0;0;0;0
7912171755;0;0;0;0;0
7912677769;0;0;0;0;0
7913183758;0;0;0;0;0
7913689816;0;0;0;0;0
7914195860;0;0;0;0;0
7914701821;0;0;0;0;0
7915207780;0;0;0;0;0
7915714142;0;0;0;0;0
7916220188;0;0;0;0;0
7916725776;0;0;0;0;0
7917231756;0;0;0;0;0
7917737778;0;0;0;0;0
7918243773;0;0;0;0;0
7918749758;0;0;0;0;0
7919255757;0;0;0;0;0
7919761846;0;0;0;0;0
7920268121;0;0;0;0;0
7920774758;0;0;0;0;0
7921280804;0;0;0;0;0
7921786756;0;0;0;0;0
7922292758;0;0;0;0;0
7922798775;0;0;0;0;0
7923304758;0;0;0;0;0
7923810932;0;0;0;0;0
7924316876;0;0;0;0;0
7924822757;0;0;0;0;0
7925328881;0;0;0;0;0
7925834776;0;0;0;0;0
7926341756;0;0;0;0;0
7926847756;0;0;0;0;0
7927354003;0;0;0;0;0
7927859776;0;0;0;0;0
7928366291;0;0;0;0;0
7928871754;0;0;0;0;0
7929377756;0;0;0;0;0
7929883756;0;0;0;0;0
7930389756;0;0;0;0;0
7930895833;0;0;0;0;0
7931401756;0;0;0;0;0
7931907756;0;0;0;0;0
7932413757;0;0;0;0;0
7932919776;0;0;0;0;0
7933425821;0;0;0;0;0
7933931756;0;0;0;0;0
7934438799;0;0;0;0;0
7934944820;0;0;0;0;0
7935450756;0;0;0;0;0
7935956757;0;0;0;0;0
7936463756;0;0;0;0;0
7936969777;0;0;0;0;0
7937475757;0;0;0;0;0
7937981757;0;0;0;0;0
7938487757;0;0;0;0;0
7938993757;0;0;0;0;0
7939499756;0;0;0;0;0
7940005755;0;0;0;0;0
7940511755;0;0;0;0;0
7941018261;0;0;0;0;0
7941523756;0;0;0;0;0
7942029757;0;0;0;0;0
7942535775;0;0;0;0;0
7943042918;0;0;0;0;0
7943548776;0;0;0;0;0
7944054959;0;0;0;0;0
7944560763;0;0;0;0;0
7945066757;0;0;0;0;0
7945572810;0;0;0;0;0
7946078758;0;0;0;0;0
7946584855;0;0;0;0;0
7947090775;0;0;0;0;0
7947596757;0;0;0;0;0
7948103757;0;0;0;0;0
7948609771;0;0;0;0;0
7949115756;0;0;0;0;0
7949622793;0;0;0;0;0
7950128898;0;0;0;0;0
7950634756;0;0;0;0;0
7951140757;0;0;0;0;0
7951646756;0;0;0;0;0
7952152776;0;0;0;0;0
7952658840;0;0;0;0;0
7953164759;0;0;0;0;0
7953670756;0;0;0;0;0
7954176757;0;0;0;0;0
7954682770;0;0;0;0;0
7955188757;0;0;0;0;0
7955695908;0;0;0;0;0
7956201783;0;0;0;0;0
7956707756;0;0;0;0;0
7957213769;0;0;0;0;0
7957719757;0;0;0;0;0
7958225946;0;0;0;0;0
7958731756;0;0;0;0;0
7959237757;0;0;0;0;0
7959744186;0;0;0;0;0
7960250328;0;0;0;0;0
7960755757;0;0;0;0;0
7961261757;0;0;0;0;0
7961767781;0;0;0;0;0
7962273757;0;0;0;0;0
7962779757;0;0;0;0;0
7963285834;0;0;0;0;0
7963791794;0;0;0;0;0
7964297884;0;0;0;0;0
7964803813;0;0;0;0;0
7965309756;0;0;0;0;0
