timestamp;timestamp_sample;latitude_deg;longitude_deg;altitude_msl_m;altitude_ellipsoid_m;time_utc_usec;device_id;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;system_error;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;spoofing_state;authentication_state;vel_ned_valid;satellites_used;selected_rtcm_instance;rtcm_crc_failed;rtcm_msg_used
7866282159;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;77;16;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7866374734;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;77;16;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7866474733;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;77;16;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7866574763;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7866674733;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7866774734;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7866874742;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7866974733;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867074735;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867175050;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867274733;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867375733;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867474741;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867574732;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867674734;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867774751;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867874770;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867974762;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868075752;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868174732;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868275732;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868375849;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868474820;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868574733;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;50;9;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868676024;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;50;9;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868774921;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;50;9;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868875732;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;50;9;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868974747;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;50;9;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7869074734;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;50;9;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7869174735;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;50;9;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7869274755;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;50;9;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
