timestamp;timestamp_last_signal;rssi;rssi_dbm;rc_lost_frame_count;rc_total_frame_count;rc_ppm_frame_length;values[0];values[1];values[2];values[3];values[4];values[5];values[6];values[7];values[8];values[9];values[10];values[11];values[12];values[13];values[14];values[15];values[16];values[17];channel_count;rc_failsafe;rc_lost;input_source;link_quality
7866790449;7866789859;41;nan;0;39775;0;1494;1497;1084;1900;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7867292211;7867291652;41;nan;0;39830;0;1494;1497;1084;1492;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7867780163;7867779603;41;nan;0;39885;0;1494;1497;1084;1492;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7868275148;7868274588;41;nan;0;39939;0;1494;1497;1414;1492;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7868792533;7868791972;41;nan;0;39997;0;1494;1497;1536;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7869287453;7869286895;41;nan;0;40052;0;1494;1497;1522;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7869782422;7869781861;41;nan;0;40107;0;1494;1497;1525;1492;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7870277338;7870276778;41;nan;0;40162;0;1494;1497;1903;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7870794803;7870794205;41;nan;0;40219;0;1494;1497;1902;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7871289720;7871289151;41;nan;0;40274;0;1494;1497;1901;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7871784643;7871784076;41;nan;0;40329;0;1494;1497;1901;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7872279563;7872278996;41;nan;0;40384;0;1494;1495;1901;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7872796982;7872796420;41;nan;0;40442;0;1494;1497;1901;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7873291915;7873291355;41;nan;0;40497;0;1711;1498;1901;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7873786845;7873786286;41;nan;0;40552;0;1495;1558;1901;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7874281780;7874281221;41;nan;0;40607;0;1494;1555;1901;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7874799270;7874798710;41;nan;0;40664;0;1494;1498;1903;1350;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7875294230;7875293671;41;nan;0;40719;0;1495;1498;1903;1232;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7875789125;7875788566;41;nan;0;40774;0;1494;1715;1903;1226;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7876284008;7876283449;41;nan;0;40829;0;1495;1275;1898;1212;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7876801449;7876800886;41;nan;0;40887;0;1495;1496;1903;1491;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7877296378;7877295814;41;nan;0;40942;0;1494;1497;1903;1692;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7877791331;7877790772;41;nan;0;40997;0;1494;1497;1903;1828;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7878286253;7878285691;41;nan;0;41052;0;1494;1732;1903;1800;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
7878781188;7878780625;41;nan;0;41107;0;1494;1498;1903;1864;1084;1084;1494;1084;1494;1494;1494;1494;1494;1494;1494;1494;998;998;18;0;0;4;-1
