timestamp;timestamp_sample;time_last_fuse;observation[0];observation[1];device_id;observation_variance[0];observation_variance[1];innovation[0];innovation[1];innovation_filtered[0];innovation_filtered[1];innovation_variance[0];innovation_variance[1];test_ratio[0];test_ratio[1];test_ratio_filtered[0];test_ratio_filtered[1];estimator_instance;innovation_rejected;fused
7877730391;7877558844;7867228241;0.0785430520772934;0.0024400968104600906;0;100.0;100.0;1.4293953;-2.9089763;1.4560902;-2.4612162;104.908295;105.00095;0.0021639755;0.008954567;0.0022663996;-0.0066300924;0;0;0
7878225351;7878053778;7867228241;0.07854243367910385;0.0024353957269340754;0;100.0;100.0;1.3612324;-3.432307;1.4102204;-2.935;106.02282;106.14317;0.0019418814;0.012332118;0.002108065;-0.009310013;0;0;0
7878729264;7878557757;7867228241;0.07854169607162476;0.00243138475343585;0;100.0;100.0;1.279365;-3.878794;1.3526229;-3.4240274;107.35626;107.51256;0.0016940219;0.015548616;0.001920523;-0.012466925;0;0;0
7879224305;7879052689;7867228241;0.0785408541560173;0.002426492515951395;0;100.0;100.0;1.1867383;-4.4234004;1.273321;-3.8945243;108.892334;109.09046;0.001437044;0.019928895;0.0016853531;-0.015862321;0;0;0
7879728176;7879556574;7867228241;0.07853789627552032;0.002422186080366373;0;100.0;100.0;0.8595067;-4.902786;1.1084865;-4.4199576;110.6934;110.954735;0.0007415396;0.024071185;0.001281434;-0.02008074;0;0;0
7880232079;7880060506;7867228241;0.07853318750858307;0.0024170398246496916;0;100.0;100.0;0.33913547;-5.47567;0.7648115;-4.9480596;112.764366;113.114624;0.00011332665;0.029451894;0.0006849424;-0.024688793;0;0;0
7880726983;7880555439;7867228241;0.07852527499198914;0.0024131101090461016;0;100.0;100.0;-0.5362567;-5.913115;0.1757183;-5.427328;115.09393;115.543236;0.0002776198;0.033623707;0.00020577054;-0.029068142;0;0;0
7881230953;7881059371;7867228241;0.07851346582174301;0.0024090874940156937;0;100.0;100.0;-1.8417313;-6.360914;-0.7721368;-5.8991337;117.782715;118.37206;0.0031998416;0.03797934;-0.0010569505;-0.033543535;0;0;0
7881725857;7881554304;7867228241;0.07849907875061035;0.0024044630117714405;0;100.0;100.0;-3.4327095;-6.875701;-1.9969565;-6.3700285;120.77232;121.53627;0.01084087;0.04322008;-0.004834434;-0.038152646;0;0;0
7882230012;7882058235;7867228241;0.07848258316516876;0.00239989603869617;0;100.0;100.0;-5.256463;-7.3840995;-3.5228753;-6.880213;124.21593;125.20111;0.024715388;0.048388746;-0.01303336;-0.04329572;0;0;0
7882724793;7882553168;7867228241;0.07846556603908539;0.0023947306908667088;0;100.0;100.0;-7.1384716;-7.9591036;-5.265489;-7.406995;128.05292;129.29178;0.0442159;0.054439597;-0.02691361;-0.048707955;0;0;0
7883228646;7883057146;7867228241;0.07844642549753189;0.0023902736138552427;0;100.0;100.0;-9.254695;-8.455273;-7.240565;-7.932374;132.38664;133.98315;0.07188488;0.059287418;-0.047890615;-0.054027278;0;0;0
7883732649;7883561031;7867228241;0.07842247188091278;0.002385136904194951;0;100.0;100.0;-11.903472;-9.027081;-9.457946;-8.452143;137.2472;139.2601;0.11471001;0.06501677;-0.07783712;-0.059156768;0;0;0
7884227598;7884055963;7867228241;0.078402079641819;0.0023832705337554216;0;100.0;100.0;-14.158646;-9.234838;-11.792836;-8.887509;142.59044;145.08493;0.1562106;0.06531211;-0.11546136;-0.06293599;0;0;0
7884722486;7884550896;7867228241;0.07837279886007309;0.002377791330218315;0;100.0;100.0;-17.396255;-9.844791;-14.451236;-9.348464;148.45648;151.55743;0.22650085;0.07105478;-0.16599965;-0.06682404;0;0;0
7885226412;7885054827;7867228241;0.07833865284919739;0.002370335627347231;0;100.0;100.0;-21.171915;-10.674746;-17.651052;-9.999294;155.05507;158.88911;0.32121205;0.07968534;-0.23696677;-0.07313443;0;0;0
7885730371;7885558758;7867228241;0.0783073827624321;0.002365696709603071;0;100.0;100.0;-24.629177;-11.191144;-21.143908;-10.615088;162.36786;167.068;0.4151043;0.0832939;-0.3242685;-0.07858753;0;0;0
7886225345;7886053690;7867228241;0.07827174663543701;0.0023606400936841965;0;100.0;100.0;-28.569658;-11.754037;-24.758759;-11.150513;170.1904;175.93864;0.5328838;0.087250985;-0.4235136;-0.08253384;0;0;0
7886729170;7886557622;7867228241;0.07822950184345245;0.0023532784543931484;0;100.0;100.0;-33.24104;-12.573548;-28.848158;-11.822862;178.97621;185.85234;0.68597984;0.094515964;-0.546791;-0.08802768;0;0;0
7887233188;7887061600;7867228241;0.07818883657455444;0.002345223678275943;0;100.0;100.0;-37.737713;-13.470196;-33.343704;-12.635076;188.67601;196.82117;0.8386717;0.10243149;-0.6933954;-0.0951602;0;0;0
7887728149;7887556532;7867228241;0.0781436488032341;0.0023386001121252775;0;100.0;100.0;-42.7342;-14.2075205;-37.99543;-13.402849;198.92862;208.63525;1.0200263;0.10749948;-0.85380274;-0.10121032;0;1;0
7888223003;7888051464;7867228241;0.0780973955988884;0.002330453833565116;0;100.0;100.0;-47.848743;-15.1143675;-42.815937;-14.251237;210.06366;221.559;1.2110096;0.11456397;-1.0265656;-0.10794294;0;1;0
7888727066;7888555348;7867228241;0.07806006073951721;0.0023207534104585648;0;100.0;100.0;-51.97665;-16.194206;-47.585224;-15.191331;222.50706;235.98512;1.349057;0.12347874;-1.1974629;-0.11536242;0;1;0
7889230694;7889059278;7867228241;0.07802405953407288;0.0023122266866266727;0;100.0;100.0;-55.95768;-17.143385;-51.850082;-16.199825;235.85066;251.77673;1.4751623;0.12969853;-1.3410289;-0.12317286;0;1;0
7889725857;7889554210;7867228241;0.07798368483781815;0.0022968831472098827;0;100.0;100.0;-60.422153;-18.851414;-56.001945;-17.451845;249.78937;268.59393;1.6239624;0.14701076;-1.4767118;-0.13416803;0;1;0
7890229933;7890058141;7867228241;0.07793793082237244;0.0022879820317029953;0;100.0;100.0;-65.48084;-19.842299;-60.608784;-18.708708;265.00775;287.2577;1.7977422;0.15228942;-1.6306591;-0.14433238;0;1;0
7890724618;7890553072;7867228241;0.07789561152458191;0.002279268577694893;0;100.0;100.0;-70.160545;-20.812273;-65.3634;-19.766577;281.35712;307.17386;1.9439517;0.15667953;-1.7885785;-0.15083672;0;1;0
7891228631;7891057003;7867228241;0.07784359902143478;0.002265250775963068;0;100.0;100.0;-75.91217;-22.372728;-70.48419;-21.00002;299.14548;328.83075;2.1404145;0.16913089;-1.9573786;-0.15907519;0;1;0
7891723756;7891551936;7867228241;0.07777690142393112;0.002246335381641984;0;100.0;100.0;-83.28686;-24.47836;-76.446335;-22.53747;317.60373;351.57642;2.426749;0.18936615;-2.1684842;-0.17136393;0;1;0
7892227477;7892055912;7867228241;0.07771095633506775;0.0022302221041172743;0;100.0;100.0;-90.57837;-26.27208;-83.46674;-24.49508;337.84314;376.7957;2.6983073;0.20353565;-2.4321597;-0.18904394;0;1;0
7892731411;7892559795;7867228241;0.07763231545686722;0.002222527749836445;0;100.0;100.0;-99.27464;-27.128613;-91.26527;-25.872618;359.24573;403.95087;3.048194;0.2024343;-2.7351115;-0.19683391;0;1;0
7893226408;7893054726;7867228241;0.07754985988140106;0.0022145535331219435;0;100.0;100.0;-108.39152;-28.016293;-99.529945;-26.997492;381.6754;432.5896;3.420219;0.20160568;-3.061689;-0.20023106;0;1;0
7893730196;7893558656;7867228241;0.0774705782532692;0.002206896198913455;0;100.0;100.0;-117.15822;-28.868708;-108.495094;-28.058521;406.25876;463.94452;3.7540517;0.19959338;-3.4196758;-0.20177011;0;1;0
7894225168;7894053588;7867228241;0.07738047093153;0.0021990968380123377;0;100.0;100.0;-127.121414;-29.73692;-117.70813;-28.757885;431.6238;496.78156;4.1599636;0.19778071;-3.7875574;-0.19804136;0;1;0
7894729181;7894557517;7867228241;0.07728205621242523;0.0021869060583412647;0;100.0;100.0;-138.00409;-31.093996;-127.61023;-29.752686;459.17917;532.26495;4.608496;0.20182858;-4.0;-0.1977122;0;1;0
7895224005;7895052448;7867228241;0.0771905928850174;0.002172543667256832;0;100.0;100.0;-148.11777;-32.69281;-132.56294;-31.324306;488.13712;569.56946;4.993787;0.20850444;-4.0;-0.20465384;0;1;0
