timestamp;safe_points_id;is_evaluation_pending;has_vtol_approach;rtl_type;safe_point_index
7867364405;0;0;98;1;0
7869397583;0;0;98;1;0
7871422383;0;0;98;1;0
7873438124;0;0;98;1;0
7875462895;0;0;98;1;0
7877487543;0;0;98;1;0
7879512302;0;0;98;1;0
7881537110;0;0;98;1;0
7883561772;0;0;98;1;0
7885586392;0;0;98;1;0
7887611526;0;0;98;1;0
7889635911;0;0;98;1;0
7891660647;0;0;98;1;0
7893686036;0;0;98;1;0
7895710079;0;0;98;1;0
7897734749;0;0;98;1;0
7899759566;0;0;98;1;0
7901784177;0;0;98;1;0
7903800254;0;0;98;1;0
7905824616;0;0;98;1;0
7907858792;0;0;98;1;0
7909874476;0;0;98;1;0
7911899106;0;0;98;1;0
7913923388;0;0;98;1;0
7915948181;0;0;98;1;0
7917972888;0;0;98;1;0
7919997484;0;0;98;1;0
7922022285;0;0;98;1;0
7924046949;0;0;98;1;0
7926071640;0;0;98;1;0
7928096668;0;0;98;1;0
7930121300;0;0;98;1;0
7932145954;0;0;98;1;0
7934170350;0;0;98;1;0
7936195066;0;0;98;1;0
7938219718;0;0;98;1;0
7940244516;0;0;98;1;0
7942269113;0;0;98;1;0
7944293884;0;0;98;1;0
7946318508;0;0;98;1;0
7948343194;0;0;98;1;0
7950367867;0;0;98;1;0
7952393102;0;0;98;1;0
7954417077;0;0;98;1;0
7956441726;0;0;98;1;0
7958466419;0;0;98;1;0
7960482018;0;0;98;1;0
7962506978;0;0;98;1;0
7964531464;0;0;98;1;0
7966556044;0;0;98;1;0
7968580641;0;0;98;1;0
7970605334;0;0;98;1;0
7972630410;0;0;98;1;0
7974654847;0;0;98;1;0
7976679549;0;0;98;1;0
7978703979;0;0;98;1;0
7980728611;0;0;98;1;0
7982753181;0;0;98;1;0
7984777992;0;0;98;1;0
7986802618;0;0;98;1;0
7988827100;0;0;98;1;0
7990851708;0;0;98;1;0
7992867399;0;0;98;1;0
7994892050;0;0;98;1;0
7996916820;0;0;98;1;0
7998941602;0;0;98;1;0
8000965970;0;0;98;1;0
8002990421;0;0;98;1;0
8005015159;0;0;98;1;0
8007040120;0;0;98;1;0
8009064298;0;0;98;1;0
8011088963;0;0;98;1;0
8013113563;0;0;98;1;0
8015138217;0;0;98;1;0
8017162778;0;0;98;1;0
8019187716;0;0;98;1;0
8021212278;0;0;98;1;0
8023236694;0;0;98;1;0
8025261305;0;0;98;1;0
8027285918;0;0;98;1;0
8029310404;0;0;98;1;0
8031326096;0;0;98;1;0
8033350626;0;0;98;1;0
8035375248;0;0;98;1;0
8037399881;0;0;98;1;0
8039424420;0;0;98;1;0
8041449468;0;0;98;1;0
8043473936;0;0;98;1;0
8045498249;0;0;98;1;0
8047522906;0;0;98;1;0
8049547410;0;0;98;1;0
8051572066;0;0;98;1;0
8053596584;0;0;98;1;0
8055621245;0;0;98;1;0
8057645781;0;0;98;1;0
8059670548;0;0;98;1;0
8061694980;0;0;98;1;0
8063721422;0;0;98;1;0
8065744388;0;0;98;1;0
8067768803;0;0;98;1;0
8069793407;0;0;98;1;0
8071817902;0;0;98;1;0
8073842550;0;0;98;1;0
8075867518;0;0;98;1;0
8077891576;0;0;98;1;0
8079916235;0;0;98;1;0
8081931823;0;0;98;1;0
8083956406;0;0;98;1;0
8085981411;0;0;98;1;0
8088005826;0;0;98;1;0
8090030276;0;0;98;1;0
8092054672;0;0;98;1;0
8094079226;0;0;98;1;0
8096103836;0;0;98;1;0
8098128491;0;0;98;1;0
8100152999;0;0;98;1;0
8102177578;0;0;98;1;0
8104202169;0;0;98;1;0
8106226752;0;0;98;1;0
8108251646;0;0;98;1;0
8110276216;0;0;98;1;0
8112300483;0;0;98;1;0
8114324913;0;0;98;1;0
8116349491;0;0;98;1;0
8118374124;0;0;98;1;0
8120398671;0;0;98;1;0
8122423188;0;0;98;1;0
8124447756;0;0;98;1;0
8126472364;0;0;98;1;0
8128487951;0;0;98;1;0
8130513047;0;0;98;1;0
8132546138;0;0;98;1;0
8134571081;0;0;98;1;0
8136586132;0;0;98;1;0
8138610714;0;0;98;1;0
8140635199;0;0;98;1;0
8142659980;0;0;98;1;0
8144684403;0;0;98;1;0
8146708999;0;0;98;1;0
8148733500;0;0;98;1;0
8150758290;0;0;98;1;0
8152782824;0;0;98;1;0
