timestamp;timestamp_sample;control_mode_flags;output_tracking_error[0];output_tracking_error[1];output_tracking_error[2];filter_fault_flags;pos_horiz_accuracy;pos_vert_accuracy;hdg_test_ratio;vel_test_ratio;pos_test_ratio;hgt_test_ratio;tas_test_ratio;hagl_test_ratio;beta_test_ratio;time_slip;accel_device_id;gyro_device_id;baro_device_id;mag_device_id;mag_inclination_deg;mag_inclination_ref_deg;mag_strength_gs;mag_strength_ref_gs;gps_check_fail_flags;solution_status_flags;reset_count_vel_ne;reset_count_vel_d;reset_count_pos_ne;reset_count_pod_d;reset_count_quat;pre_flt_fail_innov_heading;pre_flt_fail_innov_height;pre_flt_fail_innov_pos_horiz;pre_flt_fail_innov_vel_horiz;pre_flt_fail_innov_vel_vert;pre_flt_fail_mag_field_disturbed;health_flags;timeout_flags
7869319415;7869130596;189515432659;0.05222995;0.00366324;0.0063088224;0;0.1295604;0.29907686;0.63491815;nan;nan;0.0022025998;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.061049;nan;0.24744965;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7869517081;7869328533;189515432659;0.050362233;0.0050634476;0.006568018;0;0.15155183;0.30376476;0.67743963;nan;nan;0.0015878999;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.862629;nan;0.24543762;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7869714998;7869526470;189515432659;0.05193462;0.006901866;0.00923699;0;0.17536405;0.30868676;0.71681845;nan;nan;0.0039613126;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.53737;nan;0.24620986;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7869912876;7869724407;189515432659;0.042750083;0.00647726;0.008743218;0;0.20105033;0.31258088;0.73011047;nan;nan;0.00399151;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.732285;nan;0.24798457;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7870110815;7869922344;189515432659;0.042356525;0.0064895595;0.010252662;0;0.22863445;0.31787965;0.7366325;nan;nan;0.0030888517;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.45656;nan;0.24682105;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7870318645;7870130178;189515432659;0.040910967;0.0069139306;0.011375423;0;0.25968492;0.32247302;0.73595184;nan;nan;0.0028305356;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.669516;nan;0.24781705;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7870516823;7870328115;189515432659;0.040379737;0.007975476;0.01320513;0;0.29128405;0.32807967;0.7261631;nan;nan;0.0030213154;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.869278;nan;0.2452744;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7870714514;7870526052;189515432659;0.03347191;0.005909669;0.01080726;0;0.32491887;0.33232766;0.7173797;nan;nan;0.0027101985;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.562958;nan;0.24528779;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7870912461;7870723989;189515432659;0.033598505;0.0068072164;0.0134606715;0;0.36060238;0.33813986;0.7057825;nan;nan;0.002357929;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.82667;nan;0.2452162;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7871110601;7870921926;189515432659;0.028138896;0.005402953;0.011319813;0;0.39841738;0.34241167;0.700734;nan;nan;0.0009815148;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-29.663815;nan;0.24515067;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7871318493;7871129760;189515432659;0.028057205;0.0065813507;0.013214279;0;0.4404196;0.3489078;0.6861223;nan;nan;0.000964688;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.321056;nan;0.24602707;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7871516501;7871327697;189515432659;0.02920318;0.007833043;0.017203454;0;0.48266935;0.35312018;0.67913926;nan;nan;0.0056047053;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-29.93471;nan;0.24311799;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7871714633;7871525634;189515432659;0.02805008;0.00947975;0.021283252;0;0.52714646;0.3591218;0.65953165;nan;nan;0.005913404;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.965733;nan;0.24747133;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7871912093;7871723571;189515432659;0.022819523;0.00633721;0.016756242;0;0.5739393;0.3631749;0.6505415;nan;nan;0.006234927;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.884283;nan;0.24730465;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7872119916;7871931405;189515432659;0.021579191;0.0077275313;0.019908274;0;0.6255502;0.36974603;0.6291615;nan;nan;0.0053137382;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.988808;nan;0.24722776;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7872317857;7872129342;189515432659;0.023639437;0.012162803;0.025194345;0;0.6771102;0.3735698;0.62236524;nan;nan;0.0052448856;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.29797;nan;0.24310035;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7872515746;7872327279;189515432659;0.023988232;0.0062097535;0.018648064;0;0.7311503;0.3794373;0.6244517;nan;nan;0.0053274063;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-29.559633;nan;0.24264237;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7872713688;7872525216;189515432659;0.024084467;0.0115279835;0.025061743;0;0.7876314;0.38527706;0.61196536;nan;nan;0.0068822233;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.070774;nan;0.24511854;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7872911884;7872723153;189515432659;0.023523586;0.0114380075;0.031173795;0;0.8465734;0.38866535;0.6001719;nan;nan;0.0050602322;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.367075;nan;0.241657;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7873119622;7872930987;189515432659;0.019796899;0.0057400293;0.021013746;0;0.91132814;0.39497998;0.5916014;nan;nan;0.0044808155;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.120123;nan;0.24469578;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7873317390;7873128924;189515432659;0.016004898;0.008643814;0.030137654;0;0.9755502;0.397998;0.5727825;nan;nan;0.004020056;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.622667;nan;0.2473954;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7873515331;7873326861;189515432659;0.011434257;0.01212956;0.04127753;0;1.04237;0.4034348;0.5522054;nan;nan;0.007544633;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.54243;nan;0.24901135;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7873713278;7873524798;189515432659;0.0087350225;0.005698073;0.030105153;0;1.1119834;0.40604255;0.53959244;nan;nan;0.008193113;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.937151;nan;0.25158367;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7873911209;7873722735;189515432659;0.005373084;0.010876394;0.040055722;0;1.1841633;0.41121763;0.5054725;nan;nan;0.0072113336;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-34.019455;nan;0.2596932;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7874109504;7873920675;189515432659;0.0046678116;0.018775104;0.05141788;0;1.2590842;0.41339165;0.49197292;nan;nan;0.007639495;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.809141;nan;0.25093272;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7874316976;7874128507;189515432659;0.008298571;0.0060024927;0.029472698;0;1.3408998;0.41898212;0.49225962;nan;nan;0.0089771785;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-32.644787;nan;0.25245422;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7874514949;7874326443;189515432659;0.013238617;0.014329984;0.047140304;0;1.421647;0.42072967;0.5105036;nan;nan;0.008216436;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.302084;nan;0.25816306;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7874712901;7874524380;189515432659;0.014667101;0.02148435;0.059931677;0;1.5053499;0.42537034;0.5203378;nan;nan;0.008196516;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.541647;nan;0.2471915;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7874910904;7874722317;189515432659;0.011702186;0.012685913;0.042001583;0;1.5920982;0.4266951;0.5132893;nan;nan;0.0104748625;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.062534;nan;0.24585503;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7875118664;7874930151;189515432659;0.010643704;0.013539654;0.05011855;0;1.6861945;0.4317553;0.50624144;nan;nan;0.01034326;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-30.62333;nan;0.24399176;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7875316618;7875128088;189515432659;0.011003985;0.01711103;0.060476024;0;1.7788802;0.43267208;0.49538252;nan;nan;0.009349847;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.430664;nan;0.24519196;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7875514534;7875326025;189515432659;0.009512495;0.009761555;0.039452933;0;1.874842;0.43675065;0.48817438;nan;nan;0.009203358;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-32.060825;nan;0.2454568;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7875712433;7875523962;189515432659;0.0090943305;0.011768831;0.047547303;0;1.9736676;0.44074526;0.46251988;nan;nan;0.009504334;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-33.24712;nan;0.24814941;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7875920281;7875731796;189515432659;0.007180727;0.012578746;0.052302815;0;2.0808294;0.44182947;0.4282955;nan;nan;0.009936665;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-35.458004;nan;0.2548545;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7876118457;7875929733;189515432659;0.0054209256;0.013427026;0.05544576;0;2.1860664;0.44556433;0.38526997;nan;nan;0.009939766;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-37.720894;nan;0.26106232;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7876316144;7876127671;189515432659;0.0035951787;0.0057274373;0.030509925;0;2.2948236;0.44558394;0.35381058;nan;nan;0.009044817;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-39.096348;nan;0.2611935;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7876514076;7876325608;189515432659;0.0012423029;0.017482685;0.05388804;0;2.4066734;0.44908097;0.3172099;nan;nan;0.009392101;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-38.38243;nan;0.27114612;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7876712090;7876523545;189515432659;0.0033319837;0.010311958;0.03905691;0;2.5220907;0.448784;0.2781365;nan;nan;0.008227385;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-39.99232;nan;0.2807302;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7876909991;7876721482;189515432659;0.008897067;0.016233375;0.052325934;0;2.6403165;0.452054;0.25865567;nan;nan;0.008277023;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-40.23411;nan;0.281534;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7877117784;7876929316;189515432659;0.011020582;0.013849925;0.053542364;0;2.7682388;0.45218804;0.27476183;nan;nan;0.010412283;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-40.707314;nan;0.28414205;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7877316582;7877127253;189515432659;0.012498128;0.017788442;0.070740856;0;2.893505;0.45528272;0.2904487;nan;nan;0.013792366;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-40.65151;nan;0.288641;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7877513660;7877325190;189515432659;0.011067732;0.012458042;0.046094075;0;3.022531;0.45443222;0.29697922;nan;nan;0.0118218055;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-40.420486;nan;0.28726146;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7877711622;7877523127;189515432659;0.010805671;0.012157853;0.051458005;0;3.15472;0.45734027;0.30055714;nan;nan;0.010378953;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-40.463787;nan;0.28555727;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7877920033;7877730961;189515432659;0.0096328;0.012447056;0.056897353;0;3.2973516;0.45699444;0.29744047;nan;nan;0.009097866;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-41.225758;nan;0.28458565;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7878117742;7877928898;189515432659;0.0072192512;0.0071200547;0.032762613;0;3.4371357;0.4597529;0.29147705;nan;nan;0.008187888;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-41.466652;nan;0.2805367;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7878315756;7878126835;189515432659;0.005376321;0.010854854;0.047142096;0;3.579996;0.4584772;0.28472942;nan;nan;0.012541051;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-39.469925;nan;0.27350906;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7878513942;7878324772;189515432659;0.0026807855;0.013247793;0.060229916;0;3.7263823;0.46109894;0.26375276;nan;nan;0.012062115;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-39.411945;nan;0.26553825;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7878721156;7878532606;189515432659;0.0007694449;0.0027259332;0.020054083;0;3.8846238;0.46037433;0.24416393;nan;nan;0.011739806;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-39.873383;nan;0.26653627;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7878919044;7878730543;189515432659;0.0030418264;0.0075452095;0.046019904;0;4.038578;0.46289968;0.20704095;nan;nan;0.012543239;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-39.225166;nan;0.26270455;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7879116979;7878928480;189515432659;0.0025347355;0.018088704;0.08456209;0;4.195948;0.46131256;0.18088308;nan;nan;0.015704794;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-40.021088;nan;0.26732475;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7879314896;7879126417;189515432659;0.00078950357;0.011480295;0.057886306;0;4.3574977;0.46372238;0.17489782;nan;nan;0.014395069;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-38.0356;nan;0.26071858;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7879512825;7879324354;189515432659;0.00091578875;0.019648815;0.0974019;0;4.5219727;0.46608737;0.20321104;nan;nan;0.0140821645;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-35.757126;nan;0.25214398;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7879711014;7879522291;189515432659;0.003991969;0.037154734;0.18237565;0;4.6902156;0.46431795;0.26132837;nan;nan;0.013145709;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-32.18092;nan;0.2500464;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7879908697;7879720228;189515432659;0.0045069265;0.0339597;0.16686611;0;4.8630505;0.46662426;0.29327828;nan;nan;0.011562182;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-31.685673;nan;0.24733089;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7880116567;7879928062;189515432659;0.0032181554;0.03619297;0.17863321;0;5.0471888;0.46548328;0.31437683;nan;nan;0.012133901;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-33.373947;nan;0.23807712;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7880314507;7880125999;189515432659;0.00477074;0.04604454;0.24777971;0;5.2261276;0.46769547;0.37162903;nan;nan;0.014045542;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-28.596605;nan;0.23987906;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7880516091;7880323937;189515432659;0.0056928294;0.04689219;0.2565354;0;5.4102144;0.46573085;0.43278587;nan;nan;0.01320077;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-24.42299;nan;0.2517019;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7880710459;7880521874;189515432659;0.0055552823;0.07287588;0.36855835;0;5.5964947;0.4678786;0.49105826;nan;nan;0.0136746;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-23.709808;nan;0.24388798;nan;0;37;36;1;36;1;6;0;0;0;0;0;0;0;0
7880918190;7880729707;189515432659;0.0046665207;0.082907625;0.42842206;0;5.7962685;0.4665772;0.5230256;nan;nan;0.014293068;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-24.927664;nan;0.24150074;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7881116114;7880927644;189515432659;0.0038126328;0.059165936;0.32975253;0;5.9920473;0.4686922;0.54239714;nan;nan;0.015152576;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-23.385054;nan;0.2472247;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7881314119;7881125581;189515432659;0.0038785283;0.07541325;0.40692407;0;6.190021;0.46658736;0.5648124;nan;nan;0.014072295;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-23.807655;nan;0.24601978;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7881512019;7881323518;189515432659;0.0032300306;0.08811811;0.47183558;0;6.3918195;0.46866468;0.5675751;nan;nan;0.013449275;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-24.285748;nan;0.24648942;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7881719923;7881531352;189515432659;0.0018937184;0.054570843;0.3179363;0;6.6101174;0.46724197;0.5724144;nan;nan;0.014580814;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-22.849003;nan;0.24570203;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7881907920;7881719394;189515432659;0.0020292865;0.07453151;0.41872802;0;6.8091664;0.46854207;0.5760945;nan;nan;0.0131868785;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-23.945765;nan;0.2474332;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7882119464;7881927226;189515432659;0.002519689;0.07782959;0.4377429;0;7.0339403;0.4670807;0.5702441;nan;nan;0.014890488;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-24.628912;nan;0.24494456;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7882313773;7882125163;189515432659;0.0023333263;0.043773074;0.2718535;0;7.253867;0.46908802;0.570058;nan;nan;0.013509532;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-23.762854;nan;0.2426508;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7882511673;7882323100;189515432659;0.001958658;0.057446163;0.3455819;0;7.4756584;0.47109574;0.56351894;nan;nan;0.012303528;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-24.18366;nan;0.24508737;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7882709608;7882521037;189515432659;0.0017941131;0.08111081;0.46944544;0;7.7014575;0.4688557;0.5639716;nan;nan;0.012148441;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-22.783356;nan;0.24756391;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
7882917577;7882728871;189515432659;0.0029147754;0.09623998;0.54041725;0;7.943193;0.4715628;0.5692938;nan;nan;0.011070182;nan;nan;nan;0.0;2490378;2490378;4028193;396809;-23.779276;nan;0.23338316;nan;0;37;36;1;36;1;6;1;0;0;0;0;0;0;0
