timestamp;timestamp_sample;time_last_fuse;device_id;observation;observation_variance;innovation;innovation_filtered;innovation_variance;test_ratio;test_ratio_filtered;estimator_instance;innovation_rejected;fused
7886213365;7886015102;7886024520;0;7.304111;12.25;-0.08994722;-0.1817051;12.47406;2.5943446e-05;-0.00013046339;1;0;1
7886727900;7886533489;7886539156;0;7.346388;12.25;-0.12948179;-0.16572912;12.473798;5.3762407e-05;-0.000109498156;1;0;1
7887242868;7887052221;7887053791;0;7.346388;12.25;-0.13351297;-0.13211894;12.473536;5.716331e-05;-9.808528e-05;1;0;1
7887707710;7887514274;7887518942;0;7.4098034;12.25;-0.18181181;-0.18611833;12.47387;0.00010599928;-0.0001428737;1;0;1
7888222348;7888032946;7888033578;0;7.449438;12.25;-0.21691227;-0.1701022;12.473638;0.0001508812;-0.0001183556;1;0;1
7888687260;7888492211;7888498729;0;7.304111;12.25;-0.05411005;-0.15334433;12.473967;9.388827e-06;-9.37061e-05;1;0;1
7889202205;7889010800;7889013364;0;7.116506;12.25;0.1286745;-0.12785022;12.473681;5.30946e-05;-0.00010027483;1;0;1
7889726407;7889529453;7889537896;0;7.243337;12.25;-0.016910076;-0.035004064;12.474123;9.169403e-07;-3.7343365e-05;1;0;1
7890241384;7890048049;7890052531;0;7.0557327;12.25;0.16449356;-0.019734882;12.4738455;8.676757e-05;-1.9801055e-05;1;0;1
7890706769;7890509775;7890517682;0;7.2010603;12.25;0.015782833;-0.03722455;12.474156;7.9876446e-07;-2.6119891e-05;1;0;1
7891220975;7891028307;7891032317;0;7.533993;12.25;-0.31291866;-0.14063282;12.47393;0.00031399276;-0.00012294008;1;0;1
7891735797;7891546802;7891546952;0;7.304111;12.25;-0.08416653;-0.15037763;12.473647;2.2716704e-05;-0.00011830022;1;0;1
7892200869;7892008754;7892012103;0;7.325249;12.25;-0.10845041;-0.112695806;12.473863;3.771564e-05;-6.770913e-05;1;0;1
7892725233;7892527293;7892536634;0;7.325249;12.25;-0.09889555;-0.12934664;12.474143;3.1361928e-05;-7.435187e-05;1;0;1
7893239817;7893046147;7893051269;0;7.637043;12.25;-0.4174776;-0.09974922;12.473729;0.00055889477;-9.058019e-05;1;0;1
7893695026;7893505342;7893506522;0;7.346388;12.25;-0.13349295;-0.05470226;12.473199;5.7147703e-05;-4.6899648e-05;1;0;1
7894219580;7894024014;7894031053;0;7.4098034;12.25;-0.1941638;-0.11241608;12.473469;0.00012089525;-7.265429e-05;1;0;1
7894734184;7894542359;7894545688;0;7.304111;12.25;-0.07779026;-0.106070586;12.473019;1.9406127e-05;-5.7621033e-05;1;0;1
7895199335;7895004327;7895010838;0;7.3675265;12.25;-0.1392374;-0.10895823;12.473137;6.2172185e-05;-6.307855e-05;1;0;1
7895714229;7895522912;7895525472;0;7.346388;12.25;-0.11109972;-0.12770161;12.472654;3.9584673e-05;-0.000118825956;1;0;1
7896238519;7896041470;7896050002;0;7.4705772;12.25;-0.22554588;-0.14311136;12.472895;0.00016314078;-0.00010108403;1;0;1
7896693777;7896503342;7896505256;0;7.325249;12.25;-0.07043123;-0.12894143;12.472343;1.5908985e-05;-8.5036314e-05;1;0;1
7897218457;7897022073;7897029786;0;7.076871;12.25;0.18324709;-0.089530304;12.472578;0.00010769063;-6.489989e-05;1;0;1
7897733076;7897540912;7897544420;0;7.1587834;12.25;0.09842253;-0.0779944;12.47214;3.1067622e-05;-7.555722e-05;1;0;1
7898198187;7898000006;7898009569;0;7.243337;12.25;0.015433788;-0.100322075;12.472272;7.639405e-07;-6.7043686e-05;1;0;1
7898712788;7898518639;7898524203;0;7.243337;12.25;0.026206493;-0.08417556;12.471831;2.2026607e-06;-4.6217687e-05;1;0;1
7899227330;7899037493;7899038836;0;7.4705772;12.25;-0.21198082;-0.11721063;12.471412;0.00014412441;-9.235495e-05;1;0;1
7899692486;7899499658;7899503985;0;7.3675265;12.25;-0.09850836;-0.12653024;12.471562;3.1123276e-05;-8.996345e-05;1;0;1
