timestamp;unallocated_torque[0];unallocated_torque[1];unallocated_torque[2];unallocated_thrust[0];unallocated_thrust[1];unallocated_thrust[2];handled_motor_failure_mask;motor_stop_mask;torque_setpoint_achieved;thrust_setpoint_achieved;actuator_saturation[0];actuator_saturation[1];actuator_saturation[2];actuator_saturation[3];actuator_saturation[4];actuator_saturation[5];actuator_saturation[6];actuator_saturation[7];actuator_saturation[8];actuator_saturation[9];actuator_saturation[10];actuator_saturation[11];actuator_saturation[12];actuator_saturation[13];actuator_saturation[14];actuator_saturation[15]
7866316464;-0.2607324;-0.25974962;0.19898526;0.0;0.0;3.3452012e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
7866322459;-0.26066205;-0.26096162;0.19896358;0.0;0.0;6.690079e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
7866514480;-0.26109484;-0.26130134;0.1990616;0.0;0.0;6.577991e-17;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
7866718484;-0.2619408;-0.26217774;0.19915001;0.0;0.0;2.9675669e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
7866916381;-0.2619319;-0.26462573;0.1985016;0.0;0.0;2.9579046e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
7867114396;-0.2609535;-0.259746;0.19940618;0.0;0.0;6.6966743e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
7867316871;-0.2622539;-0.26447892;0.18478622;0.0;0.0;6.4788197e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
7867520794;-0.24323289;-0.2583268;0.117608145;0.0;0.0;7.312501e-18;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
7867718771;-0.23645817;-0.2614398;0.10248601;0.0;0.0;3.7252903e-09;0;0;0;1;-2;-2;-2;-2;2;2;2;2;2;2;2;2;2;2;2;2
7867916787;-0.23598634;-0.18273355;0.100583024;0.0;0.0;7.450581e-09;0;0;0;1;-2;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
7868114711;-0.24497004;-0.04276398;0.10948436;0.0;0.0;1.4901161e-08;0;0;0;1;-2;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
7868317183;-0.14078271;1.4901161e-08;0.1432793;0.0;0.0;-2.9802322e-08;0;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
7868515160;1.3969839e-08;0.0;-7.450581e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
7868713132;-7.450581e-09;1.4901161e-08;1.1175871e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
7868917105;0.0;1.21071935e-08;-5.5879354e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
7869115077;2.7939677e-09;0.0;-7.21775e-09;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
7869317293;9.778887e-09;1.1175871e-08;2.0721927e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
7869515527;0.0;3.7252903e-09;-1.1874363e-08;0.0;0.0;0.0;0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
