timestamp;timestamp_sample;device_id;x;y;z;temperature;error_count
7866947135;7866946185;396809;-0.06212121;-0.21136363;-0.25075758;nan;0
7867950303;7867949353;396809;-0.05833333;-0.21287878;-0.26287878;nan;0
7868953923;7868952973;396809;-0.22954544;-0.12348484;-0.16742423;nan;0
7869957114;7869956147;396809;-0.2219697;-0.11742424;-0.16439393;nan;0
7870939127;7870938177;396809;-0.22272727;-0.115909085;-0.16742423;nan;0
7871942934;7871941984;396809;-0.21969697;-0.11969697;-0.17121212;nan;0
7872946396;7872945445;396809;-0.22121212;-0.12121212;-0.16742423;nan;0
7873949527;7873948577;396809;-0.225;-0.12499999;-0.16439393;nan;0
7874953077;7874952127;396809;-0.22272727;-0.11818182;-0.17424242;nan;0
7875956217;7875955267;396809;-0.19772726;-0.20530303;-0.15833333;nan;0
7876938092;7876937101;396809;-0.071969695;-0.2810606;-0.19621211;nan;0
7877941741;7877940791;396809;-0.09318182;-0.2742424;-0.19545454;nan;0
7878944797;7878943847;396809;-0.16287878;-0.22651514;-0.18181817;nan;0
7879948462;7879947512;396809;-0.19242424;-0.10681818;-0.21666665;nan;0
7880951795;7880950845;396809;-0.23484848;-0.014393939;-0.14621212;nan;0
7881954909;7881953934;396809;-0.23181817;-0.018939393;-0.15681818;nan;0
7882958523;7882957573;396809;-0.21439393;-0.02121212;-0.18333332;nan;0
7883940603;7883939651;396809;-0.23863636;0.025757575;-0.11818182;nan;0
7884943826;7884942876;396809;-0.23257574;-0.024242423;-0.16893938;nan;0
7885947318;7885946334;396809;-0.24393938;-0.0045454544;-0.1371212;nan;0
7886950506;7886949556;396809;-0.26590908;-0.009090909;-0.09166666;nan;0
7887954011;7887953060;396809;-0.25833333;-0.076515146;-0.099999994;nan;0
7888957170;7888956220;396809;-0.2030303;-0.18863636;-0.15530303;nan;0
7889960375;7889959424;396809;-0.2060606;-0.1371212;-0.19924241;nan;0
7890942571;7890941620;396809;-0.25833333;-0.11212121;-0.09015151;nan;0
7891945791;7891944838;396809;-0.2189394;-0.049999997;-0.18181817;nan;0
7892948928;7892947978;396809;-0.23939393;-0.023484848;-0.15303029;nan;0
7893952450;7893951500;396809;-0.22575757;-0.032575756;-0.17121212;nan;0
7894955667;7894954717;396809;-0.23333332;-0.024999999;-0.16060606;nan;0
7895959166;7895958216;396809;-0.23560606;-0.016666666;-0.15151514;nan;0
7896941089;7896940139;396809;-0.23560606;-0.018181818;-0.15378788;nan;0
7897944234;7897943243;396809;-0.2219697;-0.06363636;-0.16742423;nan;0
7898947783;7898946833;396809;-0.17045455;-0.19393939;-0.18863636;nan;0
7899950924;7899949974;396809;-0.022727272;-0.27954546;-0.22575757;nan;0
7900954041;7900953091;396809;0.1280303;-0.2621212;-0.2030303;nan;0
7901957584;7901956607;396809;0.018939393;-0.29999998;-0.19772726;nan;0
7902960742;7902959792;396809;-0.109848484;-0.23712121;-0.22954544;nan;0
7903942886;7903941936;396809;-0.22651514;-0.13636363;-0.16439393;nan;0
