timestamp;timestamp_sample;latitude_deg;longitude_deg;altitude_msl_m;altitude_ellipsoid_m;time_utc_usec;device_id;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;system_error;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;spoofing_state;authentication_state;vel_ned_valid;satellites_used;selected_rtcm_instance;rtcm_crc_failed;rtcm_msg_used
7866974733;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;12;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7867974762;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;58;10;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7868974747;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;50;9;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7869974756;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;66;11;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7870974768;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;66;11;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7871975739;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;81;14;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7872975772;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;81;15;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7873974734;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;81;15;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7874975732;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;15;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;1755;0;0;1;0;0;0;0;0;0
7875974733;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;4294967.5;99.99;99.99;82;14;0.0;0.0;0.0;0.0;0.0;0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0;0
