timestamp;accel_device_id;gyro_device_id;accel_clipping[0];accel_clipping[1];accel_clipping[2];gyro_clipping[0];gyro_clipping[1];gyro_clipping[2];accel_error_count;gyro_error_count;accel_rate_hz;gyro_rate_hz;accel_raw_rate_hz;gyro_raw_rate_hz;accel_vibration_metric;gyro_vibration_metric;delta_angle_coning_metric;mean_accel[0];mean_accel[1];mean_accel[2];mean_gyro[0];mean_gyro[1];mean_gyro[2];var_accel[0];var_accel[1];var_accel[2];var_gyro[0];var_gyro[1];var_gyro[2];temperature_accel;temperature_gyro
7866895425;4259850;4325386;0;0;0;0;0;0;0;0;687.58014;666.75726;2062.7405;2000.2717;0.19904986;0.013812236;6.996266e-10;6.8902655;-3.2167282;-6.1225023;0.0005815212;0.0020018735;0.005527024;0.10063159;0.12604523;0.58617556;0.00045638872;0.000649566;0.00037575758;38.5;nan
7867930293;4259850;4325386;0;0;0;0;0;0;0;0;687.58136;666.7572;2062.7441;2000.2715;0.46268293;0.01867023;2.5443986e-10;6.91976;-3.2278786;-6.0787997;0.0026245646;-0.0027738044;0.0007873693;0.012968223;0.0066100927;0.10628433;0.00011863809;0.00025131207;0.00019201606;38.5;nan
7868965192;4259850;4325386;0;0;0;0;0;0;0;0;687.58203;666.75714;2062.7458;2000.2712;3.7946382;0.17842978;9.774482e-08;-0.14861786;-0.6366803;-9.879895;0.03956917;-0.7420467;0.022720493;3.029099;0.8170299;12.638374;0.0057445257;0.053631883;0.0026510675;38.5;nan
7869896594;4259850;4325386;0;0;0;0;0;0;0;0;687.58203;666.7521;2062.7458;2000.2562;3.0483024;0.11875475;5.4912825e-09;-0.2748049;0.06834153;-9.7591715;-0.02125897;0.065145805;0.003797899;1.3182111;0.77435887;7.6914883;0.0013752627;0.0046434402;0.000522801;38.5;nan
7870931453;4259850;4325386;0;0;0;0;0;0;0;0;687.5826;666.7528;2062.7478;2000.2583;3.80667;0.12313252;1.0988281e-08;-0.23073012;0.095768064;-9.935051;-0.05791024;0.011764224;0.006108545;1.260809;0.7551938;7.276655;0.0038486219;0.006395688;0.0007089555;38.5;nan
7871966293;4259850;4325386;0;0;0;0;0;0;0;0;687.58264;666.7533;2062.748;2000.2598;3.0393217;0.11351123;1.3649473e-08;-0.12301476;-0.07535554;-9.69011;-0.107869595;0.020831836;-0.0016725166;0.89185286;0.6793387;5.814911;0.0040171347;0.0065460876;0.0006919764;38.5;nan
7872897633;4259850;4325386;0;0;0;0;0;0;0;0;687.5763;666.757;2062.729;2000.271;3.9158115;0.1426462;2.0946544e-07;-0.29674613;1.3108985;-9.49174;1.0019042;0.045266017;-0.052239124;1.3789893;1.6414031;11.29634;0.009762261;0.014682952;0.0015728184;38.5;nan
7873932484;4259850;4325386;0;0;0;0;0;0;0;0;687.5767;666.757;2062.7302;2000.2709;6.6170363;0.24384831;9.4481226e-07;0.016006341;-0.32516184;-9.329699;-1.6519831;-0.33400926;0.086873084;12.505685;6.408941;62.957123;0.05149448;0.10949305;0.013026215;38.5;nan
7874967411;4259850;4325386;0;0;0;0;0;0;0;0;687.5833;666.75696;2062.7498;2000.2709;5.15698;0.19098118;3.1724017e-08;-0.41339883;0.52051723;-9.825272;-0.1433887;0.011522353;-0.0038699459;1.8884344;0.75625706;12.285281;0.00715945;0.015592643;0.0018664824;38.5;nan
7875898703;4259850;4325386;0;0;0;0;0;0;0;0;687.58307;666.7569;2062.7493;2000.2706;3.4749691;0.14607705;1.2677123e-07;-0.9030075;0.11060538;-9.465483;0.021768447;-0.7612163;-0.5722888;2.4311686;1.1989478;5.220569;0.008616289;0.0135514615;0.0021113416;38.5;nan
