timestamp;voltage5v_v;voltage_payload_v;sensors3v3[0];sensors3v3[1];sensors3v3[2];sensors3v3[3];sensors3v3_valid;usb_connected;brick_valid;usb_valid;servo_valid;periph_5v_oc;hipower_5v_oc;comp_5v_valid;can1_gps1_5v_valid;payload_v_valid
7866779038;4.9994473;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7867278388;5.033688;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7867778389;4.9943113;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7868278387;4.9984403;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7868778388;4.9933043;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7869288390;5.0711517;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7869788417;5.0377164;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7870288510;5.0538297;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7870778654;5.0104246;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7871278693;5.0463777;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7871778388;5.0004544;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7872278420;5.0472836;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7872788390;4.9909883;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7873288388;5.0470824;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7873788429;5.0466795;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7874278387;5.045169;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7874778904;5.0488954;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7875278387;5.025128;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7875778389;5.0464783;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7876288390;5.002368;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7876788410;5.022812;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7877278406;5.007907;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7877778388;5.045874;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7878278389;5.001965;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7878778438;5.0449677;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7879278401;5.0509095;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7879788398;4.9674225;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7880288387;5.0443635;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7880788387;5.005792;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7881278401;5.0595703;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7881778387;4.991492;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7882278387;5.0472836;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7882779182;5.0335875;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7883288390;5.0035768;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7883788388;5.0432553;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7884288407;5.0012603;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7884778388;5.0499024;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7885278452;5.0399323;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7885778387;5.018884;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7886278388;4.9919953;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7886788390;5.031372;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7887288388;5.0532255;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7887788387;5.0011597;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7888278388;5.050708;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7888778387;4.974069;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7889278393;5.034494;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7889778388;5.011331;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7890288402;5.047586;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7890788388;5.0436583;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7891288388;5.041443;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7891778411;5.052017;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7892278387;5.0263367;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7892778396;5.0397305;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7893278427;4.9874635;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7893788436;5.0496;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7894288402;5.025128;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7894788388;5.043759;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7895278530;5.000253;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7895778460;5.0159636;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7896278389;5.0464783;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7896778387;4.981421;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7897288390;5.056851;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7897788731;4.9975343;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7898288388;5.053528;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7898778512;4.991089;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7899278387;5.039026;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7899778431;5.058664;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7900278387;5.0422482;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7900788390;5.045874;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7901288388;5.0050874;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7901788387;5.0398316;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7902278387;5.014453;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7902778387;5.0408387;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7903278399;5.01546;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7903778394;5.044162;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7904288391;5.032379;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7904788386;4.9946136;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7905288394;5.045572;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7905778414;4.9953184;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7906278389;5.0194883;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7906778864;5.005389;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7907278395;5.029358;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7907788391;5.046579;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7908288388;5.04386;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7908788387;5.049298;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7909278407;5.0425506;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7909778388;5.051312;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7910278991;5.019287;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7910778387;5.042752;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7911288391;5.013849;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7911788389;5.062793;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7912288388;5.053427;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7912778388;5.0487943;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7913278387;5.061081;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7913778388;4.9725585;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7914278487;5.043054;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7914788414;4.9943113;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7915288387;5.050708;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7915778388;5.0200925;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7916278388;5.045471;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7916778400;5.051715;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7917278388;5.0409393;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7917778388;5.0526214;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7918288512;5.033789;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
7918788400;5.0474854;0.0;0.0;0.0;0.0;0.0;0;1;1;1;1;0;0;0;0;0
