timestamp;armed_time;takeoff_time;nav_state_timestamp;valid_nav_states_mask;can_set_nav_states_mask;failure_detector_status;arming_state;latest_arming_reason;latest_disarming_reason;nav_state_user_intention;nav_state;executor_in_charge;hil_state;vehicle_type;failsafe;failsafe_and_user_took_over;failsafe_defer_state;gcs_connection_lost;gcs_connection_lost_counter;high_latency_data_link_lost;is_vtol;is_vtol_tailsitter;in_transition_mode;in_transition_to_fw;system_type;system_id;component_id;safety_button_available;safety_off;power_input_valid;usb_connected;open_drone_id_system_present;open_drone_id_system_healthy;parachute_system_present;parachute_system_healthy;rc_calibration_in_progress;calibration_enabled;pre_flight_checks_pass
7866257347;7866257232;0;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7866758802;7866257232;0;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7867265072;7866257232;0;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7867770809;7866257232;0;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7868276985;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7868782762;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7869288761;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7869795762;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7870301781;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7870807781;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7871313779;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7871819762;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7872325761;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7872831761;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
7873337780;7866257232;7868001827;7542533751;2147411327;8308095;0;2;1;6;15;15;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;1
