timestamp;roll;pitch;yaw;thrust_body[0];thrust_body[1];thrust_body[2];reset_integral
7866315128;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866319656;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866337620;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866355586;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866378102;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866400631;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866418610;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866436594;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866459088;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866477189;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866495069;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866517574;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866540059;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866558058;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866576144;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866598589;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866616612;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866639085;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866657091;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866679589;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866697544;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866715573;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866738030;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866756068;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866778549;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866796563;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866819051;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866837078;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866859655;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866877516;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866895518;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866918005;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866936035;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866958578;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866976523;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7866999054;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867017042;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867035007;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867057589;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867080011;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867097983;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867115994;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867138516;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867156555;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867174534;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867197044;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867219598;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867237465;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867255535;-1.7453293;-1.7453293;0.99483764;0.0;0.0;-0.0;0
7867277952;-1.7453293;-1.7453293;0.89829904;0.0;0.0;-0.0;0
7867300500;-1.7453293;-1.7453293;0.80247253;0.0;0.0;-0.0;0
7867313961;-1.7453293;-1.7453293;0.7564683;0.0;0.0;-0.0;0
7867336459;-1.7453293;-1.7453293;0.6945944;0.0;0.0;-0.0;0
7867358958;-1.7358322;-1.7453293;0.64751405;0.0;0.0;-0.0;0
7867376989;-1.703407;-1.7453293;0.61803246;0.0;0.0;-0.0;0
7867395005;-1.6775227;-1.7453293;0.59462094;0.0;0.0;-0.0;0
7867417516;-1.652106;-1.7453293;0.5714722;0.0;0.0;-0.0;0
7867439955;-1.6330284;-1.7453293;0.5541136;0.0;0.0;-0.0;0
7867457941;-1.620953;-1.7453293;0.54314286;0.0;0.0;-0.0;0
7867475943;-1.611125;-1.7453293;0.53419715;0.0;0.0;-0.0;0
